符号/键,位置(路径:行),现行值,单位,坐标系/归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,备注
p_center,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:388,0.0;359.9,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
p_zero,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:393,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ra,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:396,0.15;359.65,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
p_far,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:398,0.0;10.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
polar,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:405,0.0;1.0;89.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
p_in,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:406,0.0;89.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
p_out,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:410,0.0;180.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:425,0.0;1.0;45.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:426,0.0;45.0;5.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:427,100.0;2.0;30.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:428,0.0;1.0;359.9,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
MC,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:441,.10;.6,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:446,0.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:447,0.005,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
drop,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:463,0.0;1.0;45.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
N_total,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:470,.10,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sum_prod,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:477,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_rel_err,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:478,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
threshold,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:480,0.005;0.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
a_mc,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:488,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:499,14.8;9.4f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:500,100.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
prod,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:514,.10;.6,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
mc,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:516,.10;.6,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:518,.4f;100.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_rel_err,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:522,.4f;100.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:523,0.01,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
A_drop,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:527,.10;.6,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:528,0.01,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
A_drop,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:532,.10;.6,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ipix,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:549,0.0;45.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
drop,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:554,0.001,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
overlap,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:565,.14,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ipix,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:575,0.0;45.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
drop,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:578,0.0;20.0;45.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
overlap,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:594,.14,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
overlap,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:595,.14;.6,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
drop,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:620,0.0;1.0;45.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
a_pixel_theory,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:623,12.0;4.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sum_weighted,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:628,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_support,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:631,0.0;1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_theory_excess,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:632,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:650,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
support,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:652,.15,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:658,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_theory_excess,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:659,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
n_overlap,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:663,.10;.8f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:665,.6,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
A_drop,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:674,.10;.6,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
drop,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:692,0.0;0.5;359.9,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:694,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
has_near_0,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:706,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
has_near_360,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:707,359.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sum_overlap,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:715,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
A_drop,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:722,.10,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:724,359.9;6.1,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
mc_sum,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:730,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
A_drop,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:737,.10;.6,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:739,6.1,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:740,0.01,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
drop,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:747,0.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ra,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:749,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
has_near_0,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:759,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
has_near_360,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:760,359.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sum_overlap,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:767,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
A_drop,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:773,.10,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ra,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:774,6.2,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
drop_a,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:783,0.0;0.1;0.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
drop_b,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:784,0.0;0.5;359.9,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sum_a,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:797,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sum_a,lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:807,.10,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:808,6.3,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reference_overlap.cpp:823,2.3;3.2,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:30,10.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:31,20.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:32,0.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:33,0.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:36,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:37,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:41,1000.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:43,0.0;10.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
pixfrac,lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:49,0.8,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:71,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
quick_reject,lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:75,.3f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
cache_hit_rate,lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:79,.3f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
tiles,lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:81,.3f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:93,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sum_flux,lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:98,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:104,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sum_flux,lib/algorithms/drizzle/healpix_drizzle/tests/representative_probe.cpp:107,.6f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:80,-23.254083;272.886595,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:81,32.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
s,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:82,30.0;3600.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:83,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:87,1200.0;4.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
d,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:96,-1.0;1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:97,180.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:98,180.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:99,180.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:100,1200.0;180.0;3600.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:102,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:103,1.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:104,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
pixfrac,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:112,0.8,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:121,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
nz,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:129,.6,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:134,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:143,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
rc,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:149,.6,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
rc,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:165,.6,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:169,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:170,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:171,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:175,.6,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:176,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
pixfrac,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:187,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
bad,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_api_test.cpp:195,91.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
denom,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:51,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:54,2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
m,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:61,3.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ab,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:64,2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
bc,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:65,2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ca,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:66,2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:76,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
total,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:80,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
V,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:91,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:100,0.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:104,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
rot_deg,lib/algorithms/drizzle/healpix_drizzle/tests/reverse_drizzle_science_test.cpp:126,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
