键,键族,语义路径样本,S1_defaults.json,S2_出厂模板,S3_CLI骨架,S4_合同schema,S5_代码兜底,S6_登记册
mode,mode,mode,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""quick"",""full""]] @eng/contracts/schemas/cpu_profile.schema.json#/mode",该侧无此项,"值[declared_default=""psf"" ｜note默认值断言: 默认psf; 默认psf] @eng/packaging/config/config_registry.json#plugin_knobs[25] field=mode (doc docs/plugins/algorithms_phase1/06_photometry.md:75, module 06_photometry, finding=gap) [registered_at=-]"
mode_class,weight_mode,weight_mode.mode_class,该侧无此项,该侧无此项,该侧无此项,"值[const=""production""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/then/mode_class ; eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/then/mode_class/not ||| 值[enum=[""production"",""documented_baseline""]] @eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/mode_class ||| 值[const=""documented_baseline""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/weight_mode/then/mode_class",该侧无此项,该侧无此项
model_error,point_information、provenance、signal,point_information.degradation.model_error；provenance.degradations.model_error；signal.degradation.model_error,该侧无此项,该侧无此项,该侧无此项,值[minimum=0] @eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/degradation/model_error ; eng/contracts/schemas/product_family_field_constraints.schema.json#/point_information/degradation/model_error ; eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/degradations/items/model_error,值[0.0 ×1 (声明/赋值 k=) @lib/infrastructure/aio/v6/include/astro/aio/v6_provenance.h:48] @1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log,该侧无此项
module_kind,modules,modules.module_kind,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""phase1"",""phase2"",""phase3"",""service"",""conformance"",""provider""]] @eng/contracts/schemas/traceability_matrix.schema.json#/modules/items/module_kind",该侧无此项,该侧无此项
moffat_beta,psf,psf.moffat_beta,值[4.0] @eng/packaging/config/defaults.json#fields[key=psf.moffat_beta] [authority_status=sourced],该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项
n_blocks,coverage_index_ref、manifest_storage,coverage_index_ref.n_blocks；manifest_storage.coverage_index.n_blocks,该侧无此项,该侧无此项,该侧无此项,值[minimum=0] @eng/contracts/schemas/hips_storage_form.schema.json#/coverage_index_ref/n_blocks ; eng/contracts/schemas/hips_storage_form.schema.json#/manifest_storage/coverage_index/n_blocks,"值[0 ×5 (声明/赋值 k=,成员/赋值 frame->k=,成员/赋值 tmp->k=) @lib/infrastructure/aio/src/aio_pipeline.cpp:1072; lib/infrastructure/aio/src/aio_pipeline.cpp:1207; lib/infrastructure/aio/src/aio_pipeline.cpp:1239; lib/infrastructure/aio/src/aio_pipeline.cpp:316] @5 处 / 3 个位点（前 4: 声明/赋值 k=; 成员/赋值 frame->k=; 成员/赋值 tmp->k=）；全量见 side5_位点.log",该侧无此项
n_common,psfsw,psfsw.common_star_set.n_common,该侧无此项,该侧无此项,该侧无此项,值[minimum=3] @eng/contracts/schemas/product_family_field_constraints.schema.json#/psfsw/common_star_set/n_common,"值[0 ×6 (value(""k"",d),声明/赋值 k=) @lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:170; lib/algorithms/integration/v6_phase1/src/phase1_product.cpp:1241; lib/algorithms/photometry/cpp/src/psfsw.cpp:396; lib/algorithms/photometry/include/astrocs/v6/psfsw.h:258] @6 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项
n_frames,coverage_index_ref、manifest_storage,coverage_index_ref.n_frames；manifest_storage.coverage_index.n_frames,该侧无此项,该侧无此项,该侧无此项,值[minimum=0] @eng/contracts/schemas/hips_storage_form.schema.json#/coverage_index_ref/n_frames ; eng/contracts/schemas/hips_storage_form.schema.json#/manifest_storage/coverage_index/n_frames,"值[1 ×4 (声明/赋值 k=,成员/赋值 m.k=) @lib/include/astrocs/core/plan_estimator.h:95; lib/infrastructure/scheduler/src/module_adapters.cpp:13095; lib/infrastructure/scheduler/src/module_adapters.cpp:13102; lib/infrastructure/scheduler/src/runtime.cpp:75 ## 0 ×3 (声明/赋值 k=) @lib/algorithms/calibration/src/module_entry.cpp:942; lib/algorithms/coverage/include/astro/phase2/stage2_common.h:238; lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:203] @7 处 / 2 个位点（前 4: 声明/赋值 k=; 成员/赋值 m.k=）；全量见 side5_位点.log",该侧无此项
n_leaf_tiles,subproduct,subproduct.n_leaf_tiles,该侧无此项,该侧无此项,该侧无此项,值[minimum=0] @eng/contracts/schemas/hips_storage_form.schema.json#/subproduct/n_leaf_tiles,该侧无此项,该侧无此项
n_valid_cells,n_valid_cells,n_valid_cells,该侧无此项,该侧无此项,该侧无此项,值[minimum=0] @eng/contracts/schemas/unified/coverage.schema.json#/n_valid_cells,该侧无此项,该侧无此项
name,name,name,该侧无此项,该侧无此项,"值[""red""] @lib/infrastructure/cli/session_commands.h#config_fields(normalize).name [normalize] ||| 值[""ha""] @lib/infrastructure/cli/session_commands.h#config_second_block_overrides.name [normalize第2块覆盖]",该侧无此项,该侧无此项,该侧无此项
nested,,,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[true ×2 (声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:26; lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.h:29 ## 1 ×1 (value(""k"",d)) @lib/infrastructure/scheduler/src/module_adapters.cpp:7508] @3 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项
node_placement,control_point_geometry,control_point_geometry.node_placement,该侧无此项,该侧无此项,该侧无此项,"值[const=""cell_center_v1""] @eng/contracts/schemas/unified/sparse_snr_layer.schema.json#/control_point_geometry/node_placement",该侧无此项,该侧无此项
normalization,effective_psf,effective_psf.normalization,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""peak"",""integral""]] @eng/contracts/schemas/product_family_field_constraints.schema.json#/effective_psf/normalization","值[P2_NORMALIZE_MEDIAN_CENTER ×3 (成员/赋值 p.k=,成员/赋值 plan.k=) @lib/algorithms/coverage/src/acr_kernels.cpp:101; lib/algorithms/coverage/src/rejection.cpp:1243; lib/algorithms/coverage/tools/rejection_cli.cpp:179 ## P2_NORMALIZE_NONE ×2 (成员/赋值 p.k=,成员/赋值 plan.k=) @lib/algorithms/coverage/src/rejection.cpp:1305; lib/algorithms/coverage/tools/rejection_cli.cpp:176 ## P2_NORMALIZE_MEDIAN_SCALE ×1 (成员/赋值 plan.k=) @lib/algorithms/coverage/tools/rejection_cli.cpp:182] @6 处 / 2 个位点（前 4: 成员/赋值 p.k=; 成员/赋值 plan.k=）；全量见 side5_位点.log",该侧无此项
normalization.kind,signal,signal.normalization.kind,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""surface_brightness_preserving"",""legacy_adrop_forward"",""column_normalized_flux""]] @eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/normalization/kind",该侧无此项,该侧无此项
normalization_convention,psf,psf.normalization_convention,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""integral"",""peak""]] @eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/normalization_convention",该侧无此项,该侧无此项
normalization_sum_p,psf,psf.normalization_sum_p,该侧无此项,该侧无此项,该侧无此项,值[const=1.0] @eng/contracts/schemas/product_family_field_constraints.schema.json#/psf/normalization_sum_P,该侧无此项,该侧无此项
nside,execution、nside,execution.stage_timeout_sec.nside；nside,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/nside,"值[0 ×30 (value(""k"",d),初始化列表 k(…),声明/赋值 k=,成员/赋值 leaf.k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:260; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:108; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:131; lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.h:28 ## 16 ×2 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:203; lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:209 ## NSIDE_MAX ×2 (声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:722; lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:731 ## 1 ×1 (声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:718 ## 2 ×1 (声明/赋值 k=) @lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:92 ## 32768 ×1 (声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.h:25 ## 4194304 ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:210 ## NSIDE_MIN ×1 (声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:730] @39 处 / 4 个位点（前 4: value(""k"",d); 初始化列表 k(…); 声明/赋值 k=; 成员/赋值 leaf.k=）；全量见 side5_位点.log","值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[38] field=nside (doc docs/plugins/algorithms_phase1/08_drizzle.md:51, module 08_drizzle, finding=unregistered) [registered_at=-]"
nside.mode,drizzle,drizzle.nside.mode,该侧无此项,该侧无此项,该侧无此项,"值[const=""auto""] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/drizzle/nside/mode ||| 值[const=""explicit""] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/drizzle/nside/mode",该侧无此项,该侧无此项
nside.value,drizzle,drizzle.nside.value,该侧无此项,该侧无此项,该侧无此项,值[minimum=16;maximum=4194304] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/drizzle/nside/value,该侧无此项,该侧无此项
numa_nodes,numa_nodes,numa_nodes,该侧无此项,该侧无此项,该侧无此项,值[minimum=0] @eng/contracts/schemas/hardware_inspect.schema.json#/numa_nodes,"值[0 ×2 (声明/赋值 k=) @lib/infrastructure/benchmark/backend_host/hardware_inspect.cpp:246; lib/infrastructure/benchmark/backend_host/worker_advisor.h:53 ## 0u ×2 (value(""k"",d)) @lib/infrastructure/benchmark/backend_host/worker_advisor.cpp:129; lib/infrastructure/benchmark/backend_host/worker_advisor.cpp:138] @4 处 / 2 个位点（前 4: value(""k"",d); 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项
object_schema_id,connected_object_document、object_schema_id,connected_object_document.object_schema_id；object_schema_id,该侧无此项,该侧无此项,该侧无此项,"值[const=""https://astrocs.local/schemas/unified/coverage/v1""] @eng/contracts/schemas/unified/coverage.schema.json#/object_schema_id ; eng/contracts/schemas/unified/port_contract.schema.json#/then/connected_object_document/object_schema_id ||| 值[const=""https://astrocs.local/schemas/unified/depth_m5/v1""] @eng/contracts/schemas/unified/depth_m5.schema.json#/object_schema_id ; eng/contracts/schemas/unified/port_contract.schema.json#/then/connected_object_document/object_schema_id ||| 值[const=""https://astrocs.local/schemas/unified/frame_snr/v1""] @eng/contracts/schemas/unified/frame_snr.schema.json#/object_schema_id ; eng/contracts/schemas/unified/port_contract.schema.json#/then/connected_object_document/object_schema_id ||| 值[const=""https://astrocs.local/schemas/unified/ivar/v1""] @eng/contracts/schemas/unified/ivar.schema.json#/object_schema_id ; eng/contracts/schemas/unified/port_contract.schema.json#/then/connected_object_document/object_schema_id ||| 值[const=""https://astrocs.local/schemas/unified/point_information/v1""] @eng/contracts/schemas/unified/point_information.schema.json#/object_schema_id ; eng/contracts/schemas/unified/port_contract.schema.json#/then/connected_object_document/object_schema_id ||| 值[const=""https://astrocs.local/schemas/unified/signal/v1""] @eng/contracts/schemas/unified/port_contract.schema.json#/then/connected_object_document/object_schema_id ; eng/contracts/schemas/unified/signal.schema.json#/object_schema_id ||| 值[const=""https://astrocs.local/schemas/unified/variance/v1""] @eng/contracts/schemas/unified/port_contract.schema.json#/then/connected_object_document/object_schema_id ; eng/contracts/schemas/unified/variance.schema.json#/object_schema_id ||| 值[const=""https://astrocs.local/schemas/unified/source_snr/v1""] @eng/contracts/schemas/unified/port_contract.schema.json#/then/connected_object_document/object_schema_id ; eng/contracts/schemas/unified/source_snr.schema.json#/object_schema_id (本侧另有 6 种取值)",该侧无此项,该侧无此项
object_weight_capability,object_weight_capability,object_weight_capability,该侧无此项,该侧无此项,该侧无此项,值[const=false] @eng/contracts/schemas/unified/coverage.schema.json#/object_weight_capability ; eng/contracts/schemas/unified/depth_m5.schema.json#/object_weight_capability ; eng/contracts/schemas/unified/frame_snr.schema.json#/object_weight_capability ; eng/contracts/schemas/unified/provenance.schema.json#/object_weight_capability ; eng/contracts/schemas/unified/rejection.schema.json#/object_weight_capability ; eng/contracts/schemas/unified/signal.schema.json#/object_weight_capability ; eng/contracts/schemas/un… ||| 值[const=true] @eng/contracts/schemas/unified/ivar.schema.json#/object_weight_capability ; eng/contracts/schemas/unified/point_information.schema.json#/object_weight_capability ; eng/contracts/schemas/unified/variance.schema.json#/object_weight_capability,该侧无此项,该侧无此项
omega.units,phase3,phase3.omega.units,该侧无此项,该侧无此项,该侧无此项,"值[const=""sr""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/omega/units",该侧无此项,该侧无此项
on_missing_evidence,requires_monitor,requires_monitor.on_missing_evidence,该侧无此项,该侧无此项,该侧无此项,"值[const=""red""] @eng/contracts/schemas/monitor_field_semantics.schema.json#/requires_monitor/on_missing_evidence",该侧无此项,该侧无此项
on_unexplained_change,mutates_workspace,mutates_workspace.on_unexplained_change,该侧无此项,该侧无此项,该侧无此项,"值[const=""red""] @eng/contracts/schemas/monitor_field_semantics.schema.json#/mutates_workspace/on_unexplained_change",该侧无此项,该侧无此项
on_violation,criteria,criteria.on_violation,该侧无此项,该侧无此项,该侧无此项,"值[const=""red""] @eng/contracts/schemas/perf_gate_criteria.schema.json#/criteria/items/on_violation",该侧无此项,该侧无此项
op,criteria,criteria.op,该侧无此项,该侧无此项,该侧无此项,"值[enum=["">="",""<="",""absent""]] @eng/contracts/schemas/perf_gate_criteria.schema.json#/criteria/items/op",该侧无此项,该侧无此项
operator_descriptor.kind,covariance,covariance.operator_descriptor.kind,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""drizzle_forward"",""phase2_combination"",""phase3_resample""]] @eng/contracts/schemas/product_family_field_constraints.schema.json#/covariance/operator_descriptor/kind",该侧无此项,该侧无此项
oracle_status,kernel_v1、kernels,kernel_v1.oracle_status；kernels.oracle_status,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""PASS"",""pass""]] @eng/contracts/schemas/cpu_profile.schema.json#/kernels/items/oracle_status ; eng/contracts/schemas/cpu_profile.schema.json#/kernel_v1/oracle_status",该侧无此项,该侧无此项
order,order,order,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[0 ×22 (value(""k"",d),声明/赋值 k=,成员/赋值 f.k=,成员/赋值 out.spatial.k=,成员/赋值 result->sip.k=,成员/赋值 result.k=) @lib/algorithms/calibration/src/photometry_apply.h:63; lib/algorithms/drizzle/healpix_drizzle/fits_reader.h:16; lib/algorithms/photometry/cpp/src/frame_photometry_fit.cpp:356; lib/algorithms/photometry/cpp/src/spatial_gain.cpp:322 ## 1 ×3 (声明/赋值 k=) @lib/algorithms/platesolve/cpp/ipv/include/ipv_itertrans.h:100; lib/algorithms/platesolve/cpp/ipv/include/ipv_itertrans.h:114; lib/algorithms/platesolve/cpp/ipv/include/ipv_itertrans.h:43 ## TRANS_ORDER ×3 (成员/赋值 t.k=,成员/赋值 trans_cur.k=,成员/赋值 trans_out.k=) @lib/algorithms/platesolve/cpp/ipv/src/ipv_robust_refine.cpp:114; lib/algorithms/platesolve/cpp/ipv/src/ipv_robust_refine.cpp:679; lib/algorithms/platesolve/cpp/ipv/src/ipv_robust_refine.cpp:936 ## -1 ×2 (声明/赋值 k=) @lib/algorithms/coverage/hips_properties.h:13; lib/infrastructure/scheduler/src/module_adapters.cpp:13998 ## "" + std::to_string(infos[i].max_leaf_order) + "" ×1 (声明/赋值 k=) @lib/algorithms/coverage/tools/stage2.cpp:241 ## "" + std::to_string(m->info.target_order) + "" ×1 (声明/赋值 k=) @lib/algorithms/coverage/src/upm.cpp:2006 ## "" + std::to_string(view.inputs[i].max_leaf_order) + "" ×1 (声明/赋值 k=) @lib/infrastructure/scheduler/src/module_adapters.cpp:9157 ## 0ull ×1 (value(""k"",d)) @lib/infrastructure/scheduler/src/module_adapters.cpp:9124 ## 3 ×1 (声明/赋值 k=) @lib/algorithms/platesolve/cpp/ipv/include/ipv_sip.h:52] @35 处 / 9 个位点（前 4: value(""k"",d); 声明/赋值 k=; 成员/赋值 f.k=; 成员/赋值 out.spatial.k=）；全量见 side5_位点.log","值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[35] field=order (doc docs/plugins/algorithms_phase1/08_drizzle.md:48, module 08_drizzle, finding=unregistered) [registered_at=-]"
order_limits,order_limits,order_limits,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=null] @eng/packaging/config/config_registry.json#plugin_knobs[62] field=order_limits (doc docs/plugins/algorithms_phase3/15_resample.md:39, module 15_resample, finding=unregistered) [registered_at=-]"
ordering,,,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[""nested"" ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:70] @1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项
origin,origin,origin,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""astrocs"",""external_fixture""]] @eng/contracts/data/phase_product_exchange.schema.json#/origin",该侧无此项,该侧无此项
os_abi,profile_v2,profile_v2.host.os_abi,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""linux"",""windows""]] @eng/contracts/schemas/cpu_profile.schema.json#/profile_v2/host/os_abi",该侧无此项,该侧无此项
output,output,output,该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项,"值[declared_default=""stdout"" ｜note默认值断言: 默认stdout] @eng/packaging/config/config_registry.json#plugin_knobs[72] field=output (doc docs/plugins/infrastructure/18_cli.md:41, module 18_cli, finding=none) [registered_at=docs/plugins/infrastructure/18_cli.md:36] ||| 值[declared_default=""安装目录（固定）""] @eng/packaging/config/config_registry.json#plugin_knobs[80] field=output (doc docs/plugins/infrastructure/20_benchmark.md:33, module 20_benchmark, finding=none) [registered_at=ASTROCS_DESIGN.md:313]"
output_dir,blocks、output_dir,blocks.output_dir；output_dir,该侧无此项,"值[""path/to/out/export""] @eng/packaging/config/templates/export.phase_config.json#blocks.[].output_dir [phase=export；示例占位值] ||| 值[""path/to/out/mosaic""] @eng/packaging/config/templates/mosaic.phase_config.json#blocks.[].output_dir [phase=mosaic；示例占位值] ||| 值[""path/to/out/red""] @eng/packaging/config/templates/normalize.phase_config.json#blocks.[].output_dir [phase=normalize；示例占位值] ||| 值[""path/to/out/ha""] @eng/packaging/config/templates/normalize.phase_config.json#blocks.[].output_dir [phase=normalize；示例占位值]","值["".""] @lib/infrastructure/cli/session_commands.h#config_fields(mosaic).output_dir ; lib/infrastructure/cli/session_commands.h#config_fields(export).output_dir [mosaic] ||| 值[""path/to/out/red""] @lib/infrastructure/cli/session_commands.h#config_fields(normalize).output_dir [normalize] ||| 值[""path/to/out/ha""] @lib/infrastructure/cli/session_commands.h#config_second_block_overrides.output_dir [normalize第2块覆盖]",该侧无此项,"值[""run"" ×1 (成员/赋值 config_.k=) @lib/infrastructure/pipeline/orchestrator/cpp/src/orchestrator.cpp:576] @1 处 / 1 个位点（前 4: 成员/赋值 config_.k=）；全量见 side5_位点.log",该侧无此项
output_mode,blocks、export、export_config、output_mode、phase3,blocks.output_mode；export.config.output_mode；export_config.output_mode；output_mode；phase3.output_mode,该侧无此项,"值[""surface_brightness""] @eng/packaging/config/templates/export.phase_config.json#blocks.[].output_mode [phase=export]","值[""surface_brightness""] @lib/infrastructure/cli/session_commands.h#config_fields(export).output_mode [export]","值[enum=[""surface_brightness"",""point_source_flux"",""visualization""]] @eng/contracts/schemas/phase_config_export.schema.json#/export_config/output_mode ; eng/contracts/schemas/product_family_field_constraints.schema.json#/phase3/output_mode",该侧无此项,"值[declared_default=""surface_brightness"" ｜note默认值断言: 默认surface_brightness] @eng/packaging/config/config_registry.json#plugin_knobs[66] registered_key=export.config.output_mode (doc docs/plugins/algorithms_phase3/16_fits_output.md:45, module 16_fits_output, finding=none) [registered_at=eng/contracts/schemas/phase_config_export.schema.json#/$defs/export_config/properties/output_mode]"
page_size,page_size,page_size,该侧无此项,该侧无此项,该侧无此项,值[minimum=1] @eng/contracts/schemas/hardware_inspect.schema.json#/page_size,该侧无此项,该侧无此项
parity,longitude_parity、star_detection_config,longitude_parity；star_detection_config.parity,该侧无此项,该侧无此项,值[该侧无此项(键名列进 --help；json==nullptr ⇒ 不写入模板)] @lib/infrastructure/cli/session_commands.h#config_fields(export).longitude_parity [export],"值[enum=[""east_left"",""east_right""]] @eng/contracts/schemas/phase_config_export.schema.json#/longitude_parity ||| 值[default=""pos"";enum=[""pos"",""neg""]] @eng/contracts/schemas/phase_config_normalize.schema.json#/star_detection_config/parity","值[""east_left"" ×4 (声明/赋值 k=) @lib/algorithms/projection/p3_proj_v6.cpp:446; lib/algorithms/projection/p3_projection.cpp:328; lib/algorithms/projection/p3_wcs.cpp:102; lib/infrastructure/scheduler/src/module_adapters.cpp:13524 ## ""pos"" ×1 (声明/赋值 k=) @lib/infrastructure/scheduler/src/module_adapters.cpp:3315] @5 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项
patch_grid,noise、noise_config,noise.patch_grid；noise_config.patch_grid,"值[[8,8]] @eng/packaging/config/defaults.json#fields[key=noise.patch_grid] [authority_status=sourced]",该侧无此项,该侧无此项,"值[default=[8,8]] @eng/contracts/schemas/phase_config_normalize.schema.json#/noise_config/patch_grid ||| 值[minimum=2;maximum=4096] @eng/contracts/schemas/phase_config_normalize.schema.json#/noise_config/patch_grid/items",该侧无此项,该侧无此项
percentile.high,rejection,rejection.percentile.high,值[0.1] @eng/packaging/config/defaults.json#fields[key=rejection.percentile.high] [authority_status=sourced],该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项
percentile.low,rejection,rejection.percentile.low,值[0.2] @eng/packaging/config/defaults.json#fields[key=rejection.percentile.low] [authority_status=sourced],该侧无此项,该侧无此项,该侧无此项,该侧无此项,该侧无此项
phase,artifact_manifest、run,artifact_manifest.run.phase；run.phase,该侧无此项,该侧无此项,该侧无此项,"值[enum=[""phase1"",""phase2"",""phase3""]] @eng/contracts/data/artifact_manifest.schema.json#/run/phase ; eng/contracts/data/phase_product_exchange.schema.json#/artifact_manifest/run/phase","值[1 ×5 (成员/赋值 out_desc->k=) @lib/algorithms/calibration/src/module_entry.cpp:1186; lib/algorithms/cosmetic/src/module_entry.cpp:938; lib/algorithms/drizzle/hips/src/module_entry.cpp:596; lib/algorithms/drizzle/src/module_entry.cpp:542 ## ""stage"" ×1 (value(""k"",d)) @lib/infrastructure/cli/protocol.h:26] @6 处 / 2 个位点（前 4: value(""k"",d); 成员/赋值 out_desc->k=）；全量见 side5_位点.log",该侧无此项
phase1_input_form_key,x-astrocs-field-vocabulary,x-astrocs-field-vocabulary.phase1_input_form_key,该侧无此项,该侧无此项,该侧无此项,"值[default=""archive""] @eng/contracts/schemas/hips_storage_form.schema.json#/x-astrocs-field-vocabulary/phase1_input_form_key",该侧无此项,该侧无此项
phase_name,phase_name,phase_name,该侧无此项,该侧无此项,该侧无此项,"值[const=""export""] @eng/contracts/schemas/phase_config_export.schema.json#/else/then/phase_name ||| 值[const=""mosaic""] @eng/contracts/schemas/phase_config_mosaic.schema.json#/else/then/phase_name",该侧无此项,该侧无此项
photometric,execution,execution.stage_timeout_sec.photometric,该侧无此项,该侧无此项,该侧无此项,值[exclusiveMinimum=0] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/execution/stage_timeout_sec/photometric,"值[""PHOTOMETRIC"" ×1 (具名常量 PHOTOMETRIC) @lib/infrastructure/pipeline/orchestrator/cpp/include/resource_monitor.h:44] @1 处 / 1 个位点（前 4: 具名常量 PHOTOMETRIC）；全量见 side5_位点.log",该侧无此项
physical_quantity,signal,signal.physical_quantity,该侧无此项,该侧无此项,该侧无此项,"值[const=""signal""] @eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/physical_quantity",该侧无此项,该侧无此项
pipeline,pipeline,pipeline,该侧无此项,该侧无此项,该侧无此项,"值[const=""stage1""] @lib/infrastructure/pipeline/orchestrator/configs/stage1.schema.json#/pipeline","值[""stage1"" ×1 (声明/赋值 k=) @lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:23] @1 处 / 1 个位点（前 4: 声明/赋值 k=）；全量见 side5_位点.log",该侧无此项
pixel_area_power,provenance、signal、units,provenance.units.pixel_area_power；signal.pixel_area_power；units.pixel_area_power,该侧无此项,该侧无此项,该侧无此项,"值[const=-2] @eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/then/pixel_area_power ; eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/then/units/pixel_area_power ; eng/contracts/schemas/unified/coverage.schema.json#/units/then/pixel_area_power ; eng/contracts/schemas/unified/depth_m5.schema.json#/units/then/pixel_area_power ; eng/contracts/schemas/unified/frame_snr.schema.json#/units/then/pixel_area_power ; eng/contracts/schemas/unified/ivar.schema.jso… ||| 值[const=0] @eng/contracts/schemas/product_family_field_constraints.schema.json#/signal/then/pixel_area_power ; eng/contracts/schemas/unified/coverage.schema.json#/units/pixel_area_power ; eng/contracts/schemas/unified/coverage.schema.json#/units/then/pixel_area_power ; eng/contracts/schemas/unified/depth_m5.schema.json#/units/then/pixel_area_power ; eng/contracts/schemas/unified/frame_snr.schema.json#/units/then/pixel_area_power ; eng/contracts/schemas/unified/ivar.schema.json#/units/then/pixel_area_power ;… ||| 值[enum=[-2,0]] @eng/contracts/schemas/unified/depth_m5.schema.json#/units/pixel_area_power ; eng/contracts/schemas/unified/frame_snr.schema.json#/units/pixel_area_power ; eng/contracts/schemas/unified/ivar.schema.json#/units/pixel_area_power ; eng/contracts/schemas/unified/point_information.schema.json#/units/pixel_area_power ; eng/contracts/schemas/unified/signal.schema.json#/units/pixel_area_power ; eng/contracts/schemas/unified/source_snr.schema.json#/units/pixel_area_power ; eng/contracts/schemas/unified/sp… ||| 值[const=null] @eng/contracts/schemas/product_family_field_constraints.schema.json#/provenance/units/pixel_area_power/not","值[0 ×9 (value(""k"",d),声明/赋值 k=) @lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.h:347; lib/algorithms/drizzle/healpix_drizzle/v6_drizzle_science.h:362; lib/algorithms/integration/v6/src/phase2_integrate.cpp:1123; lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:151 ## -2 ×3 (声明/赋值 k=,成员/赋值 p.units.k=) @lib/algorithms/integration/v6/src/phase2_integrate.cpp:439; lib/algorithms/integration/v6_phase1/include/astrocs/v6/phase1_product.h:39; lib/phase3_session/p3_v6_export.cpp:265] @12 处 / 3 个位点（前 4: value(""k"",d); 声明/赋值 k=; 成员/赋值 p.units.k=）；全量见 side5_位点.log",该侧无此项
