"符号/键","位置(路径:行)","现行值","单位","坐标系/归一化","精度要求","有效有限域","来源现状","出处","处置","适用域","备注"
"cosmetic.bad_column_sigma_master","eng/packaging/config/defaults.json:797","10.5","MAD 倍数","母版路径（暗/偏置母版）专用列状缺陷阈","未标注（只记标定判据：母版每路已修列数不超过同帧科学帧路径已修列数）","注册 >0，<=0 归一到科学帧阈（向后兼容）；无 schema 承载","需实验标定（标定证据不在跟踪集）","source_ref=run/LINDEF-CLOSE-01/REPORT.md:1 —— run/* 在 .gitignore:17 ⇒ **该文件不在跟踪集**（git ls-files 对 LINDEF 零命中），代码注释 module_adapters.cpp:2805 同引该路径与其 evidence/master_sigma_calibration.json，均不可复核；:2801-2804 给了标定理由（母版 |d-med| 的 p99/p50 ≈ 23 vs 高斯 2.6 ⇒ 同 5sigma 在母版上不是同一松紧度）","实验标定（须把标定曲线与 seed 落 实验/ 或 artifacts/ 才成立）","Phase1 母版路径","两侧同值：defaults.json:797=10.5｜代码兜底经命名常量 kP1BadcolMasterSigmaDefault=10.5（module_adapters.cpp:2735，用于 :2807-2808）；10.5 是标定曲线读数（非整数、非幂、非公式）⇒ 正合前言 §4.3『阈值抄成观测值』的形状，区别在于它**声明**是量的（measured），但其量器不可复跑 ⇒ 判据强度目前不可核；另 :2802 记实测帧 1 达 924 列、defaults.json:835 记加守卫前标记 1192 列 ⇒ 两处实测读数并存而无同一口径说明；归一语义（<=0 → 科学帧阈）只在代码注释与 constraint 里，无 schema/门承载"
"cosmetic.bad_column_variance_kappa","eng/packaging/config/defaults.json:811","2.0","1（无量纲）","修复像素方差 = (Σw^2·var)·κ","未标注（但 κ 有导出式）","注册 >= 1/Σw^2，单列两邻算术平均 Σw^2=0.5 ⇒ κ>=2；无 schema 承载","可公式导出（确定性插值不得声称携带多于一次独立测量 ⇒ var>=sigma^2 ⇒ κ>=1/Σw^2=2）","真锚 docs/contracts/DATA_SEMANTICS.md:330-331（§10.5 传播式 var=(Σw^2·var)·κ，单列两邻 Σw^2=1/2，κ>1 补偿插值相关，不做补偿会使修复像素 SNR 系统性偏高量级约 sqrt2）；注册件所引 :328 是 §10.5 小节标题；defaults.json:815 已把推导写全 ⇒ 本队列中出处质量最好的一条","公式导出（唯一正确值 2.0，宜由式生成而非写字面量）","Phase1 修复像素方差","两侧同值：defaults.json:811=2.0｜module_adapters.cpp:2812 p1_num(c, bad_column_variance_kappa, 2.0)（:2810-2811 注释复述 κ=1/Σw^2=2 与 κ=1 使 ivar 翻倍）；**语义分歧已在文档内并存未裁**：合同 :330-331 的 κ 是『信息量补偿』口径（>=2），而对照实验测得估计量误差 0.5502·sigma^2 ≈ Σw^2·sigma^2 支持 κ=1（误差方差口径）⇒ 两个口径都对各自的量，注册值 2.0 取信息量口径而未在 defaults.json 之外具名裁定（交 AUD-203）；导出式已在，硬编码可接受但应加断言 κ>=1/Σw^2"
"cosmetic.bad_column_master_wide_frac_max","eng/packaging/config/defaults.json:825","0.001","1（占帧宽）","母版路径『仅标记不修』列数的声明上界；超界整类丢弃并记账","未标注（守卫量，无精度要求）","注册 0<x<=1；无 schema 承载","需实验标定（实测反号配对事故标定）","source_ref=run/LINDEF-CLOSE-01/REPORT.md:1 ⇒ 同 sigma_master：**不在跟踪集**；defaults.json:829 与 :835 记录了标定现象（阈值微调下仅标记列数在 0 与 1419 间跳变；加守卫前真实母版标记 1192 列）——这些读数只在不可复核件里","实验标定（同上，证据须入库）","Phase1 母版路径宽列守卫","**两键一登记立案**：代码有**两个**同形键——bad_column_master_wide_frac_max（module_adapters.cpp:2816-2818）与 bad_column_science_wide_frac_max（:2819-2821），后者**完全不在 defaults.json** ⇒ 科学帧路径的上界无任何登记侧；且它的兜底值取自 kP1BadcolMasterWideFracMax=1e-3（:2746）——名字写 master 而用途是 science ⇒ 键名与语义错位（:2814-2815 注释自称『两条路径各有上界』，代码却共用母版常量，改一路必带另一路）；适用域缺陈述：按注册件自述的标定现场（加守卫前母版路径标记 1192 列），0.001 的上界只容 4 列、而注册件自述实测标记 1192 列（量级差约 300 倍；该帧画幅未随读数登记 ⇒ 比值不可核）⇒ 母版『仅标记不修』类在实标定数据上**恒被整类丢弃并记账**，这是设计动作，但 defaults.json 未写『该守卫在实测帧上恒触发』，读者会以为 0.001 是常态可容许的标记率上界；单位有、精度要求不适用（守卫量）宜明写"
"noise.patch_grid","eng/packaging/config/defaults.json:90","[8, 8]","patch 格数","噪声估计 patch 网格行列数 [gx, gy]","整数；实现侧下限钳位 2（NOISE_ESTIMATION.md:180 差异登记）","注册 >=2x2；schema :254-259 array[2] items integer minimum=2 maximum=4096 default=[8,8]；解析层 [2,4096]（module_adapters.cpp:6454-6455）","文献值（本仓 SCI 冻结定义）","真锚 docs/science/NOISE_MODEL.md:61（§5『patch grid 8x8』）与 :48（§3a 像素域 8x8）；**注册件 source 与 source_ref 都引 :54，该行讲的是平面场启用条件（enable_spatial_field/n_control_points），不含 8x8**","文献值（本仓冻结档）","Phase1 patch 噪声估计","同值多侧：defaults.json:90=[8,8]｜noise_model.cpp:1248-1249（patch_grid_x/y=8）｜schema :259 default=[8,8]（队列称无 schema 侧，**不成立**）｜snr_estimator.h:131 注释｜README lib/algorithms/noise_snr/README.md:—；**耦合未登记立案**：8x8 与 noise.min_patch_samples=64 是同一几何量的两侧（README:117 明写 64=8x8 全格），而两键在 defaults.json 各自独立、代码各自兜底 ⇒ 改 patch_grid 不会联动 min_patch_samples，会静默产生『patch 内永远样本不足』或『样本数阈失去意义』；另与 Phase2 UPM 控制网格（8/tile，见 upm.k_corr 与 sparse_snr.spacing_px 的 8×8/tile 表述）**同数不同义**，三处 8 无任何一致性约束；schema 侧 default 是数组 [8,8]，而生产按画幅收缩（诊断键 noise_patch_grid_adapted）⇒ 注册的 8 是上界而非生效值，注册件未标该点"
"kMemoryBudgetPercentMin","eng/packaging/config/runtime_resources_generated.h.in:17","1","%（值域端点）","内存预算百分比的合同值域下界","整数","[1,100]；生成头常量，非配置键","不适用（结构性常数：百分数值域端点）","确认不进科学语义：只做区间校验端点；唯一消费链 = eng/packaging/config/runtime_resources.json:17（memory_budget_percent=95）→ 根 CMakeLists.txt:162 string(JSON) → :172-173 configure_file → memory_budget.cpp 读 kMemoryBudgetPercentDefault","不适用（结构性常数）","调度器内存准入预算值域校验","机械层四列（单位/坐标系/精度/域）全记『未标注』不实：单位是百分数、域是 [1,100]、语义在 :16 注释『合法区间（合同键约束：整数 1..100）』；**真正的默认 95 不在此文件也不在 defaults.json**，而在 runtime_resources.json:17（第七个配置载体，本队列未覆盖）；实现侧零字面量的做法正确（eng/tools/quality/budget_sources.json:26-30 要求该消费点必须引用生成头）；与下一行同簇"
"kMemoryBudgetPercentMax","eng/packaging/config/runtime_resources_generated.h.in:18","100","%（值域端点）","内存预算百分比的合同值域上界","整数","[1,100]；生成头常量","不适用（结构性常数：百分数值域上界）","同上（与 :17 同一条款、同一消费链；两行合用一条出处）","不适用（结构性常数）","调度器内存准入预算值域校验","100 的含义是『不允许超预算准入』而非『可用全部内存』⇒ 与工程默认 95 留 5% 余量的关系写在 runtime_resources.json:18（『避免卡死，不是省内存』），属如实登记；该上界与 ACR 侧 ram_ratio 口径不互通（见 compute_config 两行）"
"throughput_gbps","lib/infrastructure/acr/qualification/profile_schema.hpp:41","0.0","GB/s（行内注释已标）","CPU/GPU 吞吐统计成员初值","不适用（浮点零初始化）","构造期哨兵（未采集）","不适用（结构性常数：聚合统计字段零初始化，非科学量）","确认不进科学语义：ACR 资质基准观测量，且整棵 ACR 树默认不构建——根 CMakeLists.txt:18 的 option ASTROCS_ENABLE_ACR 默认 OFF、描述为 dormant/production exclusion","不适用（结构性常数）","ACR 基准统计（生产不可达）","机械层『单位未标注/无来源』不成立：行内注释给了 GB/s；0.0 是值初始化而非取值决策，不存在待出处常数；同族 :79/:80/:81/:82 同为 0 初始化 ⇒ 与 median_throughput_gbps、stddev_kernel_ns 两行合并为一条判定（共 3 行）"
"median_throughput_gbps","lib/infrastructure/acr/qualification/profile_schema.hpp:81","0.0","GB/s","聚合统计成员初值（由 aggregate 覆盖）","不适用","构造期哨兵","不适用（结构性常数，同簇合并）","同 throughput_gbps（profile_schema.hpp:41/:81/:82 三行共用一条判定；ACR DORMANT 由根 CMakeLists.txt:18 承载）","不适用（结构性常数）","ACR 基准统计（生产不可达）","同簇第 2 行；:78 注释『聚合统计（由 aggregate 计算）』已说明 0.0 不是取值而是未填充 ⇒ 机械层『无来源』对这类行不构成缺陷，属队列输入噪音"
"stddev_kernel_ns","lib/infrastructure/acr/qualification/profile_schema.hpp:82","0.0","ns","核时间标准差成员初值（稳定性指标）","不适用","构造期哨兵","不适用（结构性常数，同簇合并）","同上（同簇第 3 行）","不适用（结构性常数）","ACR 基准统计（生产不可达）","同簇第 3 行；单位 ns 与语义（稳定性指标）行内已给；若该量将来用于性能门，判据在 eng/contracts/schemas/perf_gate_criteria.schema.json 面（本队列不覆盖）"
"(无名)","lib/infrastructure/acr/schemas/compute_config.example.yaml:20","0.95","分数（占总物理内存）","ACR MemoryBudgetController 的 RAM 容量比例（limit = min(total·ratio, total-fixed_reserve)）","不适用（调度准入参数，非科学量）","(0,1]","不适用（非科学量，载体为示例文件）；其数值本身**待确认**：唯一依据是 memory_budget.hpp:6 注释『ratio 默认 0.95（90% 是旧值，spec §1 用 0.95）』，该 spec 路径未登记 ⇒ 只到 C 级","lib/infrastructure/acr/utilization/memory_budget.hpp:23（ram_ratio 0.95）＋ :3（公式）＋ docs/KNOWN_LIMITATIONS.md:62（登记它与生产口径有意不合并）","不适用（非科学量：ACR 未接线且生产不可达）","ACR 资源准入（示例配置）","两侧同值：示例 yaml :20=0.95 与代码默认 memory_budget.hpp:23=0.95；**同名同值不同分母**：生产 memory_budget_percent=95 的分母是当前可用内存（runtime_resources.json:18），ACR 的是物理总量减固定预留 ⇒ KNOWN_LIMITATIONS.md:62 已登记二者有意不合并（ACR DORMANT ＋ 该文件含未加条件编译的 windows.h，Linux 下无法编译）；另 **pinned_ratio=0.95（memory_budget.hpp:25）在示例 yaml 无对应行** ⇒ 示例面比代码少一个参数（登记面缺口）；ram_fixed_reserve 2048 MiB（yaml:22 = 代码:26）、vram_fixed_reserve 512 MiB（yaml:23 = 代码:27）同值"
"(无名)","lib/infrastructure/acr/schemas/compute_config.example.yaml:21","0.95","分数（占总显存）","ACR VRAM 容量比例","不适用（调度准入参数）","(0,1]","不适用（非科学量，同簇合并）","同上一行（memory_budget.hpp:24 ＋ KNOWN_LIMITATIONS.md:62；与 :20 共用一条出处，共 2 行）","不适用（非科学量：ACR 生产不可达）","ACR 资源准入（示例配置）","同簇第 2 行；本队列两条 0.95 的正确处置是『随 ACR 接线时一并标定』而非现在补出处——ACR 生产不可达是项目前提（AGENTS §2），故不列 UNRESOLVED 候选，只在 ACR 接线任务挂前置条件"
"(无名)","lib/infrastructure/cli/CMakeLists.txt:18","6.2","——（不是数值）","——","——","——","不适用（**机械层误报**：该行不是数值常数）","实读 :18 是注释行『不 install、不产出独立二进制（CLI 只有唯一可执行 acsd，ASTROCS_DESIGN §6.2）』⇒ 命中的 6.2 是**条款号**，非字面量","不适用（误报，撤案）","——","**证伪队列输入（本行应整行撤案）**：机械层把文档章节号当生产代码浮点字面量登记；同类行以 git grep -n 原文逐行复核（本队列已逐行读，下一行的 3.16 才是真命中）"
"(无名)","lib/infrastructure/cli/CMakeLists.txt:19","3.16","CMake 版本号","构建系统最低版本要求（cmake_minimum_required）","不适用（工具版本）","CMAKE_MINIMUM_REQUIRED","不适用（结构性常数：工具链版本下限，非科学量）","根 CMakeLists.txt 的工程版本口径（本队列不判构建一致性）","不适用（结构性常数）","构建","真命中但非科学量；立案一条构建面提示：子目录重复声明 cmake_minimum_required 会掩盖根工程口径（改根不改子时无告警），交构建面判读，本队列不列科学 UNRESOLVED"
"timeout_s","lib/infrastructure/cli/astrocs_process.h:36","0.0","s","子进程超时形参默认值：>0 超时杀进程树，<=0 不限时","不适用（运维参数）","0.0 = 无限等待","不适用（非科学量）；但默认值方向为 **fail-open**（省略形参即静默无超时）","行内 :29 注释『<=0 时不限时（禁止用于生产路径）』⇒ 禁令只写在注释，签名仍允许省略；未见任何门强制 run_process 的 timeout 实参","待确认（建议：删默认值改为必填，或默认取有限值）","CLI 子进程调用（渲染器等）","现状无害、形状危险：全仓唯一生产调用点 commands.cpp:560 显式给 30.0 ⇒ 0.0 目前无人取用；风险在新调用点漏写第三参即静默无超时，与 AGENTS §3『所有外部命令带 timeout』相反；同族登记面缺陷本队列另见三例（saturation_level 默认落在自身值域外、pixfrac 缺键取 1.0 与注册 0.8 相反、mask_* 使用层把非法值静默改回默认而回执仍记用户值）⇒ 建议登记一条通用门『配置形参的默认值方向须 fail-closed』"
"(无名)","lib/infrastructure/cli/commands.cpp:1073","0.0","——（比较哨兵，非取值）","queue_depth_observed 写面：`g.queue_low_run_seconds >= 0.0 ? 1 : 0`","不适用","哨兵判定","不适用（结构性：非科学量，且 0.0 是**比较阈值**不是初始化值）","确认不进科学语义：观测性 manifest 字段的三态编码（资源判据按 §9.74 裁决 10 只登记诊断事实、不设门、不改退出码，见同文件 :766-767 与 :788-789 注释）","不适用（结构性常数）","CLI 观测写面（诊断）","机械层把它记为『行内浮点字面量』语义不准：这里是 `>= 0.0` 的非负判据，任何有限值都满足（含 NaN 时为 false）⇒ 若本意是『已测量到队列低利用时长』，用 `>= 0.0` 与 `> 0.0` 的区别只在未初始化态，属可讨论的**弱判据**（非缺陷立案，登记为观测面写法提示）"
"(无名)","lib/infrastructure/cli/commands.cpp:316","0.0","核（等效核数）","manifest 字段 cpu_cores_used 的未采集写值","不适用","写面哨兵","不适用（结构性：观测哨兵）","确认不进科学语义：run manifest 的资源观测字段，非科学量","不适用（结构性常数）","CLI manifest 写面","与 :1073 同簇（哨兵/写值类，共 2 行）；提示：仓内已有具名哨兵 kMon001NotSampled=-1.0（resource_gate.h:121）并配 mon001_sampled()，而此处用 0.0 作未采集写值 ⇒ 同一文件族两套『未采集』表示（-1 与 0），正是 resource_gate.h:119-120 注释所禁止的『把哨兵当合法值参与判定』形状（本行不改变判定，仅登记为口径不统一）"
"(无名)","lib/infrastructure/cli/commands.cpp:560","30.0","s","外部渲染器子进程的超时上限","不适用（运维参数）",">0","不适用（非科学量）；取值本身**无量纲依据**（既非公式亦非测量）","唯一说明是同函数上下文（渲染器调用，devnull_stdio=true）；无文档条款、无契约件登记","待确认（档④：宜登记为『渲染器超时 = 观测 P99 × 余量』并给读数来源，或提为可配置项）","CLI 外部命令调用","与 astrocs_process.h:36（默认 0.0=不限时）同簇：全仓唯一显式给 timeout 的调用点，因此 30.0 既是本仓唯一的超时取值也是唯一依据缺失处；后果可核性：超时命中会返回 timed_out 并被上层如实呈现（非静默）⇒ 不构成 fail-open，仅缺依据"
"(无名)","lib/infrastructure/cli/commands.cpp:717","0.5","s","ProcessMonitor 采样周期","不适用（运维参数）",">0","不适用（非科学量）；作为**周期常数**它被多处算术依赖（见备注）","无文档条款；同文件 :979 注释自证耦合『采样周期 0.5s(与 sampler interval 一致)』⇒ 靠注释维持一致性，非具名常量","不适用（非科学量）但登记为耦合缺陷","CLI 资源采样","**同值多处、无单源（本队列 A-03 唯一实质立案）**：0.5 在 commands.cpp 出现 5 处承担三种角色——:717 monitor 周期、:720 recorder 周期、:744 duration 换算、:769 `tick*0.5 >= 10.0` 的 tick→秒换算、:979 `q_low_run += 0.5` 的时长累加步长；任一处被改而其它不同步 ⇒ 诊断量（低利用连续时长、first-10s 判定）静默失真；建议提为具名常量并由 monitor 周期派生（另 :771 的 10.0 与 :925 的 10.0 与 resource_gate.h:138-141 推导过的 kWorkloadFloorCoreSeconds 的 10 s 判定域前置同数异名 ⇒ 三处 10 无一致性约束）"
"(无名)","lib/infrastructure/cli/commands.cpp:720","0.5","s","ResourceRecorder 采样周期","不适用",">0","不适用（非科学量）","同上（与 :717 同簇）","不适用（非科学量）","CLI 资源采样","同簇：与 :717 是**两个独立构造实参**（monitor 与 recorder 各自拿 0.5），二者必须同值才能使 :769/:979 的算术成立 ⇒ 这正是 :979 注释存在的理由；判读结论：登记面缺口（无具名单源），不判科学缺陷"
"period","lib/infrastructure/cli/commands.cpp:744","0.5","s","duration→steady 时钟换算的周期量","不适用",">0","不适用（非科学量）","同上（与 :717 同簇第 3 行）","不适用（非科学量）","CLI 资源采样","同簇第 3 行；:744 与 :717/:720 同一数值第 3 次独立书写，进一步支持『提为单一具名常量』的整改建议"
"(无名)","lib/infrastructure/cli/commands.cpp:769","0.5;10.0","s;s","first-10s 门触发条件：tick·0.5 >= 10.0（跨过 10 s 边界后首次采样即评估）","不适用（诊断门前置）",">0","不适用（非科学量：§9.74 裁决 10 明确资源判据不设门、不改退出码，:766-767）","同文件 :919 注释记『CPU 判据仅 active window>=10s 时提供（规格前置）』⇒ 10 s 有规格身份但**未登记任何配置面**（既不在 defaults.json 也不在 runtime_resources.json，eng/contracts/schemas/monitor_field_semantics.schema.json 内对该阈值零命中）","不适用（非科学量）；建议登记为监控契约常量","CLI 诊断判定","同簇第 4 行（0.5）＋ 10.0 三处之一（:769/:771/:925）；:772 `recs.size() >= 2` 的 2 是『两样本才能算散布』的可辨识性下限（可公式导出，文档未写），与 photometry.min_inlier_stars 的 2 同族不同处"
"recs","lib/infrastructure/cli/commands.cpp:771","10.0","s","records_upto(10.0) 的取窗长度","不适用",">0","不适用（非科学量）","同上（与 :769 同簇；10 s 判定域见 resource_gate.h:138-141 的 thread-seconds 推导）","不适用（非科学量）","CLI 诊断判定","同簇：窗长 10.0 与触发条件 10.0（:769）与结束判定 10.0（:925）三处字面量 ⇒ 三处必须同值才自洽（否则 first-10s 的『10s 门』读的窗与其触发条件不等长）；无编译期约束"
"(无名)","lib/infrastructure/cli/commands.cpp:781","0.50;20.0","分位比; %","first-10s 低 CPU 判据：p50(cpu_pct) < 20.0","不适用（诊断）",">=0","不适用（非科学量），但**阈值无登记侧**：同族门阈有具名单源，本行没有","resource_gate.h:126-133 以 resource_gate_contract 提供 kMon001UtilSampleMinPercent（注释：单样本 >=0.85）、kMon001QueueUtilMinPercent（0.60）、kCpuP50MinPercent/kCpuMeanMinPercent（:943-947 注释记 90%/85%），且 :124 明写『数值源 = 契约 compute.per_sample_* / queue_low_*』；而本行的 **20.0 不走契约**、也不在任何 defaults/schema","待确认（档④：应与 85%/60% 同一契约面登记，或注明 first-10s 用不同口径的理由）","CLI 诊断判定","**A-03 最重一条**：同一『CPU 低利用率』语义在本文件内并存两个阈——结束判定用契约 85%/90%（:943-947 注释、:974/:978 实读），first-10s 用裸 20.0（:781）⇒ 差 4 倍以上且后者无任何登记面（0.50 是分位位置即 p50，非阈值，机械层把两数并记为现行值需拆开）；影响面限于诊断（不改退出码），但报告里两类读数并存易被下游当同一判据引用"
"win","lib/infrastructure/cli/commands.cpp:782","0.5","s","判定窗长度下限 win=max(0.5, t_last-t_first)","不适用（除零保护）",">0","不适用（非科学量）；属 epsilon 型保护，按标准 02 §3 须给数值来源","无（行内未说明为何取 0.5 而非一个采样周期派生值）","待确认（档④：应写为『win = max(kSamplePeriod, Δt)』由采样周期派生）","CLI 诊断判定","与 :717 同簇第 5 行（0.5 的第 5 种角色）：本行的 0.5 语义是『一个采样周期』而写法是绝对常数 ⇒ 采样周期一改该除零下限随之失真；下游消费点是 :785 `io_bytes < 1e6 * win`（1 MB/s 判 IO 密集），该 1e6 同样是裸常数无登记侧"
"done_rate","lib/infrastructure/cli/commands.cpp:831","0.0;1.0","1/s","done_rate = wall>0 ? 1.0/wall : 0.0（进度率）","不适用（展示量）",">=0","不适用（非科学量：UI 进度估算）","无（进度条速率估算，不进任何判定）","不适用（结构性常数）","CLI 进度显示","机械层把 0.0 与 1.0 并记为『现行值』不实：1.0 是单位分子（秒的倒数），0.0 是 wall=0 时的除法保护哨兵 ⇒ 二者都不是可调常数，本行应撤案；同族哨兵问题见 :316 行（0.0 与具名 -1.0 两套未采集表示）"
"(无名)","lib/infrastructure/cli/commands.cpp:925","10.0","s","CPU 判据的判定域前置：act.wall_seconds >= 10.0 才提供 cpu p50/mean","不适用（诊断前置）",">=0","不适用（非科学量）；**有推导但无登记侧**","推导在 lib/infrastructure/cli/resource_gate.h:136-141（利用率判据只在计算区间超过 10 s 时成立 ⇒ 工作量下限 10 核·秒=10 线程秒），并以契约常量 kMon003MinCoreSeconds=kWorkloadFloorCoreSeconds（:147-148）承载；而本行**又写了一次裸 10.0**","不适用（非科学量）；建议本行改用契约常量","CLI 诊断判定域","立案（与 :769/:771 同簇第 4 处 10.0）：同一 10 s 判定域前置在本仓既是**契约常量**（resource_gate.h:147 经契约件单源）又是**三处裸字面量**（:769 触发、:771 取窗、:925 前置）⇒ 契约变更后诊断判据的域不会跟随，出现『报告按 10 s 域给结论、门按新契约算工作量下限』的分裂；这是 A-03 内唯一『有推导可核对却仍硬编码』的一例，正是标准 02 §4.2『登记导出式、代码按式算』的反面"
"(无名)","lib/infrastructure/cli/commands.cpp:937","1024.0","字节→MiB 换算因子（1024×1024）","rss_slope 由 bytes/s 换算为 MiB/s 后写报告字段","不适用（单位换算）","固定","不适用（结构性常数：单位换算）","换算本身由二进制前缀定义（MiB=2^20 B，IEC 80000-13；本仓不另找天文出处）；**但目标单位未随字段标注**：机械层记『未标注』，实读该行确无单位注释，字段名是否写 MiB 取决于后续写面","不适用（结构性常数）；建议随字段登记单位字符串","CLI 报告字段换算","按标准 02 §3『单位换算有显式因子与出处』：因子显式（1024*1024）✔、出处即前缀定义 ✔、**目标单位未标注** ✘；风险与科学链无关（不进产品），但同文件 :942/:962 等字段同样无单位登记 ⇒ 观测面字段的单位纪律普遍缺失，属文档写法轴问题"
"work_win","lib/infrastructure/cli/commands.cpp:942","0.0","——（比较哨兵）","work_win 回退：active_window_seconds > 0.0 则用之，否则回退整段 wall","不适用",">=0","不适用（结构性：哨兵比较，非取值决策）","确认不进科学语义：工作量分子（:935 work_core_seconds = avg_equivalent_cores × work_win）的窗口选择","不适用（结构性常数）","CLI 工作量估算","机械层记『无来源』不成立（无来源需求）；但该行注释（:940-941）自陈一个真实语义风险：采样不足时回退整段 wall ⇒ work_core_seconds 成为**工作量上界**，而它正是 10 s 判定域前置的输入（:925 与 resource_gate.h:136-141）⇒ 用『上界』去过『下限门』方向偏松（可能让不足量的运行进入裁决）；注释自称『如实反映为工作量的上界』＝不静默，故只登记为已声明偏差，不立案"
"util_samples_measured","lib/infrastructure/cli/commands.cpp:962","0.0","count（样本数，却用 double）","util_samples_measured 累加器初始化","不适用",">=0","不适用（结构性常数）","确认不进科学语义：诊断统计计数","不适用（结构性常数）","CLI 诊断统计","唯一可登记点：**语义上应为整数计数而载体是 double**（与 :966 pass、:967 q_low_run 同型）⇒ 计数用浮点在本文件内是刻意选择（后续与浮点阈值比较时省转换），但字段名带 samples 而单位列未标 count，属五件事登记缺口（非科学量）；与 :316 的未采集哨兵 0.0 不同：此处 0.0 是『测得 0 个样本』而非『未测』⇒ 两态未区分（mon001_sampled 的 -1 具名哨兵未用于本字段），建议改用 -1 或 optional"
"pass","lib/infrastructure/cli/commands.cpp:966","0.0","count（达标样本数）","pass 计数初始化：逐样本比 kMon001UtilSampleMinPercent/100 后 ++pass","不适用",">=0","不适用（结构性常数）","阈值本身有契约单源（见 :974 行），本行的 0.0 只是累加器初值 ⇒ 无常数待出处","不适用（结构性常数）","CLI 诊断统计","同簇（与 :962/:967/:982 共用『累加器/哨兵初值无常数语义』一条判定，共 4 行）；本簇的结论是**队列输入应整体撤案**：这些 0.0 不是进入任何链路的数值常数，标准 02 §4 不适用"
"q_low_run","lib/infrastructure/cli/commands.cpp:967","0.0","s（q_low_run）/ 无量纲（q_low_best）","队列低利用连续时长与历史最优值初始化","不适用",">=0","不适用（结构性常数）","同上（同簇）；其后续判据的阈值有契约单源（kMon001QueueWindowSeconds、kMon001QueueUtilMinPercent，resource_gate.h:130-133）","不适用（结构性常数）","CLI 诊断统计","同簇第 2 行；可登记点：同一行声明的两个变量单位不同（q_low_run 是秒、q_low_best 是比值/秒的混合口径，取决于 :979-:982 的累加与比较写法）⇒ 一行两量而无单位区分，属观测面写法含糊（非科学量）"
"(无名)","lib/infrastructure/cli/commands.cpp:974","100.0","——（百分数→分数换算）","逐样本 CPU 利用率达标判据：归一值 >= kMon001UtilSampleMinPercent/100.0","不适用（换算）","固定 100","不适用（结构性常数：百分数换算因子）","阈值来源 = resource_gate_contract::kPerSampleUtilizationMinPercent（经 resource_gate.h:126-127 具名引入，注释记 单样本 >=0.85）；:124 并记『旧 D.6 的 75%/50% 已在契约中废止，不得回归』","不适用（结构性常数）","CLI 诊断判定","**本队列 A-03 的正例**：阈值走契约具名单源、单位换算显式（/100.0）、废止口径以注释钉住 ⇒ 与同文件 :781 的裸 20.0 形成对照（同一语义、一个有单源一个没有）；提示：100.0 的合法性依赖『字段确实是百分数』这一口径，而 :926-929 注释已记录采集端单位是『100×等效核』⇒ 归一责任分散在两处注释里，宜由契约件字段名自证（percent 后缀已有，属可接受）"
"(无名)","lib/infrastructure/cli/commands.cpp:978","100.0","——（百分数→分数换算）","队列窗口利用率下限判据：>= kMon001QueueUtilMinPercent/100.0","不适用（换算）","固定 100","不适用（结构性常数）","阈值来源 = resource_gate_contract::kQueueLowUtilizationPercent（resource_gate.h:132-133，注释记 0.60）","不适用（结构性常数）","CLI 诊断判定","同簇（与 :974 共用『契约具名阈值＋显式百分数换算』一条判定，共 2 行）；可登记点：0.60 与 :974 的 0.85 是同一利用率口径的两个不同门（窗口均值 vs 单样本），差异方向合理（窗口判据更松）但**为何是 0.60 与 0.85 无推导**，契约件是否登记其依据属监控面（本队列不覆盖，交四链路代理）"
"(无名)","lib/infrastructure/cli/commands.cpp:979","0.5","s","低利用连续时长累加步长：q_low_run += 0.5","不适用（周期）",">0","不适用（非科学量）；作为周期常数**依赖采样周期而不派生**","行内注释『采样周期 0.5s(与 sampler interval 一致)』⇒ 一致性靠注释维持；采样周期的真源是同文件 :717/:720 的构造实参（亦为裸 0.5）","不适用（非科学量）；并入采样周期簇立案","CLI 诊断统计","同簇（0.5 的第 5 种角色，与 :717/:720/:744/:769/:782 共用一条立案）：本行是**最容易失真的一处**——若 recorder 周期改为 1.0 s 而本行不变，则 q_low_run 以半速累加，连续低利用时长被低估一半，进而影响 :967/:982 与 kMon001QueueWindowSeconds 的比较结论（诊断事实错，但不改退出码）；整改：由 recorder 周期常量派生，禁止再写字面量 0.5"
"q_low_run","lib/infrastructure/cli/commands.cpp:982","0.0","s","q_low_run 复位（连续段中断时清零）","不适用",">=0","不适用（结构性常数）","无（复位语义，无常数待出处）","不适用（结构性常数）","CLI 诊断统计","同簇收尾（累加器/哨兵初值类第 4 行，与本批 :962/:966/:967 合判）⇒ 结论：A-03 的 30 行中真正需要整改的只有两条（0.5 采样周期无单源、first-10s 的 20.0 与 10.0 不走契约），其余是哨兵/初值/单位换算的机械层噪音，其中 1 行（CMakeLists.txt:18 的 6.2）为纯误报应撤案"
