编号,符号或键,类别,现行值,单位,位点(面),位点,来源现状,它声称的出处,缺什么支撑,冲突标记,第②层已复核,取证分片
A1-059,「活跃线程」定义,算法,新线程「累计=0 即不算活跃」（:363）,—,生产,lib/infrastructure/cli/resource_gate.h:363,无来源（定义未落文档）,resource_gate.h:363；U-07 立案；契约 compute.min_active_compute_threads【缺输入：判读层与第②层均未给保守取值方向】,CPU 判据①前置,红（判读层立案 CL-5S｜AUD-402-判读-A3 §2.2）：wall<5s → NotApplicable：契约 applicability 只规定严格 >10 s，且明记『C++ 侧原有 wall<5s 静默豁免已废止』⇒ 契约外第二判定域,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2 §4 U-07；U-07
A1-060,宪章条款号作为阈值出处（已废止）,常数,§18.2 冻结 85%/60%；§10.5 等,条款号（非数值）,生产,lib/infrastructure/cli/v6_runtime_contract.h:22；lib/infrastructure/cli/resource_gate.h:105；docs/DOCUMENT_INDEX.yaml:1065（补侧·本行出处所列，该侧带值）,无来源（DOCUMENT_INDEX.yaml:1065 记「原引『冻结宪章』已废止」；resource_gate.h:109-110 自述旧宪章文件已删）,v6_runtime_contract.h:4/:17/:22/:250/:291；resource_gate.h:63/:138/:191/:198/:298；docs/DOCUMENT_INDEX.yaml:1065【缺输入：判读层与第②层均未给保守取值方向】,权威指针面（决定「出处」列能否填）,红（判读层立案 A3 §2.5 L5b）：已废止宪章仍被当阈值出处引用，且 v6_runtime_contract.h:22 与 resource_gate.h:103-105 互相打脸,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3 §2.5 L5b
A1-061,工件回显精度低于判定精度,容差,%.2f 回显 min_reclaim_frac；%.1f 回显阈值,—,生产,lib/infrastructure/cli/memory_report.h:616；lib/infrastructure/cli/memory_report.h:617,不适用（表达层）,memory_report.h:260/:261/:262、:616、:617（0.005 = 10× %.3f 舍入，放大系数 10 无登记）；U-04 立案【缺输入：判读层与第②层均未给保守取值方向】,契约值一改即出现「工件镜像 ≠ 判定实值」而不可见,红（判读层立案 A2 §4 U-04／§3.4 L-08）：ASTROCS_DESIGN.md:239 §3.3 要求 epsilon 给物理或数值来源，三值同批未满足,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2 §4 U-04；§3.4 L-08；L-08；U-04
A1-062,无守卫的 uint64 增量减法,算法,d_read_bytes / d_write_bytes / d_ctx_switches 无 > 守卫,计数,生产,lib/infrastructure/cli/monitor.h:344,不适用（缺陷形态，非常数）,monitor.h:343（正例对照）、:344-346、:325-331、:433-435【缺输入：判读层与第②层均未给保守取值方向】,io_read_bytes/io_write_bytes 事件正确性,红（判读层立案 A2 L-12）：同段守卫不对称就是判据,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2 §3.4 L-12；L-12
A1-063,模板侧门（CHK-CONFIG-DEFAULTS）,算法,模板侧对键集合与数值比较双双贡献 0，门仍判绿,—,生产,eng/packaging/config/templates/normalize.phase_config.json:3,不适用（门退化）,AUD-402-判读-A1 §2.1 F-1；修法＝按 blocks[] 与顶层双形态遍历，配正/负例与 --self-test【缺输入：判读层与第②层均未给保守取值方向】,全部配置键的默认一致性判定,红（判读层立案 A1 F-1）：出厂模板侧静默失效 ⇒ 名义在、实际已失效（AGENTS §9 门退化）,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1 §2.1 F-1；F-1
A1-064,模板示例值与合法值不可分（crval/scale）,常数,session_commands.h:254 = 0.0；:258 = 0.001；:272 = 512.5,deg；deg/px；px,生产,lib/infrastructure/cli/session_commands.h:254；lib/infrastructure/cli/session_commands.h:258,有文献（14_projection.md:35/:38 与 schema:247-258）＋载体形态缺陷,session_commands.h:254/:258/:272；phase_config_export.schema.json#/$defs/center、#/$defs/scale_deg_per_px:324-327【缺输入：判读层与第②层均未给保守取值方向】,export 模板骨架,红（判读层立案 A3 §3）：用户照抄即提交；512.5 实为 crpix=(1+W)/2 的派生示例值，机械层当独立常数读,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3 §3、§5 第 1 条
A1-065,短 run 峰值族处理,算法,peak_equivalent_cores / max_threads 处理不一致,—,生产,lib/infrastructure/cli/monitor.h:397,不适用（两族处理不对称）,RESCUE-FD-08 只修了 max_threads；U-01 立案；判读-A2 §6 第 5 条订正了机械层一处位置读数（:397 与符号一致）【缺输入：判读层与第②层均未给保守取值方向】,短 run 观测事件正确性,红（判读层立案 A2 §4 U-01）：峰值族应一律移出 samples_>=2 分支,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2 §4 U-01；§6 第 5 条；U-01
A1-066,被正本否定的通量式 ×10^(−0.4·mag_G),公式,F_syn' = ∫S(λ)T(λ)Q(λ)λ dλ × 10^(−0.4·mag_G),不闭合,生产,,无来源（被本仓正本否定的写法仍以「非生产通道」存活并被测试覆盖）,AUD-201-测光核验 AUD201-001；复核-AUD201 V1（「被活跃调用」一项经复核改判）,测光通量式选型（文档＋非生产通道）,红：正本与任务书／在库非生产通道两种 F_syn 式并存（AUD201-001；复核-AUD201 V1）,是（第②层独立复核）,AUD-201-测光核验 AUD201-001／复核-AUD201 V1；复核注记：是（第②层复核覆盖成稿定性）
A1-067,裁剪 σ 倍数族（横向口径缺失）,容差,cosmic_clip_sigma 5.0 ／ background_clip_sigma 3.0 ／ iterativeClipSigma 9.0 ／ fwhmClipSigma 3.0,MAD 或 σ 倍数,生产,lib/algorithms/star_detection/src/sdet_api.cpp:996；lib/algorithms/star_detection/src/sdet_api.cpp:963；docs/science/NOISE_MODEL.md（补侧·本行出处所列，该侧带值）,有文献（各自条款）＋缺横向登记,docs/science/NOISE_MODEL.md §5（cosmic 5σ）；sdet_api.cpp:963-975（fwhmClipSigma 默认 3.0f）；:996（iterativeClipSigma 9.0f）；background_clip_sigma 3.0【缺输入：判读层与第②层均未给保守取值方向】,Phase1 各稳健裁剪路径,红（判读层立案 BD1-N5）：同族四值并存而无对比登记,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1 §1.4 N5
A1-068,键名/符号名不对齐族,算法,7 例：clip_sigma→cosmic_clip_sigma、spatial_field_enabled→enable_spatial_field、averaged_sigma→p.averaged、irls_max_iterations→kIrlsMaxIter、k_corr→control_k_corr、gaia_root→gaia_data_dir、spacing_px→sparse_snr_spacing_px,例,生产,eng/ci/check_config_defaults.py:182（补侧·本行出处所列权威锚）,不适用（治理面事实）,AUD-402-判读-A1 §1 第 3 条；eng/ci/check_config_defaults.py:182-213【缺输入：判读层与第②层均未给保守取值方向】,全部配置键的默认一致性判定,红（判读层立案 A1 §1）：这条轴上没有门 ⇒ 注册值 vs 代码值不一致这一整类缺陷在现有机器门下恒绿,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1 §1、§2.4
A1-069,(无名)·lib/infrastructure/cli/commands.cpp:560,常数,30.0,s,生产,lib/infrastructure/cli/commands.cpp:560；lib/infrastructure/cli/astrocs_process.h:36,不适用（非科学量）；取值本身**无量纲依据**（既非公式亦非测量）,唯一说明是同函数上下文（渲染器调用，devnull_stdio=true）；无文档条款、无契约件登记【缺输入：判读层与第②层均未给保守取值方向】,CLI 外部命令调用,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
A1-070,(无名)·lib/infrastructure/cli/memory_growth.h:104,常数,0.0;0.5,无量纲（阈值的半宽系数）,测试/实验,lib/infrastructure/cli/memory_growth.h:104；eng/tests/cli/test_memory_growth.py:32,无（0.5 与所在判据整体无出处；且该函数生产零调用）,无（其自称权威「07 §5」在跟踪集内无载体；见立案 L-05）【缺输入：判读层与第②层均未给保守取值方向】,无生产适用域（eng/tests/cli/test_memory_growth.py 唯一调用者）,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；L-05
A1-071,(无名)·lib/infrastructure/cli/memory_growth.h:105,常数,0.3,峰谷振幅比（(max-min)/min），无量纲,生产,lib/infrastructure/cli/memory_growth.h:105；eng/packaging/config/runtime_resources.json,无,无（「07 §6」载体不在跟踪集）【缺输入：判读层与第②层均未给保守取值方向】,无生产适用域,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；L-05
A1-072,(无名)·lib/infrastructure/cli/memory_growth.h:55,常数,0.0,字节/轮,生产,lib/infrastructure/cli/memory_growth.h:55；lib/infrastructure/cli/memory_report.h,"无（语义上有意义：样本不足时返回 0 = ""无趋势""，与""确无趋势""不可分）",无【缺输入：判读层与第②层均未给保守取值方向】,无生产适用域,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；L-05
A1-073,(无名)·lib/infrastructure/cli/memory_report.h:338,常数,0.0,字节/秒,生产,lib/infrastructure/cli/memory_report.h:338；lib/infrastructure/cli/memory_growth.h,"无（与 :336 同因，返回 0 = 静默""无趋势""）",无（唯一数值源与文档均未规定斜率不可算时的取值）,alloc_report.json rss_slope_bytes_per_s,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；U-02
A1-074,(无名)·lib/infrastructure/cli/memory_report.h:617,常数,0.005,相对（无量纲）,生产,lib/infrastructure/cli/memory_report.h:617；docs/plugins/infrastructure/21_observability.md,半可导出：:610 声称依据是 %.3f 打印舍入（截断误差 ≤5e-4），0.005 = 10×该误差；但 10× 这个放大系数无登记,无（同上；契约与 21_observability.md §8 均不复述此复算容差）【缺输入：判读层与第②层均未给保守取值方向】,报告自校验（CHK 面与审计复算共用）,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；L-08
A1-075,(无名)·lib/infrastructure/cli/resource_recorder.h:221,算法,0.0,未标注,生产,lib/infrastructure/cli/resource_recorder.h:221,不适用（结构性常数）,—（空集守卫）【缺输入：判读层与第②层均未给保守取值方向】,v 为空,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3；L8
A1-076,(无名)·lib/infrastructure/cli/resource_recorder.h:225,算法,0.5,未标注,生产,lib/infrastructure/cli/resource_recorder.h:225,C 二手（规格只写 mean/p50/p95/peak 之名）,无——最近秩变体 idx=round(q*(N-1)) 的定义在 21_observability §8.3 与契约均未登记【缺输入：判读层与第②层均未给保守取值方向】,样本数>=1,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3；N-1
A1-077,(无名)·lib/infrastructure/cli/runtime_client.cpp:118,常数,.0;1.0,—,生产,lib/infrastructure/cli/runtime_client.cpp:118；lib/infrastructure/scheduler/src/pipeline.cpp:89,不适用（结构性常数）,—（Pipeline IR 版本标识串）【缺输入：判读层与第②层均未给保守取值方向】,"build_pipeline_ir 产出的 ir[""version""]",,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3
A1-078,(无名)·lib/infrastructure/cli/session_commands.h:254,常数,0.0,deg,生产,lib/infrastructure/cli/session_commands.h:254,C 二手（示例占位）,phase_config_export.schema.json#/$defs/center 无 default 关键字【缺输入：判读层与第②层均未给保守取值方向】,export `--template` 的 center 块,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3
A1-079,(无名)·lib/infrastructure/cli/session_commands.h:258,常数,0.001,deg/px,生产,lib/infrastructure/cli/session_commands.h:258,C 二手（示例占位，无默认主张）,schema 只给 exclusiveMinimum 0（#/$defs/scale_deg_per_px:324-327），无 default；出厂模板 export.phase_config.json:11 同值 0.001 ⇒ 两侧一致，不构成多侧分歧【缺输入：判读层与第②层均未给保守取值方向】,export 模板,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3
A1-080,HP_ADAPTIVE_MAX_DEPTH,常数,8,层,生产,lib/algorithms/drizzle/healpix_drizzle/spherical_overlap.cpp:543,无来源（截断后残差 1.234e-6·hp_res 超阈 23%，且每边 256 段 = 1024 顶点/像素）,spherical_overlap.cpp:543-617 注释与常量【缺输入：判读层与第②层均未给保守取值方向】,创新点④ 细分代价,,是（第②层独立复核）,AUD-204-面积交叠核验 AUD204-06 改法(i)；复核注记：是
A1-081,Pipeline IR 版本串,常数,"""1.0.0""",语义版本,生产,lib/infrastructure/cli/runtime_client.cpp:118,无来源（版本面无登记点）,runtime_client.cpp:118；对照 VERSION:1=0.1.0-alpha.1 与 CMakeLists.txt:15 三侧一致（那是包版本，非 IR 版本）【缺输入：判读层与第②层均未给保守取值方向】,版本治理面,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A3 §3
A1-082,calibration.dark_light_exposure_tolerance,容差,5,s,生产,"eng/packaging/config/defaults.json:20；docs/science/CALIBRATION.md:19,21",待确认（负责人裁决未落 SCI 条文）,"无（注册件 source 记『负责人裁决 2026-09-16』，source_ref=null；docs/science/CALIBRATION.md:19,21 只有 K 语义无数值，本仓实测该文档内无 5 s）",normalize 预检与暗场优化建议路径,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
A1-083,denom,常数,1.0,字节/秒（与 rs 同量纲的下界）,生产,lib/infrastructure/cli/memory_report.h:616,无（1.0 这个下限无任何依据说明，且它使注释宣称的「0.5% 相对容差」在该区间变成绝对容差 0.005 B/s）,":610 注释「0.5% 相对容差, %.3f 打印误差内」是唯一自述，非外部出处【保守方向·回填自判读件】量纲自洽性核过：分子 |rs-slope| 是 B/s、分母 max(1,|rs|) 若按 1 取值则比值不再是「相对」⇒ **名实不符但不是算错**（B/s 量级实际 ≫1 时二者重合）。本行的可交付信息：这个门在斜率接近 0 时**更严**（绝对 0.005 B/s）而非更松，故不产生假绿，只可能产生假红，方向上属可容忍",validate_alloc_report 的斜率复算门,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；L-08
A1-084,kMaxSpatialAmplitudeDex,容差,1.0,dex（max|log10 m|）,生产,lib/algorithms/photometry/cpp/src/spatial_gain.cpp:49；lib/algorithms/photometry/cpp/src/spatial_gain.cpp:521,无来源（自述「约定值」，与 c=4.685、3× 抽样允差同类）,spatial_gain.cpp:49 定义、:521 判定、:494-497 自述；defaults.json 无该键；UNRESOLVED 台账零命中【缺输入：判读层与第②层均未给保守取值方向】,Phase1 低阶乘性空间增益,,是（第②层独立复核）,AUD-201-测光核验 AUD201-013；复核-测光默认阶数（影响面第 2 条）；复核注记：是（复核-测光默认阶数：该码全仓零登记）
A1-085,kPollIntervalMs,常数,10.0,毫秒,生产,lib/infrastructure/cli/process.cpp:26；docs/plugins/infrastructure/21_observability.md；eng/packaging/config/runtime_resources.json,无（10 ms 既非定义值也无标定；亦无文档）,无：21_observability.md §5 与 runtime_resources.json 都无子进程轮询间隔键【保守方向·回填自判读件】单位自洽核验：命名 Ms、使用处 :196 `std::chrono::milliseconds(static_cast<long long>(kPollIntervalMs))` ✓ 无二次换算。两平台**语义不等价**已核：Windows 由 WaitForSingleObject 精确到期，POSIX 有最多 10 ms 的检出滞后 ⇒ 同一 --timeout 值在两平台的实际截止相差 ≤,外部子进程（如 Gaia/XPSD 客户端、打包工具）等待面,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2
A1-086,kZPsyn,常数,-14.269,星等（mag，零点）,测试/实验,eng/tests/unit/p1snr/p1snr_fref_baseline_test.cpp:115；eng/tests/unit/p1001_real_nodes_test.cpp:4649,无（注释称取自 L4 t2_m1_red 拟合，但**该拟合值不在跟踪集内**）,"注释 :112（""取自 L4 t2_m1_red 的 Gaia XPSD 拟合量级""）；同族 kK1=6.272203e-17/kK2=5.685037e-17（:113-114）同源，另见 eng/tests/unit/p1001_real_nodes_test.cpp:4649 以""旧断言：帧间 k 散度 0.107 mag（6.272203e-17 vs 5.685037e-17）""引用同一对数值【保守方向·回填自判读件】**按""抄观测值""追查后判定为低风险但须登记**：全仓 `git grep -F 14.269` 只有本行这一条真命中（另一条是无关 CSV 数字），即唯一数值源是**口头注释**而非落档件；`t2_m1_red` 只出现在 eng/tests/validation/release02/phot_verify/debug*.py 的帧名里，无 -14.269 结果件。缓解：本用例是自证恒等式——:",合成零点/恒等式回归 N2,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1；L4
A1-087,leak_slope_bytes_per_iter,算法,0.0,字节/轮（bytes per iteration）,生产,lib/infrastructure/cli/memory_growth.h:37；lib/infrastructure/cli/memory_report.h,"无（默认 0.0 = 判据关死；单位虽标 bytes/轮但""轮""无定义）","无【保守方向·回填自判读件】默认 0.0 的后果可静态判定：:116-117 的 Leak 分支带 `&& cfg.leak_slope_bytes_per_iter > 0`，:104 的近零界同样短路 ⇒ 默认配置下 Leak/Oscillating 两个枚举值永不出现，只剩 OomPreWarning/Growing/Stable。这不是保守取值""而是**静默降级**（诊断类别少了两档而产物字段不声明）。分母""轮""由调",无生产适用域,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；L-05
A1-088,max_recip 的真判据 5e-3,容差,5e-3,无量纲相对偏差,测试/实验,eng/tests/unit/p1001_real_nodes_test.cpp:3261,无来源（机械层只登记了累加器 0.0，未登记这条判据）,p1001_real_nodes_test.cpp:3261（判据）、:3241/:3063（同名的两个累加器）【缺输入：判读层与第②层均未给保守取值方向】,variance×ivar≈1 的互反性门,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1 §1.4 N3；§6 第 7 条（机械漏判）
A1-089,oom_frac,常数,0.85,分数（峰值/上限），无量纲,测试/实验,lib/infrastructure/cli/memory_growth.h:38；docs/ci/03_GATES.md:62；docs/ci/CI_SPEC.md:210；docs/contracts/PERF_GATE_CONTRACT.md:12；eng/packaging/config/runtime_resources.json；eng/tests/cli/test_memory_growth.py:33,无（本仓唯一 0.85 登记是 CPU 利用率门，非内存）,"无。docs 侧 0.85 全部命中 CPU 利用率判据（docs/ci/03_GATES.md:62、CI_SPEC.md:210、PERF_GATE_CONTRACT.md:12）与 PS1 PSF_QF 文献值，均与接近 OOM""无关""【保守方向·回填自判读件】两档来源皆缺：既非契约导出（内存预算侧唯一数值源 runtime_resources.json 登记的是 memory_budget_percent=95 与压力水位 90/75，且带推导），也无实验标定。数值碰撞风险实在：同数 0.85 在本仓另有已登记的物理含义（利用率下限），复读者极易误当同源。多侧并列：代码 0.85 / 文档 无 / 测试 0.85（test_memory_growth.",无生产适用域,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2；L-05
A1-090,rejection.esd.alpha,算法,0.05,1（无量纲）,生产,eng/packaging/config/defaults.json:457；docs/science/REJECTION.md:118；eng/packaging/config/defaults.json；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1253,待确认（本仓 SCI 自己声明『文献不提供该门值』）,"docs/science/REJECTION.md:118（ESD: alpha 0.05 / max_outliers 10）与 :284『alpha=0.05/max_outliers=10 为 Project-defined 采纳值，**文献不提供**这两个门值』；方法学一手 = Rosner 1983 Technometrics 25,165（DOI 10.1080/00401706.1983.10487848，登记于 :296）【保守方向·回填自判读件】**订正机械层与注册件**：队列写『有文献（SCI §5 冻结 0.05）』、defaults.json 也记 authority_status=sourced，但同一文档 :284 明确否认文献提供 ⇒ 该值不得按『文献值』登记；:85 与 :267 已实测级联效应（每步 α=0.05 校准精确 4.95%，但 k=10 级联后总误判率抬到 11.36%）⇒ α 与 max_outliers 耦",Phase2 排异 ESD 路径,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
A1-091,rejection.esd.max_outliers,算法,10,count,生产,eng/packaging/config/defaults.json:471；docs/science/REJECTION.md:118；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1253,待确认（同上，本仓自认 Project-defined）,docs/science/REJECTION.md:118/:284【保守方向·回填自判读件】同簇（与 alpha 共用 :118/:284 出处，共 2 行）：10 是绝对数而与 Phase2 典型贡献帧数 n 无关 ⇒ n<10 时该上限完全失效（ESD 会先因样本耗尽停止），n 大时又过松；:85 的 11.36% 实测正是 n=10 档级联代价，说明 10 已被观测数据反证为偏松；代码 rejection.cpp:1253,Phase2 排异 ESD 路径,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
A1-092,scalar_gate.rd,常数,null,unspecified,生产,eng/packaging/config/defaults.json:722；docs/plugins/algorithms_phase1/07_noise_snr.md:61；docs/plugins/algorithms_phase1/07_noise_snr.md:76,无来源（GAP-024）,docs/plugins/algorithms_phase1/07_noise_snr.md:61 默认列与单位列均为 ——；pending_task=SCI-RES-01/R-002【保守方向·回填自判读件】单位字段写 unspecified 而非留空＝如实（标准 02 §3 要求单位，此处如实承认无单位）；**行为侧缺口**：07_noise_snr.md:76 规定标量门失败须自动升级空间模型 ⇒ 在阈值未定时『判据不成立』永远走兜底路径，实际语义是『门不启用』，而注册面未写这一句 ⇒ 建议把值语义改为『disabled』并显式登记，而非 null（null 会被读成『待填』而仍被下游当阈值用）；,Phase1 标量 SNR 门,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1；R-002
A1-093,scalar_gate.trend,常数,null,unspecified,生产,eng/packaging/config/defaults.json:733；docs/plugins/algorithms_phase1/07_noise_snr.md:62,无来源（GAP-024）,docs/plugins/algorithms_phase1/07_noise_snr.md:62（scalar_gate_trend 行，默认与单位列均为 ——）；pending_task=SCI-RES-01/R-002【保守方向·回填自判读件】同簇（与 scalar_gate.rd 共用 R-002 一条出处，共 2 行）：两键合起来使『标量降级路径』目前无任何量化判据；字段名取自插件文档 :62 而非任一生产符号（lib 内 scalar_gate 零命中）⇒ 键名与实现面无对应物，未来实现者可能另起名（本队列已见 4 例键名/符号名不对齐）；建议与 rd 一并改判『disabled 显式登记』,Phase1 标量 SNR 门,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1；R-002
A1-094,timeout_s,常数,0.0,s,生产,lib/infrastructure/cli/astrocs_process.h:36；lib/infrastructure/cli/commands.cpp:560,不适用（非科学量）；但默认值方向为 **fail-open**（省略形参即静默无超时）,行内 :29 注释『<=0 时不限时（禁止用于生产路径）』⇒ 禁令只写在注释，签名仍允许省略；未见任何门强制 run_process 的 timeout 实参,CLI 子进程调用（渲染器等）,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A1
A1-095,tol,容差,1e-12（比较器绝对地板）,无量纲（绝对误差地板，与 rtol·|期望| 相加）,测试/实验,eng/tests/unit/p1snr/p1snr_linux_test.cpp:52；docs/standards/NUMERIC_STANDARD.md:68-71,无（未见任何文档/注释给该地板的依据）,无。可类比登记：docs/standards/NUMERIC_STANDARD.md:68-71 为 1e-12 做过量纲级论证（variance_floor 与 float32 可表示性），但该论证属**方差地板**，不覆盖比较器【保守方向·回填自判读件】五件事缺 4 件（单位/归一化/精度/域皆未登记）。1e-12 的选择方向可辩护（比 float64 eps 高约 4.4e6 倍，可吸收若干次算术舍入，又不掩盖真实缺陷），但按标准 02 §3 epsilon 须给物理或数值来源 ⇒ 应登记为 C·u64 的倍数或直接引 NUMERIC_STANDARD。同值字面量散落：模式 tol = 1e-12 全仓 tot=7（lib 4/eng 1/实验,本文件全部 check_close 断言的绝对项,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-BD1
A1-096,峰值时刻定位用相等比较,算法,==,—,生产,lib/infrastructure/cli/memory_report.h:510,不适用,memory_report.h:510-512；U-06 立案,分配逃逸窗判据,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2 §4 U-06；U-06
A1-097,带内色项（未建模量）,常数,0.0107 mag（斜率 ~0.0023 mag/(BP−RP)）,mag,生产,,实验标定（实测数存在，既未建模也未登记）,AUD201-009【缺输入：判读层与第②层均未给保守取值方向】,测光色项适用域,,否（仅链路成稿，未过第②层复核）,AUD-201-测光核验 AUD201-009；复核注记：否（仅成稿）
A1-098,报告自校验对 v2 增量字段,算法,只校验存在、不校验自洽,—,生产,lib/infrastructure/cli/memory_report.h:593,不适用,memory_report.h:593-594；U-05 立案【缺输入：判读层与第②层均未给保守取值方向】,观测工件自校验强度,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2 §4 U-05；U-05
A1-099,观测开销不影响性能预算的承诺,算法,无对应判据字段,—,生产,,无来源（承诺无门、责任无文）,docs/plugins/infrastructure/21_observability.md:8；U-08 立案【缺输入：判读层与第②层均未给保守取值方向】,观测面自证能力,,否（判读层逐行已判，未过第②层复核）,AUD-402-判读-A2 §4 U-08；U-08
A1-100,cfg.reference_flux_adu（F_ref 逐帧参考通量）,常数,"结构体侧默认 0.0（weight_chain.h:315、pc_api.cpp:961/1019/1133 行内默认）；生产实际值 F_ref,k = 10^(−0.4(m_ref − ZP_k))",ADU,生产,lib/algorithms/integration/v6/include/astrocs/v6/weight_chain.h:315；lib/algorithms/photometry/cpp/src/pc_api.cpp:961；lib/algorithms/photometry/cpp/src/pc_api.cpp:1019；lib/algorithms/photometry/cpp/src/pc_api.cpp:1133；lib/algorithms/noise_snr/cpp/src/snr_science.cpp:201；lib/algorithms/noise_snr/wrapper_phase1/snr_frame_science.cpp:189-201；lib/infrastructure/scheduler/src/module_adapters.cpp:7168-71,公式导出（由 m_ref 与 ZP_k 导出）；m_ref 侧出处未登记（共同缺口）,"SNR链路核验报告.md:29（frame_snr = F_ref/σ_F(ref profile)，F_ref,k = 10^(−0.4(m_ref − ZP_k))，m_ref = 6.0）、:149 DEV-03、:168-169；复核-AUD202.md:35 V1(a) 臂 B（snr_science.cpp:201 var_i = σ_sky²+rn+F·P_i/g，F 恒等于 cfg.reference_flux_adu）；链路间口径对表.md:23；D4-多侧默认值候选.csv ⑤仅跨侧异值（reference_flux：插件表登记面 vs 结构体字段面）",创新点② 跨帧绝对 SNR 权重链（臂 B）与稀疏控制点换算；影响面 = 逐帧权重与 SNR 头条数随该数平移,"红（复核-AUD202 V1(a) 臂 B）：F 恒等于 cfg.reference_flux_adu ⇒ frame_snr 是""在固定参考通量处求值""的帧常数，与像素 (x,y) 无关；另 AUD202-004：生产写入的分子是逐源 F_i 而非合同 const 要求的 F_ref ⇒ 换算恒等式 w = SNR²/F_ref² ≡ 1/σ_F² 的前提被破坏",是（第②层独立复核）,复核-AUD202 V1(a)/V4；AUD-202-SNR核验 AUD202-003／AUD202-004；SNR链路核验报告 DEV-03
A1-101,m_ref（参考星等档）,常数,6.0,mag（星等）,测试/实验,SNR链路核验报告.md:29；SNR链路核验报告.md:168-169；SNR链路核验报告.md:201；eng/tests/unit/p1snr/p1snr_fref_baseline_test.cpp:256；lib/algorithms/platesolve/cpp/ipv/src/ipv_select.cpp:343（另一裸 6.0，角色不同）；链路间口径对表.md:32,无来源（SNR 链路成稿与第②层复核、四条链路取证面均未登记该常数的出处）,SNR链路核验报告.md:169『m_ref = 6.0 的常数出处四条链路的取证面均未登记（不判错，登记为共同缺口）』、:201（诚实边界表行「m_ref = 6.0 的出处｜四链取证面均未登记｜常数登记」）、:218（DEV-13 论证缺口）；链路间口径对表.md:32（与 ipv_select.cpp:343 极限星等初值式里的裸 6.0 角色不同，文档未区分）,"创新点② 的 F_ref 数值面；影响面 = 登记面（不改变运行行为），但在补登记前不得把 F_ref 写成""已溯源常数""",红（链路间口径对表 §1 共同缺口）：两处不同角色使用同一裸值 6.0（参考星等档 vs 极限星等初值系数），文档未区分 ⇒ 同名值歧义,是（第②层沿用成稿登记为共同缺口，未单列定级）,SNR链路核验报告 DEV-13／诚实边界；链路间口径对表 §1；复核-AUD202（沿用）
