类型,符号或键,位点,现行值,机判档,赋值形态,该行原文
具名,dot,lib/algorithms/shared/healpix/healpix_core.cpp:432,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double dot = za * zb + std::sqrt((1.0 - za * za) * (1.0 - zb * zb)) * std::cos(phi_a);
具名,radius_rad,lib/algorithms/shared/healpix/healpix_core.cpp:443,180.0;3600.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double radius_rad = radius_arcsec * kPi / (180.0 * 3600.0);
具名,decR,lib/algorithms/shared/healpix/healpix_core.cpp:444,180.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double decR = dec_deg * kPi / 180.0;
具名,raR,lib/algorithms/shared/healpix/healpix_core.cpp:445,180.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double raR = ra_deg * kPi / 180.0;
具名,ra_c,lib/algorithms/shared/healpix/healpix_core.cpp:477,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double ra_c = 0.0, dec_c = 0.0;"
具名,z,lib/algorithms/shared/healpix/healpix_core.cpp:479,180.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double z = std::sin(dec_c * kPi / 180.0);
具名,phi,lib/algorithms/shared/healpix/healpix_core.cpp:480,180.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double phi = ra_c * kPi / 180.0;
具名,cangdist,lib/algorithms/shared/healpix/healpix_core.cpp:484,1.0,③未见于条文面,字面量硬编码·条文面零提及,if (cangdist > 1.0) cangdist = 1.0;
具名,cangdist,lib/algorithms/shared/healpix/healpix_core.cpp:485,-1.0,③未见于条文面,字面量硬编码·条文面零提及,if (cangdist < -1.0) cangdist = -1.0;
具名,avmax,lib/algorithms/star_detection/src/nls_lm.cpp:21,0.75,③未见于条文面,随输入算出（可导出，但须登记导出式）,* 2) 信赖域半径 Δ 更新（Nielsen 1999；GSL 的 factor_up=3 / factor_down=2 / avmax=0.75
具名,s,lib/algorithms/star_detection/src/nls_lm.cpp:73,0.0,③未见于条文面,字面量硬编码·条文面零提及,double s = 0.0;
具名,s,lib/algorithms/star_detection/src/nls_lm.cpp:111,0.0,③未见于条文面,字面量硬编码·条文面零提及,double s = 0.0;
具名,max_diag,lib/algorithms/star_detection/src/nls_lm.cpp:144,0.0,③未见于条文面,字面量硬编码·条文面零提及,double max_diag = 0.0;
具名,max_diag,lib/algorithms/star_detection/src/nls_lm.cpp:146,0.0;1.0,③未见于条文面,字面量硬编码·条文面零提及,if (!(max_diag > 0.0) || !std::isfinite(max_diag)) max_diag = 1.0;
具名,lam0,lib/algorithms/star_detection/src/nls_lm.cpp:151,0.0,③未见于条文面,字面量硬编码·条文面零提及,double lam0 = 0.0;
具名,ok0,lib/algorithms/star_detection/src/nls_lm.cpp:152,0.0,③未见于条文面,字面量硬编码·条文面零提及,"bool ok0 = solve_damped(A, D, g, p, 0.0, h, M, rhs, wa);"
具名,lam0,lib/algorithms/star_detection/src/nls_lm.cpp:155,10.0,③未见于条文面,字面量硬编码·条文面零提及,"lam0 = max_diag * std::pow(10.0, static_cast<double>(k));"
具名,psi_lo,lib/algorithms/star_detection/src/nls_lm.cpp:169,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double lo = lam0, psi_lo = 0.0, hi = 0.0, psi_hi = 0.0, nh = 0.0;"
具名,psi_hi,lib/algorithms/star_detection/src/nls_lm.cpp:184,1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,"psi_hi = 1.0 / std::max(nh, 1e-300) - 1.0 / std::max(delta, 1e-300);"
具名,lam,lib/algorithms/star_detection/src/nls_lm.cpp:204,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,lam = 0.5 * (lam + hi);
具名,mu,lib/algorithms/star_detection/src/nls_lm.cpp:294,0.0,③未见于条文面,字面量硬编码·条文面零提及,double mu = 0.0;
具名,nu,lib/algorithms/star_detection/src/nls_lm.cpp:295,2.0,③未见于条文面,字面量硬编码·条文面零提及,double nu = 2.0;
具名,s,lib/algorithms/star_detection/src/nls_lm.cpp:303,0.0,③未见于条文面,字面量硬编码·条文面零提及,double s = 0.0;
具名,s,lib/algorithms/star_detection/src/nls_lm.cpp:315,0.0,③未见于条文面,字面量硬编码·条文面零提及,double s = 0.0;
具名,sg,lib/algorithms/star_detection/src/nls_lm.cpp:320,0.0,③未见于条文面,字面量硬编码·条文面零提及,double sg = 0.0;
具名,rho,lib/algorithms/star_detection/src/nls_lm.cpp:326,-1.0;0.0,③未见于条文面,声明行未见值（须读初始化处）,"double rho = -1.0, actred = 0.0, prered = 0.0, trial_cost = cost;"
具名,dhnorm,lib/algorithms/star_detection/src/nls_lm.cpp:327,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double dhnorm = 0.0, lambda = 0.0;"
具名,hgh,lib/algorithms/star_detection/src/nls_lm.cpp:349,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double hgh = 0.0, hAh = 0.0;"
具名,s,lib/algorithms/star_detection/src/nls_lm.cpp:352,0.0,③未见于条文面,字面量硬编码·条文面零提及,double s = 0.0;
具名,prered,lib/algorithms/star_detection/src/nls_lm.cpp:356,-2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,prered = -2.0 * hgh - hAh;  // χ²(x) − ‖f + J·h‖²
具名,rho,lib/algorithms/star_detection/src/nls_lm.cpp:357,-1.0;0.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,rho = (prered > 0.0 && std::isfinite(prered)) ? (actred / prered) : -1.0;
具名,mu,lib/algorithms/star_detection/src/nls_lm.cpp:370,0.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,"mu = (mu > 0.0) ? mu * nu : std::max(lambda, 1e-12) * nu;"
具名,nu,lib/algorithms/star_detection/src/nls_lm.cpp:371,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,"nu = std::min(nu * 2.0, 1e12);"
具名,nu,lib/algorithms/star_detection/src/nls_lm.cpp:401,2.0,③未见于条文面,字面量硬编码·条文面零提及,nu = 2.0;
具名,ginf,lib/algorithms/star_detection/src/nls_lm.cpp:432,0.0,③未见于条文面,字面量硬编码·条文面零提及,double ginf = 0.0;
具名,factor_up,lib/algorithms/star_detection/src/nls_lm.h:54,0.75,③未见于条文面,随输入算出（可导出，但须登记导出式）,*   gsl_multifit_nlinear_default_parameters 的 factor_up=3/factor_down=2/avmax=0.75）。*/
具名,xtol_abs,lib/algorithms/star_detection/src/nls_lm.h:60,3.1,③未见于条文面,随输入算出（可导出，但须登记导出式）,"double xtol_abs = 1e-6;     /**< xtol 的绝对项（GSL 实证语义, 见 REPORT §3.1） */"
具名,factor_up,lib/algorithms/star_detection/src/nls_lm.h:61,3.0,③未见于条文面,字面量硬编码·条文面零提及,double factor_up = 3.0;     /**< 步长/信赖域放大因子（GSL 默认） */
具名,factor_down,lib/algorithms/star_detection/src/nls_lm.h:62,2.0,③未见于条文面,字面量硬编码·条文面零提及,double factor_down = 2.0;   /**< 步长/信赖域缩小因子（GSL 默认） */
具名,avmax,lib/algorithms/star_detection/src/nls_lm.h:63,0.75,③未见于条文面,字面量硬编码·条文面零提及,double avmax = 0.75;        /**< 判「好步」的增益比门（GSL 默认） */
具名,rms,lib/algorithms/star_detection/src/nls_lm.h:79,0.0,③未见于条文面,字面量硬编码·条文面零提及,double rms = 0.0;           /**< sqrt(χ²/n) */
具名,mu,lib/algorithms/star_detection/src/nls_lm.h:80,0.0,③未见于条文面,字面量硬编码·条文面零提及,double mu = 0.0;            /**< 最终阻尼参数（诊断用） */
具名,r,lib/algorithms/star_detection/src/sdet_api.cpp:127,0.5;1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double r = 0.5 * (cos(x[5]) + 1.0);
具名,sumres,lib/algorithms/star_detection/src/sdet_api.cpp:131,0.0,③未见于条文面,字面量硬编码·条文面零提及,double sumres = 0.0;
具名,r,lib/algorithms/star_detection/src/sdet_api.cpp:170,0.5;1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double r = 0.5 * (cos(x[5]) + 1.0);
具名,tmpd,lib/algorithms/star_detection/src/sdet_api.cpp:184,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double tmpd = 2.0 * A * tmpc * (tmpx / SX * ca + tmpy / SY * sa);  // dx0
具名,tmpd,lib/algorithms/star_detection/src/sdet_api.cpp:186,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,tmpd = 2.0 * A * tmpc * (-tmpx / SX * sa + tmpy / SY * ca);  // dy0
具名,tmpd,lib/algorithms/star_detection/src/sdet_api.cpp:192,1.0;2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,tmpd = 2.0 * A * tmpc * tmpx * tmpy * (1.0 / SX - 1.0 / SY);  // dalpha
具名,rmse_ratio,lib/algorithms/star_detection/src/sdet_api.cpp:231,1.482602218505602,③未见于条文面,随输入算出（可导出，但须登记导出式）,double rmse_ratio = fit.mad * 1.482602218505602 / fit.A;
具名,fwhm_limit,lib/algorithms/star_detection/src/sdet_api.cpp:248,0.5;1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double fwhm_limit = se_smax * _2_SQRT_2_LOG2 * (1.0 + 0.5 * std::log(se_smax / KERNEL_SIZE));
具名,x0_init,lib/algorithms/star_detection/src/sdet_api.cpp:355,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double x0_init = (double)(jj1 + jj2 + 1) / 2.0 - xc;
具名,y0_init,lib/algorithms/star_detection/src/sdet_api.cpp:356,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double y0_init = (double)(ii1 + ii2 + 1) / 2.0 - yc;
具名,sx,lib/algorithms/star_detection/src/sdet_api.cpp:400,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,double sx = sqrt(SX * 0.5);  // Gaussian: σ = sqrt(SX/2)
具名,r,lib/algorithms/star_detection/src/sdet_api.cpp:401,0.5;1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double r = 0.5 * (cos(fr) + 1.0);
具名,angle_deg,lib/algorithms/star_detection/src/sdet_api.cpp:412,180.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double angle_deg = -alpha * 180.0 / M_PI;
具名,angle_deg_norm,lib/algorithms/star_detection/src/sdet_api.cpp:413,0.0,③未见于条文面,字面量硬编码·条文面零提及,double angle_deg_norm = 0.0;
具名,lo,lib/algorithms/star_detection/src/sdet_api.cpp:472,5.0,③未见于条文面,字面量硬编码·条文面零提及,T lo = dmed - T(5.0) * dsigma;
具名,hi,lib/algorithms/star_detection/src/sdet_api.cpp:473,5.0,③未见于条文面,字面量硬编码·条文面零提及,T hi = dmed + T(5.0) * dsigma;
具名,sum,lib/algorithms/star_detection/src/sdet_api.cpp:489,0.0,③未见于条文面,字面量硬编码·条文面零提及,double sum = 0.0;
具名,var,lib/algorithms/star_detection/src/sdet_api.cpp:492,0.0,③未见于条文面,字面量硬编码·条文面零提及,double var = 0.0;
具名,dx,lib/algorithms/star_detection/src/sdet_api.cpp:537,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,sp.dx = static_cast<double>(x) + 0.5 - cx;
具名,dy,lib/algorithms/star_detection/src/sdet_api.cpp:538,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,sp.dy = static_cast<double>(y) + 0.5 - cy;
具名,center_x,lib/algorithms/star_detection/src/sdet_api.cpp:692,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,center_x = (double)(xr + xl) / 2.0;
具名,center_y,lib/algorithms/star_detection/src/sdet_api.cpp:693,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,center_y = (double)(yd + yu) / 2.0;
具名,bg,lib/algorithms/star_detection/src/sdet_api.cpp:732,.1f,③未见于条文面,形态不明·需人工读用途,"sdet_log(SDET_LOG_INFO, ""SDET"", ""Saturated star threshold: %.1f (bg=%.1f dynrange=%.1f minsatlevel=%.1f satran"
具名,start_x,lib/algorithms/star_detection/src/sdet_api.cpp:785,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,int start_x = (sum_w > 0) ? (int)(sum_wx / sum_w + 0.5) : (components[i].x0 + components[i].x1) / 2;
具名,start_y,lib/algorithms/star_detection/src/sdet_api.cpp:786,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,int start_y = (sum_w > 0) ? (int)(sum_wy / sum_w + 0.5) : (components[i].y0 + components[i].y1) / 2;
具名,cx,lib/algorithms/star_detection/src/sdet_api.cpp:1085,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double cx = (sum_w > 0) ? sum_wx / sum_w : (components[i].x0 + components[i].x1) / 2.0;
具名,cy,lib/algorithms/star_detection/src/sdet_api.cpp:1086,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double cy = (sum_w > 0) ? sum_wy / sum_w : (components[i].y0 + components[i].y1) / 2.0;
具名,fwhm_est,lib/algorithms/star_detection/src/sdet_api.cpp:1112,0.87f;3.14159265f,③未见于条文面,随输入算出（可导出，但须登记导出式）,float fwhm_est = sqrt((float)med_pixel_count / 3.14159265f) * 0.87f;
具名,auto_fit_radius,lib/algorithms/star_detection/src/sdet_api.cpp:1113,3.0f,③未见于条文面,随输入算出（可导出，但须登记导出式）,int auto_fit_radius = (int)(3.0f * fwhm_est);
具名,med_pixels,lib/algorithms/star_detection/src/sdet_api.cpp:1121,.2f,③未见于条文面,形态不明·需人工读用途,"sdet_log(SDET_LOG_INFO, ""SDET"", ""Auto fitRadius: med_pixels=%d fwhm_est=%.2f auto_radius=%d actual=%d"","
具名,rate,lib/algorithms/star_detection/src/sdet_api.cpp:1182,100.0f,③未见于条文面,随输入算出（可导出，但须登记导出式）,float rate = (float)bins[b].ok / bins[b].total * 100.0f;
具名,avg_fwhm,lib/algorithms/star_detection/src/sdet_api.cpp:1192,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,float avg_fwhm = (float)((fit_results[i].fwhm_x + fit_results[i].fwhm_y) / 2.0);
具名,fwhm_med,lib/algorithms/star_detection/src/sdet_api.cpp:1197,0.0f,③未见于条文面,字面量硬编码·条文面零提及,"float fwhm_med = 0.0f, fwhm_mad_val = 0.0f;"
具名,med,lib/algorithms/star_detection/src/sdet_api.cpp:1203,.4f,③未见于条文面,形态不明·需人工读用途,"sdet_log(SDET_LOG_INFO, ""SDET"", ""FWHM stats: med=%.4f mad=%.4f (from %d fitted stars)"","
具名,avg_fwhm,lib/algorithms/star_detection/src/sdet_api.cpp:1212,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,float avg_fwhm = (float)((fit_results[i].fwhm_x + fit_results[i].fwhm_y) / 2.0);
具名,cx,lib/algorithms/star_detection/src/sdet_api.cpp:1420,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double cx = (sum_w > 0) ? sum_wx / sum_w : (components[i].x0 + components[i].x1) / 2.0;
具名,cy,lib/algorithms/star_detection/src/sdet_api.cpp:1421,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double cy = (sum_w > 0) ? sum_wy / sum_w : (components[i].y0 + components[i].y1) / 2.0;
具名,fwhm_est,lib/algorithms/star_detection/src/sdet_api.cpp:1449,0.87f;3.14159265f,③未见于条文面,随输入算出（可导出，但须登记导出式）,float fwhm_est = sqrt((float)med_pixel_count / 3.14159265f) * 0.87f;
具名,auto_fit_radius,lib/algorithms/star_detection/src/sdet_api.cpp:1450,3.0f,③未见于条文面,随输入算出（可导出，但须登记导出式）,int auto_fit_radius = (int)(3.0f * fwhm_est);
具名,med_pixels,lib/algorithms/star_detection/src/sdet_api.cpp:1456,.2f,③未见于条文面,形态不明·需人工读用途,"sdet_log(SDET_LOG_INFO, ""SDET"", ""Auto fitRadius: med_pixels=%d fwhm_est=%.2f auto_radius=%d actual=%d"","
具名,avg_fwhm,lib/algorithms/star_detection/src/sdet_api.cpp:1490,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,float avg_fwhm = (float)((fit_results[i].fwhm_x + fit_results[i].fwhm_y) / 2.0);
具名,fwhm_med,lib/algorithms/star_detection/src/sdet_api.cpp:1495,0.0f,③未见于条文面,字面量硬编码·条文面零提及,"float fwhm_med = 0.0f, fwhm_mad_val = 0.0f;"
具名,med,lib/algorithms/star_detection/src/sdet_api.cpp:1501,.4f,③未见于条文面,形态不明·需人工读用途,"sdet_log(SDET_LOG_INFO, ""SDET"", ""Debug FWHM: med=%.4f mad=%.4f (%d fitted)"","
具名,avg_fwhm,lib/algorithms/star_detection/src/sdet_api.cpp:1510,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,float avg_fwhm = (float)((fit_results[i].fwhm_x + fit_results[i].fwhm_y) / 2.0);
具名,r,lib/algorithms/star_detection/src/sdet_api.cpp:1535,0.0f,③未见于条文面,字面量硬编码·条文面零提及,rec.r = 0.0f;
具名,cand_R,lib/algorithms/star_detection/src/sdet_api.cpp:1536,0.0f,③未见于条文面,字面量硬编码·条文面零提及,rec.cand_R = 0.0f;
具名,mag,lib/algorithms/star_detection/src/sdet_api.cpp:1537,-2.5f;0.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,rec.mag = (fit_results[i].A > 0.0) ? -2.5f * log10f((float)fit_results[i].A) : NAN;
具名,img_median,lib/algorithms/star_detection/src/sdet_api.cpp:1548,0.0f,③未见于条文面,字面量硬编码·条文面零提及,float img_median = 0.0f;  // 接收全局中位数背景
具名,mag,lib/algorithms/star_detection/src/sdet_api.cpp:1597,-2.5f;0.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,rec.mag = (sat_fit.A > 0.0) ? -2.5f * log10f((float)sat_fit.A) : NAN;
具名,sx,lib/algorithms/star_detection/src/sdet_api.cpp:1604,0.0f,③未见于条文面,字面量硬编码·条文面零提及,rec.sx = 0.0f;
具名,sy,lib/algorithms/star_detection/src/sdet_api.cpp:1605,0.0f,③未见于条文面,字面量硬编码·条文面零提及,rec.sy = 0.0f;
具名,bg,lib/algorithms/star_detection/src/sdet_api.cpp:1829,.1f,③未见于条文面,形态不明·需人工读用途,"sdet_log(SDET_LOG_INFO, ""SDET"", ""peaker: bg=%.1f maxi=%.1f norm=%.1f dynrange=%.1f """
具名,r0,lib/algorithms/star_detection/src/sdet_api.cpp:1916,-0.5,③未见于条文面,字面量硬编码·条文面零提及,r0 = (std::abs(denom_r) < T(1e-20)) ? T(-0.5) : T(-0.5) - d1rl / denom_r;
具名,c0,lib/algorithms/star_detection/src/sdet_api.cpp:1917,-0.5,③未见于条文面,字面量硬编码·条文面零提及,c0 = (std::abs(denom_c) < T(1e-20)) ? T(-0.5) : T(-0.5) - d1cu / denom_c;
具名,r0,lib/algorithms/star_detection/src/sdet_api.cpp:1970,-0.5f,③未见于条文面,字面量硬编码·条文面零提及,r0 = -0.5f;
具名,c0,lib/algorithms/star_detection/src/sdet_api.cpp:1971,-0.5f,③未见于条文面,字面量硬编码·条文面零提及,c0 = -0.5f;
具名,Sr,lib/algorithms/star_detection/src/sdet_api.cpp:2054,0.5,③未见于条文面,字面量硬编码·条文面零提及,T Sr = T(0.5) * (-srl + srr);
具名,Ar,lib/algorithms/star_detection/src/sdet_api.cpp:2055,0.5,③未见于条文面,字面量硬编码·条文面零提及,T Ar = T(0.5) * (Arl + Arr);
具名,Sc,lib/algorithms/star_detection/src/sdet_api.cpp:2056,0.5,③未见于条文面,字面量硬编码·条文面零提及,T Sc = T(0.5) * (-scu + scd);
具名,Ac,lib/algorithms/star_detection/src/sdet_api.cpp:2057,0.5,③未见于条文面,字面量硬编码·条文面零提及,T Ac = T(0.5) * (Acu + Acd);
具名,fwhm_est,lib/algorithms/star_detection/src/sdet_api.cpp:2155,0.87f;3.14159265f,③未见于条文面,随输入算出（可导出，但须登记导出式）,float fwhm_est = sqrt((float)med_pixel_count / 3.14159265f) * 0.87f;
具名,auto_fit_radius,lib/algorithms/star_detection/src/sdet_api.cpp:2156,3.0f,③未见于条文面,随输入算出（可导出，但须登记导出式）,int auto_fit_radius = (int)(3.0f * fwhm_est);
具名,med_pixels,lib/algorithms/star_detection/src/sdet_api.cpp:2162,.2f,③未见于条文面,形态不明·需人工读用途,"sdet_log(SDET_LOG_INFO, ""SDET"", ""Auto fitRadius: med_pixels=%d fwhm_est=%.2f auto_radius=%d actual=%d"","
具名,rate,lib/algorithms/star_detection/src/sdet_api.cpp:2240,100.0f,③未见于条文面,随输入算出（可导出，但须登记导出式）,float rate = (float)bins[b].ok / bins[b].total * 100.0f;
具名,avg_fwhm,lib/algorithms/star_detection/src/sdet_api.cpp:2251,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,float avg_fwhm = (float)((fit_results[i].fwhm_x + fit_results[i].fwhm_y) / 2.0);
具名,fwhm_med,lib/algorithms/star_detection/src/sdet_api.cpp:2256,0.0f,③未见于条文面,字面量硬编码·条文面零提及,"float fwhm_med = 0.0f, fwhm_mad_val = 0.0f;"
具名,med,lib/algorithms/star_detection/src/sdet_api.cpp:2262,.1f;.4f,③未见于条文面,形态不明·需人工读用途,"sdet_log(SDET_LOG_DEBUG, ""SDET"", ""[7] FWHM stats: %.1f ms (med=%.4f mad=%.4f)"","
具名,med,lib/algorithms/star_detection/src/sdet_api.cpp:2266,.4f,③未见于条文面,形态不明·需人工读用途,"sdet_log(SDET_LOG_INFO, ""SDET"", ""FWHM stats: med=%.4f mad=%.4f (from %d fitted stars)"","
具名,r,lib/algorithms/star_detection/src/sdet_api.cpp:2306,0.0f,③未见于条文面,字面量硬编码·条文面零提及,rec.r = 0.0f;
具名,mag,lib/algorithms/star_detection/src/sdet_api.cpp:2337,-2.5f;0.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,rec.mag = (box_sum > 0.0) ? -2.5f * log10f((float)box_sum) : NAN;
具名,fit_fail,lib/algorithms/star_detection/src/sdet_api.cpp:2346,.1f,③未见于条文面,形态不明·需人工读用途,"sdet_log(SDET_LOG_DEBUG, ""SDET"", ""[8] Build normal stars: %.1f ms (%d stars, fit_fail=%d fwhm=%d round=%d reje"
具名,sat,lib/algorithms/star_detection/src/sdet_api.cpp:2480,.3f,③未见于条文面,形态不明·需人工读用途,"sdet_log(SDET_LOG_INFO, ""SDET"", ""sdet_detect_ex done: %d stars (sat=%d normal=%d), %.3f s"","
具名,sx,lib/algorithms/star_detection/src/sdet_api.cpp:2596,0.5,③未见于条文面,字面量硬编码·条文面零提及,"double sx = 0.5, sy = 0.5;"
具名,m00,lib/algorithms/star_detection/src/sdet_api.cpp:2598,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double m00 = 0.0, m10 = 0.0, m01 = 0.0, m20 = 0.0, m02 = 0.0;"
具名,dx,lib/algorithms/star_detection/src/sdet_api.cpp:2603,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double dx = (double)xx + 0.5;   // 像素中心 = 索引 + 0.5
具名,dy,lib/algorithms/star_detection/src/sdet_api.cpp:2604,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,const double dy = (double)yy + 0.5;
具名,sx,lib/algorithms/star_detection/src/sdet_api.cpp:2609,0.0;0.5,③未见于条文面,形态不明·需人工读用途,if (!(m00 > 0.0) || !std::isfinite(m00)) { sx = 0.5; sy = 0.5; break; }
具名,vx,lib/algorithms/star_detection/src/sdet_api.cpp:2612,0.0;0.25,③未见于条文面,字面量硬编码·条文面零提及,if (!(vx > 0.0) || !std::isfinite(vx)) vx = 0.25;
具名,vy,lib/algorithms/star_detection/src/sdet_api.cpp:2613,0.0;0.25,③未见于条文面,字面量硬编码·条文面零提及,if (!(vy > 0.0) || !std::isfinite(vy)) vy = 0.25;
具名,hw_next,lib/algorithms/star_detection/src/sdet_api.cpp:2616,3.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,"const int hw_next = std::max(4, (int)std::ceil(3.0 * std::max(sx, sy)));"
具名,sx_out,lib/algorithms/star_detection/src/sdet_api.cpp:2621,0.5,③未见于条文面,字面量硬编码·条文面零提及,"*sx_out = std::max(sx, 0.5);"
具名,sy_out,lib/algorithms/star_detection/src/sdet_api.cpp:2622,0.5,③未见于条文面,字面量硬编码·条文面零提及,"*sy_out = std::max(sy, 0.5);"
具名,Sr,lib/algorithms/star_detection/src/sdet_api.cpp:2660,0.5,③未见于条文面,字面量硬编码·条文面零提及,"double Sr = 0.5, Sc = 0.5;"
具名,r,lib/algorithms/star_detection/src/sdet_api.cpp:2766,0.0f,③未见于条文面,字面量硬编码·条文面零提及,rec.r = 0.0f;
具名,mag,lib/algorithms/star_detection/src/sdet_api.cpp:2785,-2.5f;0.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,rec.mag = (box_sum > 0.0) ? -2.5f * log10f((float)box_sum) : NAN;
具名,pred,lib/algorithms/star_detection/src/sdet_api.cpp:2878,.3f,③未见于条文面,形态不明·需人工读用途,"""sdet_detect_guided_ex done: pred=%d dropped=%d fit_fail=%d rejected=%d out=%d, %.3f s"","
具名,lcut,lib/algorithms/star_detection/src/sdet_background.cpp:80,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,float lcut = (float)(mean - 2.0 * sigma);
具名,hcut,lib/algorithms/star_detection/src/sdet_background.cpp:81,2.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,float hcut = (float)(mean + 2.0 * sigma);
具名,qscale,lib/algorithms/star_detection/src/sdet_background.cpp:109,0.0f;1.0f;2.0f,③未见于条文面,随输入算出（可导出，但须登记导出式）,mesh->qscale = sigma > 0.0f ? 2.0f * SEX_QUANTIF_NSIGMA * (float)sigma / mesh->nlevels : 1.0f;
具名,cste,lib/algorithms/star_detection/src/sdet_background.cpp:128,0.499999f,③未见于条文面,随输入算出（可导出，但须登记导出式）,float cste = 0.499999f - mesh->qzero / qscale;
具名,sig,lib/algorithms/star_detection/src/sdet_background.cpp:162,10.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,double sig = 10.0 * (nlevels - 1);
具名,sig1,lib/algorithms/star_detection/src/sdet_background.cpp:163,1.0,③未见于条文面,字面量硬编码·条文面零提及,double sig1 = 1.0;
具名,n,lib/algorithms/star_detection/src/sdet_background.cpp:167,0.1;1.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,for (int n = 100; n-- && sig >= 0.1 && fabs(sig / sig1 - 1.0) > EPS;) {
具名,sum,lib/algorithms/star_detection/src/sdet_background.cpp:169,0.0,③未见于条文面,字面量硬编码·条文面零提及,"double sum = 0.0, mea_sum = 0.0, sig_sum = 0.0;"
具名,sig,lib/algorithms/star_detection/src/sdet_background.cpp:194,0.0,③未见于条文面,字面量硬编码·条文面零提及,sig = sig > 0.0 ? sqrt(sig) : 0.0;
具名,lcut,lib/algorithms/star_detection/src/sdet_background.cpp:196,3.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,lcut = (int)(med - 3.0 * sig);
具名,hcut,lib/algorithms/star_detection/src/sdet_background.cpp:197,3.0,③未见于条文面,随输入算出（可导出，但须登记导出式）,hcut = (int)(med + 3.0 * sig);
具名,dx,lib/algorithms/star_detection/src/sdet_background.cpp:336,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,double dx = (double)x / bmap->mesh_width - 0.5;
具名,dy,lib/algorithms/star_detection/src/sdet_background.cpp:337,0.5,③未见于条文面,随输入算出（可导出，但须登记导出式）,double dy = (double)y / bmap->mesh_height - 0.5;
具名,xl,lib/algorithms/star_detection/src/sdet_background.cpp:344,1.0,③未见于条文面,字面量硬编码·条文面零提及,if (xl < 0) { xl = 0; dx -= 1.0; }
具名,xl,lib/algorithms/star_detection/src/sdet_background.cpp:345,1.0,③未见于条文面,字面量硬编码·条文面零提及,else if (xl >= nx - 1) { xl = nx < 2 ? 0 : nx - 2; dx += 1.0; }
