ID,原判据摘要,判定,证据,归属任务,根因,方案,验收门,依据,备注
M7-T-104,G≠8 路径无负面用例 + 采样器 G 不入 geometry 身份,OPEN,"timeout 30 grep -n control_grid_per_tile coverage/tests/sampler_parallel_consistency_test.cpp coverage/tests/synthetic_gate.cpp -> :51 =8 / :185 =8 / :3757 =8 / :3970 =8; grep -rn -e 'order=' -e 'cell=' -e 'grid=' coverage/src/*.cpp -> upm.cpp:1386-1388 payload += ""order=""+m->info.target_order / ""grid=""+m->grid / ""cell=""+m->cell_side；复核: grep -q 'control_grid_per_tile = 8' synthetic_gate.cpp -> rc=0(命中)",NEXT-PACK:NP-02,"全部用例只取默认 G=8; geometry 身份只含 UPM 自身 order/grid/cell, 采样器实际 G 不入 hash; 已有拒绝分支无测试钉住","补 G∈{1,3,5,16} 正/负用例(含越界拒绝), 并把采样器 G 纳入 geometry 身份或显式声明不入",ctest 内 G≠8 用例 >=1; hash 口径有断言,ENGINEERING_SPEC §5.1 边界/极端参数与独立 Oracle; PHASE2_COVERAGE/PHASE2_SAMPLER 冻结设计,"原报 upm.cpp:1353-1354 锚已漂(该处现为 legacy ablation), 现 payload 在 :1386-1388"
V12-N-10,赤道分支缺锥触极回退 + 三处文本保证强度互斥,OPEN,"timeout 30 sed -n '930,940p;985,996p' gaia_client.c -> 935 if (cos_dec < 0.01) return 1; 936 if (d_ra * cos_dec > radius_deg * 1.2) return 0; AE 分支 if (theta_q > AE_CAP_BOUNDARY_DEG + radius_deg) return 0; / if (theta_q > AE_CAP_BOUNDARY_DEG) return 1;; grep -n -e 85 -e 假阴性 -e 1.2 src/gaia_client.h -> :9 裕量 1.2 保持无假阴性。/ :11 |dec|>85° 仍保守; grep -n -e 1.2 -e 经验 -e 不漏星 docs/algorithms/GAIA_QUERY.md -> :143 经验保守（差分验证），非数学证明 / :166 多查不少查，不漏星；复核: grep -q 'radius_deg \* 1.2' gaia_client.c -> rc=0(命中)",NEXT-PACK:NP-02,头注保持无假阴性与权威文档经验保守，非数学证明互斥; 1.2 裕量所依赖的赤道树赤纬覆盖域无文档数值也无断言; 赤道分支无 AE 分支同款边界回退守卫,头注改经验措辞或补证明; 补赤道覆盖域声明与锥触极回退; 裕量值加断言,三处文本口径一致; 边界(锥跨极/|dec|>85)有用例或显式保守声明,ENGINEERING_SPEC §2 注释须与实现一致; docs/algorithms/GAIA_QUERY.md §2.2 保守谓词,"漏星是否实际发生需运行期+真实 XPSD 树, 本行只判静态三事"
M5a-F-001,"TST-ACR-* 声明无实体无注册, 权威矩阵无 SCI-ACR 行",OPEN,"timeout 30 grep -rn TST-ACR docs/ tests/ ci/ -> 仅 docs/science/ACR_EQUIVALENCE.md:115 与 docs/algorithms/ACR_EQUIVALENCE.md:70(声明), tests/ci 0 命中; grep -rc SCI-ACR docs/traceability/TRACEABILITY_MATRIX.csv -> 0 rc=1; ls tests/api/test_reject_integration_oracle.py -> 在库且 :75 @unittest.skipUnless(g++ and OMP_LIB); grep -rl register_phase2_acr_kernels lib/ -> acr_kernels.cpp/synthetic_gate.cpp 等实存",NEXT-PACK:NP-03,文档声明 TST-ACR-* 但无实体 ID/注册; 权威八层矩阵无 SCI-ACR 行; 最接近用例仍条件跳过,"把 TST-ACR-* 落到 tests 与矩阵, 或按 ACR DORMANT 撤销声明并标 MISSING","矩阵含 SCI-ACR 行且 TEST 列指向可执行用例, 或文档显式标 MISSING",ENGINEERING_SPEC §5.1 独立 Oracle + ASTROCS_DESIGN §1.3 ACR DORMANT; docs/plugins 22 §7,"ci/checks.json:914 有 ACR-DORMANT 项(仅休眠声明, 非等价测试)"
V12-N-17,"缺宿主指针: V12.md §2.17 不存在, 零点常数无落点",UNVERIFIABLE,timeout 30 grep -n 'V12-N-17' 问题扫描/findings/A_SCI_DEF/p2/V12-c.md → rc=0（:18 命中条目本体）；timeout 30 grep -n '2\.17' 问题扫描/findings/A_SCI_DEF/p2/V12.md 问题扫描/findings/A_SCI_DEF/p1/V12.md → rc=1（零命中）；timeout 60 grep -rn -e 20.48 -e 22.5 lib/algorithms/photometry --include=*.cpp --include=*.h → rc=1（零命中）,REAL-001（建议改判归属：需 V12 轴补交宿主）,-,-,-,"缺什么：条目的证据宿主 V12.md §2.17 在 问题扫描/findings/A_SCI_DEF/{p1,p2}/V12*.md 与 _recheck/_work/V12-N-17.md 中均不存在（grep 零命中）；四套零点常数（22.5/20.6/20.48/14.0）在当前树测光域也零命中，无从复算「四套+两处兜底」。",【人工复核覆盖：原分批复核判 UNVERIFIABLE】订正分批复核的定位：条目锚文件是 findings/A_SCI_DEF/p2/V12-c.md:18（不是 p1/V12.md）；缺的是它回指的宿主节。台账 REBASE.md 声称 785/785 有锚标题——本条属「有锚但宿主悬空」的例外，建议 V12 轴补交宿主后重派，或按宿主永久缺失撤销并立新 finding。
M2a-F-2,"GAIA fixture 只造单叶树, 四叉树递归分支零执行",OPEN,"timeout 30 grep -n nodeCount tests/unit/gaia_xpsd_fixture_gen.c -> :353 与 :486 两处 writer 均写 nodeCount=""1""; grep -n -e child_nw lib/infrastructure/gaia_xpsd_client/src/gaia_client.c -> :1351 叶节点四子置 0 / :1356 非叶从 p+32 读子索引 / :1644,:1784,:1921 if (node->child_nw) search_recursive...；复核: grep -n 'nodeCount' tests/unit/gaia_xpsd_fixture_gen.c -> 2 命中 rc=0(:353/:486)",NEXT-PACK:NP-04,"fixture 生成端只产单叶树, 解析与检索的深树/非叶分支无执行载体","fixture_gen 支持多级四叉树(含 child_nw≠0), 新增深树锥查询用例并断言命中非叶分支",fixture 至少一份 nodeCount>1 且含 child_nw≠0; 对应用例在 ctest 中执行,ENGINEERING_SPEC.md §5.1 边界/极端参数必备; ASTROCS_DESIGN §11.1,"GAIA_QUERY.md 已无""深树""字样; gaia_xpsd_fixture_sp_gen.c 已不存在"
M2a-F-3,竞态用例未注册 + 恒零天测列零引用,OPEN,timeout 30 grep -c gaia_race lib/infrastructure/gaia_xpsd_client/CMakeLists.txt -> 0 rc=1; 同式 tests/unit/CMakeLists.txt -> 0 rc=1; ci/checks.json -> 0 rc=1; ls lib/infrastructure/gaia_xpsd_client/test/ -> test_gaia_race.c 与 test_spec_collector_ownership.c 均在库; grep -rn test_gaia_race --include=CMakeLists.txt --include=*.json . (排除 run/build) -> 0 命中; grep -rl parallax tests/ -> 0 命中,NEXT-PACK:NP-04,用例文件在 test/ 但未进任何构建/CI 注册面; 恒零天测列(parallax/pmra/pmdec/source_id)全测试面零引用,把 test_gaia_race.c 注册进 ctest(TSAN 配置)并补恒零列断言,ctest -R gaia_race 可执行且 TSAN 干净; tests/ 内 parallax/pmra 断言 >=1,ENGINEERING_SPEC.md §5.1(1 worker vs N worker 一致)§5.3; docs/ci/01_CHECKS.md §4,gaia_race 在三处注册面 0 命中(本轮复算 rc=1)
L28b-D-001,注释裸行锚(line N)不可定位,OPEN,"cd ""/workspace/Astro CS Database""; timeout 30 grep -n -E '\(line [0-9]+\)' lib/algorithms/star_detection/src/sdet_api.cpp | head -20 -> rc=0, 8 条; timeout 30 grep -c -E '\(line [0-9]+\)' 同文件 -> 8; timeout 30 sed -n '40,52p' -> :46 INV_4_LOG2 / :48 TWO_SQRT_2_LOG2 / :50 struct StarDetectorHandle_s; git ls-files|grep -i star_finder 与 find . -name 'star_finder*' 均 0 命中(rc=1)。当前原文: ""1819: const double SQRT_EXP1 = 1.6487212707; // sqrt(e), 振幅估计 (line 47)"" / ""1820: const double SAT_THRESHOLD_FRAC = 0.7; // 动态范围比例 (line 50)""",NEXT-PACK:NP-DC-01,"常量块把已删除/仓外 star_finder.c 的行号当锚((line 47)落空行, 48 才是 TWO_SQRT_2_LOG2; (line 50)落 struct), 全树无宿主文件","删除 8 处裸行锚, 改为可解析宿主(算法文档 §/符号名), 或把常量块并入单一常量头","grep -c -E '\(line [0-9]+\)' lib/algorithms/star_detection/src/sdet_api.cpp 归零, 或每条锚 grep 可命中被标注符号",ENGINEERING_SPEC.md §8 删除/重命名后无悬空引用; §2 注释只写非显然决定,"包内报 14 处, 本次读时 8 处; 文件哈希=包内 5a41c3851093(sha256 前缀一致)"
L28b-D-002,"ALG-008/009 只在编译面成对, 登记面零行",OPEN,"timeout 30 grep -rn -e 'ALG-008' -e 'ALG-009' docs contracts -> rc=0 仅 4 行且全是 ""V6 ALG-008"" 版本标签; timeout 30 grep -rln 'ALG-008' docs/traceability/ -> 0 命中 rc=1; grep -c -e 'SCI-ACR' -e 'ALG-008' -e 'ALG-009' docs/traceability/TRACEABILITY_MATRIX.csv -> 0 rc=1; grep -rn 'ALG-008' lib/infrastructure/benchmark/backend_host/backend_table.inc -> :29 ACS_KERNEL_ENTRY(""ALG-008"", ""rejection-statistics"", ...); grep -rn 'backend_table.inc' CMakeLists.txt -> :488 与 baseline 共享同一源",NEXT-PACK:NP-DC-01,"kernel 表把 ALG-008/009 编入 astrocs_cpu, 但 docs/traceability 八层矩阵无这两行; docs 内命中全是版本标签而非算法登记","在 TRACEABILITY_MATRIX 登记 ALG-008/009(或改 kernel 表引用已登记 ID), 并把 baseline 头注逐 op 公式迁到 ALG 文档","TRACEABILITY_MATRIX.csv 含 ALG-008/ALG-009 行, 与 backend_table.inc 条目一一对应",ENGINEERING_SPEC.md §8 算法引用有效 SCI/ALG、注册表与构建 target 一致,包内 baseline_provider_v1.h:97/98 现漂到 :98/99(内容未变)
L28b-D-005,占位锚 SCI-xxx/ALG-xxx + 文件级子串门恒通过,OPEN,"timeout 30 grep -rn -e 'SCI-xxx' -e 'ALG-xxx' -e 'DATA-xxx' include/ -> 11 行(module.h:36/37/38, artifact.h:87/99, module_api_v1.h:45/46/117, artifact_store.h:45, checkpoint.h:71); sed -n '124,132p' include/astrocs/common_abi_v1.h -> char science_contract_id[32]; /* 如 ""ALG-P3-003""; NUL 结尾 */; grep -n -e 'SCI-' tools/quality/contracts/check_comments.py -> :46 if ""SCI-"" not in text and ""ALG-"" not in text and ""TRACEABILITY"" not in text; grep -n 'science_contract_id' baseline_provider.cpp -> 仅 :83-84 注释；复核: grep -rq -e 'SCI-xxx' -e 'ALG-xxx' include/ -> rc=0(命中)",NEXT-PACK:NP-DC-01,占位串自带 SCI-/ALG- 前缀使文件级子串门恒绿; 字段真值无注册面校验,门改为按具体 ID 形态与矩阵存在性校验(能红能绿); 头注占位示例改为真实登记 ID 或标注示例,注入 'SCI-xxx' 时 check_comments.py 变红; contract id 字段与 TRACEABILITY_MATRIX 比对脚本在册,ENGINEERING_SPEC.md §8 检查器须含算法引用有效 SCI/ALG; §2 注释不得当语义权威,check_comments.py 已在 ci/checks.json:1411 注册(可复跑)
L28c-D-001,avx2 头注把未登记 ALG-008/009 当权威 + 槽位语义外包,OPEN,"timeout 30 sed -n '40,50p;84,92p' lib/infrastructure/benchmark/cpu/avx2/include/astrocs/cpu/avx2_provider_v1.h -> ""* 槽位语义逐 op 同 baseline_provider_v1.h 头注释 (calibration: 4 入 1 出;"" 与 ""ACS_CPU_AVX2_KIDX_CALIBRATION = 0, /* ALG-001 calibration-pixel-transform */""; grep -n -e 'ALG-0' backend_table.inc -> :20-30 写死 ALG-001..ALG-009 与 ALG-P3-002; grep -rln 'ALG-008' docs/traceability/ -> 0 rc=1",NEXT-PACK:NP-DC-01,唯一逐 op 槽位/公式载体仍是 baseline 头注释(非权威文档); ALG-008/009 矩阵零登记却随 backend_table.inc 进编译单元,槽位/公式迁 docs/algorithms 并在矩阵登记 ALG-008/009; avx2 头注改引用文档 §而非他头文件注释,avx2/baseline 头注不再以另一头注释为权威; TRACEABILITY_MATRIX 含 ALG-008/009,ENGINEERING_SPEC.md §8 算法引用有效 SCI/ALG; §2 注释只写单位/数学原因,包内 avx2:47 现漂到 :48-49(内容仍在)
L28e-D-001,注释范围锚 X-001..0NN 非注册 ID,CRITERION-WRONG,"timeout 60 grep -rIn -E 'SCI-[A-Z0-9]+-?[0-9]+\.\.[0-9]+' lib include tools ci tests | wc -l -> 87 (rc=0); grep -n 'SCI-NOISE-001' docs/science/NOISE_MODEL.md -> ""3:> ID: SCI-NOISE-001  范围: SCI-NOISE-001..015 (legacy SNR-001..015)  状态: FROZEN""; sed -n '1,12p' tools/quality/v19r3_traceability.py -> 每个 contract ID 独立 inventory row（禁止 SCI-NOISE-001..015 范围压行）; ls docs/standards/ -> COMMENT_STANDARD.md 在册, §必须注释 1 要求""变量/单位 + SCI/ALG ID""未禁范围",NEXT-PACK:NP-DC-01,-,-,-,"为什么错: 范围串本身就是登记面声明形式(NOISE_MODEL.md:3 的""范围:""、noise_snr/module.yaml:48/62/92、矩阵 note 的""集合 SCI-REJ-001..008""), 且实注释多带宿主文档名(p1noise_tests_core.cpp:7 写 SCI-NOISE-001..015 (NOISE_MODEL.md, FROZEN T104)) ⇒ ""整串不是任何已注册 ID""前提不成立; v19r3_traceability.py 的禁令只约束 contract inventory 行, 不约束注释。正确口径: 范围锚在现行权威链(ENGINEERING_SPEC §8 + COMMENT_STANDARD §必须注释)下可解析, 不得按原处方批量重写; 若要逐 ID 锚须新立规范。依据: docs/science/NOISE_MODEL.md:3 / tools/quality/v19r3_traceability.py:4-6 / docs/standards/COMMENT_STANDARD.md:8-14","87 为本轮 lib+include+tools+ci+tests 口径, 不复用原报 492/136"
V8-N-01,注释以虚构 :: 测试符号为防清理凭据,OPEN,"timeout 30 grep -rn -F 'test_starpsf_precise_inactive_direct_call' lib/ tests/ -> 0 命中 rc=1; sed -n '1812,1824p' module_adapters.cpp -> 1820 // 直调测试: tests/unit/p1001_real_nodes_test.cpp::test_starpsf_precise_inactive_ / 1821 // direct_call（证明本路径仍可编译且能跑出结果, 防止被当作死代码清理）。; 真实符号 grep -rn test_psf_fast_cap_and_inactive_precise tests/ -> p1001_real_nodes_test.cpp:2108 定义 / :2592 注册",NEXT-PACK:NP-DC-01,注释引用的 :: 符号整体不存在(非行号漂移): 真实用例名为 test_psf_fast_cap_and_inactive_precise,"改注释指向真实符号, 或按注释补直调用例; inactive 精确路径的保留凭据需可 grep",注释内 :: 符号可解析(>=1 命中且已注册),ENGINEERING_SPEC §8 无悬空引用; §2 禁引用不存在宿主,"精确路径保留有负责人裁决 2026-09-14 依据(注释 :1813-1816), 本行只判符号虚构"
V8-N-04,"裸 REPORT.md §N 锚, 根 REPORT.md 不存在",OPEN,timeout 30 ls REPORT.md -> rc=2 无此文件; git ls-files | grep -c REPORT.md -> 13(唯一同名件在 lib/algorithms/platesolve/cpp/ipv/REPORT.md); grep -rn REPORT.md lib/ tests/ | grep -v run/ -> 5 处裸锚: module_adapters.cpp:1604 (§4 耗时 ~4s)、star_detector.cpp:19 (§3 bit-pattern 对照)、dpsf_psf.cpp:112 (§2 ulp 量化)、cli/resource_gate.h:140、astro_sphere_sink.cpp:228,NEXT-PACK:NP-DC-01,"相对锚 REPORT.md §N 指向不存在的根文件, 而承载的恰是最需凭证的宣称(逐字节不变/末位 ulp/耗时)",改为带路径的可解析锚或迁入现行报告; 裸文档名+§N 加入机器门,所有 REPORT.md 引用带可解析路径且目标存在; 注入裸锚时门变红,ENGINEERING_SPEC §8 无悬空引用; §2 禁把外部凭据当结论,本轮同口径重算 lib/ 内 5 处(包内报 3 处)
W1-N-02,注释虚构 p1_op_star_psf_json/p1_op_noise_json 直调钩子,OPEN,timeout 30 grep -rn -e p1_op_star_psf_json -e p1_op_noise_json lib/ tests/ cli/ include/ docs/ -> 仅 2 处注释自身: lib/algorithms/noise_snr/wrapper_phase1/README.md:72 与 tests/unit/p1snr/CMakeLists.txt:36; 全树无定义/声明/导出；复核: grep -rq 'p1_op_noise_json' lib/ tests/ -> rc=0(仅注释命中),NEXT-PACK:NP-DC-01,"两符号全树无定义, 注释虚构的直调形态与测试真实形态(经生产注册表 register_phase_modules 端到端跑节点)互相矛盾","改注释为真实入口形态, 或补直调钩子并在注册面导出",两符号 grep 命中均有定义/导出; 注释与 tests/unit/p1snr 实现一致,ENGINEERING_SPEC §8 无悬空引用; §2 注释不得引用不存在宿主,包内两处注释行号(:72 / :36)未漂
L28b-D-003,"三处 extern ""C"" 自报入口分母不可复算",OPEN,"timeout 30 grep -n -E '^[A-Za-z_][A-Za-z0-9_:<> ]*[ *&]+aio_hips_[a-z0-9_]*\(' reader 计数=13 vs 注释 :264 自报 12; 同式 writer 计数=12 vs 注释 :541 自报 9; grep -c '^AIO_EXPORT' aio_api.cpp=25(与注释 :20 的 25 相符), 另有 :50 extern ""C"" int aio_internal_is_fp64 非导出探针；复核: grep -c -E '^[A-Za-z_][A-Za-z0-9_:<> ]*[ *&]+aio_hips_[a-z0-9_]*\(' aio_hips_writer.cpp -> 12 rc=0",NEXT-PACK:NP-DC-02,reader/writer 异常屏障注释的自报分母与块内实际导出定义数不符(少报 1/少报 3),"分母改由脚本生成或删数字改为""全部导出入口"", 并把计数纳入 CI 断言","新增断言: 注释分母 == 块内列 0 导出定义数, 或注释不再含数字",ENGINEERING_SPEC.md §2 注释须与实现一致,"aio_api.cpp 的 25 与实际 AIO_EXPORT=25 相符(原报""少报 1""不成立)"
L28d-D-001,ipv 单位注释写反: U 角秒 vs 像素互斥,OPEN,"timeout 30 grep -n -e residual_px -e 像素 lib/algorithms/platesolve/cpp/ipv/src/ipv_ransac.cpp -> :942 // 计算一对匹配的残差 (像素) / :943 inline double residual_px( / :1012 // 注: 坐标系为角秒 (StarPoint.x/y 是角秒坐标, 原实现是像素); sed -n '1,14p' -> ""10:// U = 图像侧星点 (角秒坐标, 原点图像中心)""; grep -n -e 坐标系为角秒 -e '// 像素' ipv_select.cpp -> ""947: output.U[i].x = (det_x[idx] - cx); // 像素, 不乘 s0""; ipv_solver.cpp:12 ""U (图像侧): 像素坐标""；复核: grep -q 'U = 图像侧星点 (角秒坐标' ipv_ransac.cpp -> rc=0(命中)",NEXT-PACK:NP-DC-02,"同址单位注释三处互斥: ipv_ransac.cpp:10 把 U 写成角秒, :1012 自述坐标系为角秒, 而 select.cpp:947/solver.cpp:12 实为像素",统一 ipv_ransac.cpp :10/:942/:1012 口径为 U 像素 / W 角秒(与 select/solver 及 MAX_DIST 角秒域一致),"grep -n 'U = 图像侧星点 (角秒坐标' ipv_ransac.cpp 归零, 且 residual 注释域与 s0/MAX_DIST 口径一致",ENGINEERING_SPEC.md §2 注释只写单位/数学原因且须与实现一致; PLATESOLVE.md §11.1 TRANS U(像素)→W(角秒),"原报""有效阈=2 倍""已被台账自身复算推翻, 只计单位注释写反"
M1a-D-001,ipv 缓冲 +0.5 像素契约未在 C 头声明,OPEN,"timeout 30 grep -n -e '+0.5' -e 'center=index' lib/algorithms/platesolve/cpp/ipv/include/ipv_api.h -> 0 命中 rc=1; sed -n '236,244p' -> ""240:// [0] det_x_px - 检测器 x (像素, 图像中心原点, Y 轴向上)""; grep -n '0.5' docs/algorithms/PLATESOLVE.md -> ""150: 消费方对 IpvWcsResult/"" ""151: inlier 缓冲坐标必须按 +0.5 契约解读（CRPIX 1-based 与其自洽）""; grep -n -e '+0.5' -e '像素坐标' ipv_solver.cpp -> :12 U (图像侧): 像素坐标 / :1780 同款",NEXT-PACK:NP-DC-02,"推导权威要求消费方按 +0.5 契约解读缓冲坐标, 但 C 接口头(唯一合同面)只写原点/轴向; 原报""无 +0.5 转换""字样已从 solver 删除, 残余为声明缺失","在 ipv_api.h 缓冲字段表写明 center=index+0.5 与 CRPIX 1-based 的关系, 与 PLATESOLVE §11.2 对齐",grep -n '+0.5' ipv_api.h >=1 且与 PLATESOLVE.md §11.2 措辞一致,docs/algorithms/PLATESOLVE.md §11.1/§11.2 +0.5 契约; ENGINEERING_SPEC.md §2 注释须与实现/合同一致,"原报锚 :203-219 漂到 :236-244; solver 的 (无 +0.5 转换) 已不存在, 结论收窄"
M3-D-001,calibrator.cpp 头注登记不存在的 optimize_dark_scale + 固定16线程,OPEN,"timeout 30 grep -n -e 黄金分割 -e '固定 16 线程' -e optimize_dark_scale -e 不使用优化搜索 lib/algorithms/calibration/src/calibrator.cpp -> :5/:14/:15/:25/:99; grep -rn optimize_dark_scale lib/ include/ -> 仅 :14 注释自身 rc=0(无定义); grep -n optimize_dark_k dark_optimizer.cpp -> :97 float optimize_dark_k(...); grep -rn dark_optimizer --include=CMakeLists.txt . (排除 build/run) -> 仅遗留 ./cli/CMakeLists.txt:180 旧路径, 根 CMakeLists 无注册",NEXT-PACK:NP-DC-02,"文件头保留整改前设计说明, 把不存在的 optimize_dark_scale 登记为""实现函数 3"", 与同文件 :99 互斥; 真实现名 optimize_dark_k 且其 TU 在构建图外",改写 :5/:14/:15/:25 四处头注(删函数名与 16 线程措辞或注明历史设计未接线); 明确 dark_optimizer 归属,grep -n optimize_dark_scale calibrator.cpp 归零 且 头注与 :99 一致(无 16 线程硬编码宣称),ENGINEERING_SPEC.md §2 注释须与实现一致、禁审计流水; §10 不得硬编码 workers,文件哈希=包内 38dfc45e9e68(工作树有并发修改标记但读时哈希一致)
M3-D-002,FP64 总括与细则互斥 + 已登记偏差无落点,OPEN,"timeout 30 sed -n '108,120p' lib/algorithms/calibration/include/astro_calibration.h -> ""112: 双精度 ABI 改造 (R10): FP64 模式下全链路使用 double, 不降级到 float32"" 与 ""117-118: 内部将 double 输入转 float 调用 f32 实现 ... 因此不影响 FP64 全链路精度""; grep -rn -e ac_generate_master_flat_f64 -e ac_correct_frame_f64 -e ac_calibrate_frame_f64 calibration/src/module_entry.cpp cosmetic/src/module_entry.cpp -> :970/:1004/:1026 与 cosmetic :802; grep -c API-CAL docs/contracts/API_CONTRACTS.csv -> 0 rc=1",NEXT-PACK:NP-DC-02,"同一段头注""不降级""总括与""转 float 调用""细则并存; 被声明不受影响的函数恰在生产适配层被实调; 所谓已登记偏差在 docs/contracts 无落点",按实际精度分档改写头注(哪些入口全 double/哪些转 float)并把偏差登记落到 contracts,头注不再自相矛盾; API-CAL-* 在 API_CONTRACTS.csv 有行,ENGINEERING_SPEC.md §3 精度不可修改且不得以措辞掩盖; §2 注释不得与实现/合同矛盾,"docs/architecture/PUBLIC_API.md 已不存在, 原引用面失效"
M3-D-003,"公共头承诺 star_ids 输出通道, 实现显式丢弃",OPEN,"timeout 30 grep -n -e star_ids -e quality_flags -e PsfFitQualityRow lib/algorithms/noise_snr/cpp/include/snr_estimator.h -> ""87:// star_ids / quality_flags 可空 (空则填 0)。""; sed -n '70,95p' -> PsfFitQualityRow 九成员无 star_id; grep -n -e '(void)star_ids' -e quality_flags noise_model.cpp -> :348 quality_flags 有用 / :363 (void)star_ids;；复核: grep -q '(void)star_ids' noise_model.cpp -> rc=0(命中)",NEXT-PACK:NP-DC-02,"公共头文档承诺的参数在实现中被唯一一次使用即丢弃, 结构体无处承载 star_id ⇒ 承诺的输出通道不存在",删除 star_ids 参数或补 star_id 输出字段并接线; 头注同步; 公共头补线程安全/生命周期说明,头注每条语义在实现可复现; 若保留参数则有消费者与断言,ENGINEERING_SPEC.md §2 注释只写前后置/所有权/线程安全/生命周期且须与实现一致,"NaN status→fit_status=1 与头注 1=rejected(status!=0) 字面一致, 本轮不计为缺口"
M4-D-01,upm.h 保留已撤销 SNR-aware 语义 + workers auto 注释与实现相悖,OPEN,timeout 30 grep -n -e SNR-aware -e 'worker 数显式版本' -e omp_get_max_threads coverage/include/astro/phase2/upm.h -> :10 // SNR-aware 权重、图平滑、弱零锚、连通分量）；/ :192 worker 数显式版本（CON-010 并行物化；workers<=0 => auto=omp_get_max_threads）; grep -n 'const int workers' coverage/src/sampler.cpp -> :901 (cfg.cpu_workers > 0) ? cfg.cpu_workers : 1; grep -n 'const int nw' coverage/src/upm.cpp -> :1514 同款；复核: grep -q 'SNR-aware' upm.h -> rc=0(命中),NEXT-PACK:NP-DC-02,公共头注释未随 PHASE2_UPM/REJECTION 定义回写; workers<=0=auto 注释与两处 0→1 实现相反,"删 SNR-aware 措辞; 统一 0 的语义(改实现走 budget 或改注释), 并补 0 值用例",upm.h 无 SNR-aware; 0 值语义头/实现一致且有用例钉住,docs/science/PHASE2_UPM.md §5 连续定义(禁 support×snr² 类生产权重); ENGINEERING_SPEC §2/§10,包内 upm.h:10/:176 现为 :10/:192
M4-D-02,rejection.h 默认值自相矛盾 + profile 注释漏 canonical 名,OPEN,"timeout 30 sed -n '104,110p;176,180p;335,340p' coverage/include/astro/phase2/rejection.h -> 107 double lower; // 低侧因子（默认 4.0）/ 108 upper // 默认 3.0 / 178 const char* profile; // ""wbpp_current""（nullptr=默认）/ 337 linear_fit 5.0/3.5/8; grep -n -e 'linear_fit.lower = 5.0' -e wbpp_2_9_1 coverage/src/rejection.cpp -> :1058 p.linear_fit.lower = 5.0; p.linear_fit.upper = 3.5; / :1040 profile 缺省 ""wbpp_2_9_1""；复核: grep -q '默认 4.0' rejection.h -> rc=0(命中)",NEXT-PACK:NP-DC-02,同一头 :107-108 与 :337 自相矛盾; profile 注释漏列 nullptr 实际解析到的 canonical 名 wbpp_2_9_1,头注改为 5.0/3.5 并补 canonical profile 名; 由阈值冻结断言反向校验注释,头注默认值与 rejection.cpp:1058 及冻结断言一致,docs/science/REJECTION.md §5 阈值冻结锚点; ENGINEERING_SPEC §2/§3,"low_fraction 0.1 与实现 0.2 的半句已登记 DISP-P2REJ-001, 本行不重复计"
M5a-D-001,跨模块公共头 0=auto 与实现 0→1 相反,OPEN,"timeout 30 sed -n '52,56p' coverage/include/astro/phase2/sampler.h -> // CON-004 并行采样 worker 数（0=auto：omp_get_max_threads/hardware_concurrency；1=串行默认）; sed -n '13,17p;24,40p' coverage/include/astro/phase2/execution_options.h -> 15 int cpu_workers = 0; // 0 => max(1, hardware_concurrency) / 28 return e.cpu_workers > 0 ? e.cpu_workers : default_cpu_workers(); grep -n 'const int workers' sampler.cpp -> :901 0→1; upm.cpp :1514 0→1；复核: grep -q '0=auto' sampler.h -> rc=0(命中)",NEXT-PACK:NP-DC-02,"三个公共头把 0 定义为 auto=硬件并发, 两个消费点把 0 释为 1(串行), 语义互斥",统一 0 的单一权威语义: 消费点改用 effective_cpu_workers 或头注改为 0→1,"头注与 sampler/upm 行为一致, 且 0 值有用例钉住","ASTROCS_DESIGN.md §8 一个线程预算源, 模块不得硬编码 workers; ENGINEERING_SPEC §10/§2",sampler.cpp:880-882 自述 OpenMP 条件已移除
M6a-D-002,CAL 头注单线程降级与实现硬 BUDGET 相反,OPEN,"timeout 30 grep -n -e 单线程降级 -e 不私建线程池 calibration/src/module_entry.cpp -> 15 acquire 失败 → 单线程降级 (drizzle 先例, 非致命); 不私建线程池; grep -n -e 重计算禁止单线程 -e ACS_ERR_BUDGET 同文件 -> :930 / :938 / :951 均硬 BUDGET 返回; grep -n 单线程降级 cosmetic/module_entry.cpp -> :19 禁单线程降级 (cpu_heavy; CAL 先例同款; drizzle/module_entry.cpp -> :923 acquire 失败 → 单线程降级执行；复核: grep -q '单线程降级' calibration/src/module_entry.cpp -> rc=0(命中)",NEXT-PACK:NP-DC-02,"CAL 文件头(与其实现相距约 900 行)语义相反; COS 已按 CAL 实现回写, DRZ 仍真降级且无偏差登记",改 CAL 头注为硬 BUDGET; DRZ 降级路径登记偏差或改硬失败,"四适配器头/实现口径一致, DRZ 差异有登记 ID",ENGINEERING_SPEC §10 单一预算源/不得私建降级路径; §2 注释须与实现一致,CAL 头 :15 与实现 :930 相距约 915 行
