路径,层级,当前存在,现存文件数,被提交触及次数,累计增行,累计删行,引入_seq,引入_sha8,引入日期,引入消息,最后改动_seq,最后改动_sha8,最后改动日期
tools/traceability,目录,是,3,2,511,1,1500,2a8676bf,2026-09-03,test(traceability): DOC-001 建立机器追溯合同,1782,009ee419,2026-09-09
ci/INVENTORY_REPORT.md,目录或文件,否,,1,79,0,1527,0acfb514,2026-09-05,feat(ci): V8-CI-001 检查器与测试资产盘点注册 70 项 [V8-CI-001],1527,0acfb514,2026-09-05
ci/WORKFLOW_BINDING_AUDIT.md,目录或文件,否,,1,93,0,1823,a67bbc83,2026-09-12,feat(CI/CI-001B): workflow与注册表联动核死(workflow只调run.py + 候选缺失fail-closed + actions锁,1823,a67bbc83,2026-09-12
ci/check_version.py,目录或文件,否,,1,274,0,1526,b4f923cc,2026-09-05,chore(version): V81-ADOPT-006 统一活动版本源至 0.11.0-alpha.2 并同步冻结约束版本行 [V81-ADOPT-006],1526,b4f923cc,2026-09-05
ci/ci_result.schema.json,目录或文件,否,,1,15,0,1528,459da629,2026-09-06,feat(ci): V8-CI-002 统一确定性 CI 执行器、结果 schema 与 29 项单测 [V8-CI-002],1528,459da629,2026-09-06
ci/ctest_baseline.json,目录或文件,否,,1,184,0,1819,d3097319,2026-09-12,feat(CI/CI-REG-002): 新增测试全注册与关键检查不可豁免(STD-F7 四项处置 + STD-F10 落地),1819,d3097319,2026-09-12
ci/select_profile.py,目录或文件,否,,1,103,0,1538,a032c0cc,2026-09-06,feat(ci): V8-CI-007 双平台 workflow、action 锁与 CI 辅助链 [V8-CI-007],1538,a032c0cc,2026-09-06
ci/validate_workflow_binding.py,目录或文件,否,,1,587,0,1823,a67bbc83,2026-09-12,feat(CI/CI-001B): workflow与注册表联动核死(workflow只调run.py + 候选缺失fail-closed + actions锁,1823,a67bbc83,2026-09-12
ci/verify_actions_lock.py,目录或文件,否,,1,319,0,1538,a032c0cc,2026-09-06,feat(ci): V8-CI-007 双平台 workflow、action 锁与 CI 辅助链 [V8-CI-007],1538,a032c0cc,2026-09-06
ci/verify_ciqa_report.py,目录或文件,否,,1,126,0,1571,d524ea73,2026-09-06,fix(ci): 落地 V8-CIQA-001 验收器 verify_ciqa_report.py（关闭 CIQA P1-GAP-1）[V8-CI-012 后续,1571,d524ea73,2026-09-06
ci/verify_toolchain.py,目录或文件,否,,1,208,0,1524,becc85a0,2026-09-05,chore(ci): V81-ADOPT-004 Agent 主机工具链盘点与锁存 [V81-ADOPT-004],1524,becc85a0,2026-09-05
ci/wf_step.py,目录或文件,否,,1,247,0,1823,a67bbc83,2026-09-12,feat(CI/CI-001B): workflow与注册表联动核死(workflow只调run.py + 候选缺失fail-closed + actions锁,1823,a67bbc83,2026-09-12
cli/astrocs_process.h,目录或文件,否,,1,0,0,1683,fa60113b,2026-09-08,fix(ci): R11 Windows build exit1 根因——cli/process.h 重命名 astrocs_process.h(消 MSVC ,1683,fa60113b,2026-09-08
cli/cancel_token.h,目录或文件,否,,1,41,0,1090,d484f7c5,2026-08-28,(CLI-002) 统一parser+JSONL协议+cancel+crash boundary — 命令树白名单14拒绝面+config init/valid,1090,d484f7c5,2026-08-28
cli/exit_codes.h,目录或文件,否,,1,21,0,1090,d484f7c5,2026-08-28,(CLI-002) 统一parser+JSONL协议+cancel+crash boundary — 命令树白名单14拒绝面+config init/valid,1090,d484f7c5,2026-08-28
cli/memory_growth.h,目录或文件,否,,1,136,0,1146,50fedef8,2026-08-29,(MON-004) 内存增长分析 — 20循环+预热剔除+Theil-Sen稳健斜率+峰值/retained+OOM预警+泄漏/增长/震荡分类; 242/242,1146,50fedef8,2026-08-29
cli/protocol.h,目录或文件,否,,1,97,0,1731,692a4216,2026-09-09,feat(cli): CLI-004 冻结 GUI 进程协议 v1——protocol.h ValidateEventV1 发送端硬网关(10必填字段/sequ,1731,692a4216,2026-09-09
cli/version_generated.h.in,目录或文件,否,,1,3,0,1088,07bc18b9,2026-08-28,(CLI-001) 单一astrocs target落地 — 严格C++17双平台main(help13行golden+version json+exit2 s,1088,07bc18b9,2026-08-28
contracts/schemas,目录,是,7,1,0,0,1782,009ee419,2026-09-09,chore(repo): 根目录归纳第二批——①launch/(2文件)→packaging/launch/ ②graph/孤儿图产物→artifacts/gr,1782,009ee419,2026-09-09
docs/GLOSSARY.md,目录或文件,否,,1,25,0,1046,4dd9385b,2026-08-28,(DOC-001) 术语单位词典冻结 — GLOSSARY 18核心术语唯一含义+bad_mask极性实测(1=坏点)+pixel_weight与frame_q,1046,4dd9385b,2026-08-28
docs/TROUBLESHOOTING.md,目录或文件,否,,1,40,0,691,1d3a34c2,2026-08-15,docs(v19): diagnostics tool + full pre-release developer/science documentation,691,1d3a34c2,2026-08-15
docs/audit,目录,是,3,1,118,0,965,535e7387,2026-08-25,feat(pre-release): complete R70 AstroCS v20 pre-release science closure (all fix,965,535e7387,2026-08-25
docs/backlog,目录,是,1,1,9,0,624,5a9eadcf,2026-08-13,docs(phase2-v14): finalization docs + config consistency tool - DATA_SEMANTICS/P,624,5a9eadcf,2026-08-13
docs/diagnostics,目录,是,1,1,31,0,700,8ab2efbd,2026-08-15,docs(v19r2-s2): authoritative L0-L5 doc hierarchy + 64 contract IDs,700,8ab2efbd,2026-08-15
docs/operations,目录,是,1,1,61,0,1524,becc85a0,2026-09-05,chore(ci): V81-ADOPT-004 Agent 主机工具链盘点与锁存 [V81-ADOPT-004],1524,becc85a0,2026-09-05
docs/quality,目录,是,2,1,65,0,1534,e1fde093,2026-09-06,feat(ci): V8-CI-005 linux-deep 检查注册与 deep 构建驱动链 [V8-CI-005],1534,e1fde093,2026-09-06
lib/phase2_int,目录,是,3,1,256,0,1676,84c6715a,2026-09-08,docs(P2-INT-DOC): integration 模块合同冻结——ALG-P2-INT-001/DATA-P2-INT/API-P2-INT-001/,1676,84c6715a,2026-09-08
lib/phase2_rej,目录,是,3,1,309,0,1684,6f668c87,2026-09-08,docs(P2-REJ-DOC): rejection 模块合同冻结——ALG-P2-REJ-001/DATA-P2-REJ(§22)/API-P2-REJ-0,1684,6f668c87,2026-09-08
lib/phase2_samp,目录,是,3,1,321,0,1692,e654d4c2,2026-09-08,docs(P2-SAMP-DOC): sampling 模块合同冻结——ALG-P2-SMP-001(108锚实测)/DATA-P2-SMP(§23)/API-,1692,e654d4c2,2026-09-08
lib/phase2_upm,目录,是,3,1,451,0,1704,f506ef7f,2026-09-08,docs(P2-UPM-DOC): UPM 域冻结合同——ALG-UPM-001 原位修订(std::thread实测锚)+ALG-P2-UPM-IMPL-00,1704,f506ef7f,2026-09-08
lib/phase3_fits,目录,是,3,1,397,0,1714,3d876fa3,2026-09-08,docs(P3-FITS-DOC): FITS 写出域冻结合同——ALG-P3-FITS-IMPL-001(17节)+DATA-P3-FITS/§27+API-,1714,3d876fa3,2026-09-08
lib/phase3_rsmp,目录,是,3,1,363,0,1726,d74c1a90,2026-09-09,"docs(P3-RSMP-DOC): 重采样域冻结合同——ALG-P3-RSMP-IMPL-001(14节,G3/G4承接)+DATA-P3-RES/§29+A",1726,d74c1a90,2026-09-09
packaging/dependency-lock.json,目录或文件,否,,1,149,0,1493,64a2f996,2026-09-03,build(deps): BLD-004 锁定依赖与许可证边界,1493,64a2f996,2026-09-03
packaging/gen_sbom_input.py,目录或文件,否,,1,168,0,1493,64a2f996,2026-09-03,build(deps): BLD-004 锁定依赖与许可证边界,1493,64a2f996,2026-09-03
packaging/launch,目录,是,2,1,0,0,1781,64c1e988,2026-09-09,fix(P1-HIPS-TEST): tree_digest FITS CHECKSUM/DATASUM 时间戳归一化——fnv_file 对 .fits/.f,1781,64c1e988,2026-09-09
packaging/licenses,目录,是,3,1,57,0,1492,46b0d8e1,2026-09-03,build(layout): BLD-003 建立模块化安装骨架,1492,46b0d8e1,2026-09-03
packaging/verify_install_tree.py,目录或文件,否,,1,118,0,1492,46b0d8e1,2026-09-03,build(layout): BLD-003 建立模块化安装骨架,1492,46b0d8e1,2026-09-03
packaging/windows,目录,是,2,1,46,0,1478,f260b804,2026-09-02,build(msvc): BLD-001 冻结Windows发布工具链,1478,f260b804,2026-09-02
reports/P1-COS-IMPL-module-impl-report.md,目录或文件,否,,1,100,0,1762,948dfcba,2026-09-09,feat(P1-COS-IMPL): cosmetic 迁移独立模块——astrocs_p1_cosmetic SHARED(module_entry.cpp ,1762,948dfcba,2026-09-09
reports/P1-HIPS-IMPL-module-impl-report.md,目录或文件,否,,1,80,0,1770,1959dc89,2026-09-09,feat(P1-HIPS-IMPL): hips_writer 迁移独立模块——astrocs_p1_hips_writer SHARED(生产闭包2TU+cf,1770,1959dc89,2026-09-09
reports/README.md,目录或文件,否,,1,16,0,981,63178f51,2026-08-27,docs(reports): 添加 reports 目录版本归档说明,981,63178f51,2026-08-27
reports/archive,目录,是,3,1,0,0,980,e1604f14,2026-08-27,组织工程控制/报告：历史控制包归档，reports 按版本分目录存放,980,e1604f14,2026-08-27
reports/self_review,目录,是,8,1,283,0,1040,1c580eb9,2026-08-28,chore(v5): 前会话遗留工作树变更归位 — evidence/QA-V19R7-A2-*与self_review/round0-6按AGENTS目录规范,1040,1c580eb9,2026-08-28
reports/v14,目录,是,4,1,0,0,980,e1604f14,2026-08-27,组织工程控制/报告：历史控制包归档，reports 按版本分目录存放,980,e1604f14,2026-08-27
reports/v15,目录,是,3,1,0,0,980,e1604f14,2026-08-27,组织工程控制/报告：历史控制包归档，reports 按版本分目录存放,980,e1604f14,2026-08-27
reports/v16,目录,是,1,1,0,0,980,e1604f14,2026-08-27,组织工程控制/报告：历史控制包归档，reports 按版本分目录存放,980,e1604f14,2026-08-27
reports/v17,目录,是,15,1,0,0,980,e1604f14,2026-08-27,组织工程控制/报告：历史控制包归档，reports 按版本分目录存放,980,e1604f14,2026-08-27
reports/v18r2,目录,是,10,1,0,0,980,e1604f14,2026-08-27,组织工程控制/报告：历史控制包归档，reports 按版本分目录存放,980,e1604f14,2026-08-27
reports/v19r8,目录,是,4,1,0,0,980,e1604f14,2026-08-27,组织工程控制/报告：历史控制包归档，reports 按版本分目录存放,980,e1604f14,2026-08-27
runtime/core,目录,是,3,1,329,0,1488,56ab85ba,2026-09-03,refactor(runtime): RT-002 隔离阶段运行时生命周期,1488,56ab85ba,2026-09-03
runtime/logging,目录,是,4,1,424,0,1476,bbe2e59e,2026-09-02,feat(logging): LOG-001 统一结构化日志接口,1476,bbe2e59e,2026-09-02
runtime/module_loader,目录,是,3,1,953,0,1497,da5ca108,2026-09-03,feat(loader): ABI-003 实现受限DLL加载,1497,da5ca108,2026-09-03
runtime/registry,目录,是,2,1,1165,0,1504,40b5687b,2026-09-03,feat(registry): ABI-004 接入动态模块注册,1504,40b5687b,2026-09-03
scripts/package_audit.py,目录或文件,否,,1,67,0,1339,b840ed64,2026-08-31,REL-003: 白名单审核包打包+验证,1339,b840ed64,2026-08-31
scripts/validate_audit.py,目录或文件,否,,1,33,0,1339,b840ed64,2026-08-31,REL-003: 白名单审核包打包+验证,1339,b840ed64,2026-08-31
tests/__init__.py,目录或文件,否,,1,0,0,1045,45e64640,2026-08-28,(TRACE-001) 六层追溯schema与检查器 — claim_id格式+R1-R7链规则+引用存在(路径/符号级)+VER域6claim种子+5测试含删,1045,45e64640,2026-08-28
tests/glossary,目录,是,5,1,50,0,1046,4dd9385b,2026-08-28,(DOC-001) 术语单位词典冻结 — GLOSSARY 18核心术语唯一含义+bad_mask极性实测(1=坏点)+pixel_weight与frame_q,1046,4dd9385b,2026-08-28
tests/oracle,目录,是,1,1,170,0,1738,a030a3e7,2026-09-09,test(CAT-GAIA-TEST): gaia 目录可复用验证面——gaia_cat_test 七模式(#include 源+GAIA_ALLOC_TEST,1738,a030a3e7,2026-09-09
tests/pipeline,目录,是,5,1,171,0,1483,5d38ebd7,2026-09-02,feat(runtime): RT-001 实现类型化运行图,1483,5d38ebd7,2026-09-02
tests/realdata,目录,是,6,1,509,0,1815,9f6b72b5,2026-09-11,feat(REAL-000): 真实数据审计索引v1.2与确定性匹配计划(04_OWNER_DECISIONS rev3 指令落地)——①盘点对账: testd,1815,9f6b72b5,2026-09-11
tests/test_index.csv,目录或文件,否,,1,23,0,1527,0acfb514,2026-09-05,feat(ci): V8-CI-001 检查器与测试资产盘点注册 70 项 [V8-CI-001],1527,0acfb514,2026-09-05
tests/testkit,目录,是,11,1,562,0,1505,b09e4b2c,2026-09-03,test(testkit): TST-001 冻结模块验证结构,1505,b09e4b2c,2026-09-03
tools/_r05_fast_experiment_commit_msg.txt,已不在树中,否,,1,16,0,266,821a1856,2026-08-01,experiment(drizzle): R05 Gate E FAST C++对照实验 288 cases,266,821a1856,2026-08-01
tools/_r05_photapply_commit_msg.txt,已不在树中,否,,1,6,0,264,37ed737d,2026-08-01,fix(calibration): R05-B07 apply_photometry 拒绝 photscal<=0,264,37ed737d,2026-08-01
tools/_r05_precise_acceptance_commit_msg.txt,已不在树中,否,,1,11,0,265,efdfe2c0,2026-08-01,test(drizzle): R05 Gate D PRECISE验收矩阵 52/52 PASS,265,efdfe2c0,2026-08-01
tools/_r05_rebuild_photapply.json,已不在树中,否,,1,38,0,264,37ed737d,2026-08-01,fix(calibration): R05-B07 apply_photometry 拒绝 photscal<=0,264,37ed737d,2026-08-01
tools/_r06_analyze_fast.py,已不在树中,否,,1,75,0,270,e841eb88,2026-08-02,experiment(drizzle): R06 正确NSIDE重做FAST C++对照实验 288 cases,270,e841eb88,2026-08-02
tools/_r06_make_delivery.py,已不在树中,否,,1,616,0,271,32d6bcce,2026-08-02,chore(tools): R06 交付工具脚本 - ZIP生成+FAST分析+Wiki哈希,271,32d6bcce,2026-08-02
tools/_r06_wiki_hashes.py,已不在树中,否,,1,24,0,271,32d6bcce,2026-08-02,chore(tools): R06 交付工具脚本 - ZIP生成+FAST分析+Wiki哈希,271,32d6bcce,2026-08-02
tools/_r07_fast_msg.txt,已不在树中,否,,1,15,0,279,502dbf5d,2026-08-02,fix(fast): R07-B08/M01/M02/M03 修复 FAST 切平面重叠计算,279,502dbf5d,2026-08-02
tools/_r07_ref_msg.txt,已不在树中,否,,1,15,0,278,aec0ac38,2026-08-02,test(reference): R07 修复 reference_overlap 边界一致性,278,aec0ac38,2026-08-02
tools/astrocs_diagnose.py,目录或文件,否,,1,225,0,691,1d3a34c2,2026-08-15,docs(v19): diagnostics tool + full pre-release developer/science documentation,691,1d3a34c2,2026-08-15
tools/astrometry_oracle,目录,是,6,1,348,0,522,bce606a4,2026-08-09,feat(oracle): Astrometry.net 外部 Oracle 实际执行 synthetic+real 盲解全过 (V4 G5),522,bce606a4,2026-08-09
tools/check_abi_boundary.py,目录或文件,否,,1,62,0,1289,af6cb259,2026-08-31,CPU-001: C ABI 结构全带 size/version + 边界头纯净,1289,af6cb259,2026-08-31
tools/check_agents_gov.py,目录或文件,否,,1,42,0,1043,15720f5e,2026-08-28,"(GOV-001) AGENTS合并V5必需短块与连续执行状态机 — check_agents_gov 10/10要素+mutation试金石通过,删除pwsh",1043,15720f5e,2026-08-28
tools/check_aio_ownership.py,目录或文件,否,,1,55,0,1286,1878fa52,2026-08-31,IO-002: aio_image* canonical deleter 全覆盖,1286,1878fa52,2026-08-31
tools/check_ast_api.py,目录或文件,否,,1,71,0,1334,cda2898b,2026-08-31,DOC-004: Clang AST public 符号校验,1334,cda2898b,2026-08-31
tools/check_baseline_opcodes.py,目录或文件,否,,1,42,0,1098,1761491b,2026-08-29,(ABI-003) baseline全生产kernel — 12 kernel实现在budget租借行带并行外层(确定性: 元素独立无跨线程归约)+Oracle,1098,1761491b,2026-08-29
tools/check_data_artifacts.py,目录或文件,否,,1,100,0,1270,e351f3fb,2026-08-30,DATA-001: 冻结跨模块数据语义与 artifact schema,1270,e351f3fb,2026-08-30
tools/check_l0_docs.py,目录或文件,否,,1,38,0,1332,8e7b2c95,2026-08-31,DOC-002: L0 负责人审查文档 (REVIEW + 5 顶层),1332,8e7b2c95,2026-08-31
tools/check_link_scan.py,目录或文件,否,,1,37,0,1275,338eecc2,2026-08-30,BLD-001: 建立显式根 CMake 目标图,1275,338eecc2,2026-08-30
tools/check_p1_symbol_map.py,目录或文件,否,,1,46,0,1298,fe92b6e5,2026-08-31,P1-001: Phase1 old-symbol 映射表 + 无 blocker,1298,fe92b6e5,2026-08-31
tools/check_p2_symbol_map.py,目录或文件,否,,1,53,0,1308,f056f917,2026-08-31,P2-001: Phase2 Stage2 步骤映射 + ACR 禁迁移,1308,f056f917,2026-08-31
tools/check_release_layout.py,目录或文件,否,,1,45,0,1337,1c7da8de,2026-08-31,REL-001: 发布布局校验工具 + 干净 smoke,1337,1c7da8de,2026-08-31
tools/gen_backends_manifest.py,目录或文件,否,,1,60,0,1096,0c49a370,2026-08-28,(ABI-002) backend加载安全化 — CPUID+OSXSAVE+XGETBV实测+affinity可用CPU+manifest解析不猜+预检五查(,1096,0c49a370,2026-08-28
tools/gen_cfitsio_list.py,目录或文件,否,,1,16,0,1275,338eecc2,2026-08-30,BLD-001: 建立显式根 CMake 目标图,1275,338eecc2,2026-08-30
tools/gen_provider_manifests.py,目录或文件,否,,1,186,0,1381,8df1a86d,2026-08-31,CPU-001/CPU-002: 独立provider构建与能力配额检测 (AVX2/AVX512 targets+manifest+selftest+负例+I,1381,8df1a86d,2026-08-31
tools/gen_repo_source_manifest.py,目录或文件,否,,1,140,0,667,88293174,2026-08-14,"tools+v17: repo source manifest generator (4197 files SHA256), review package as",667,88293174,2026-08-14
tools/gen_version.py,目录或文件,否,,1,55,0,1044,9fe142e0,2026-08-28,(VER-001) alpha单一版本源与机器化同步检查 — VERSION=0.9.0-alpha.1唯一源+gen_version生成接口+version.,1044,9fe142e0,2026-08-28
tools/gen_visual_views.py,目录或文件,否,,1,59,0,1340,a7faa502,2026-08-31,REL-004: 负责人视觉验收视图就绪 (REVIEW_PENDING),1340,a7faa502,2026-08-31
tools/graph,目录,是,2,1,942,0,1518,0b0d2694,2026-09-04,docs(graph): LOG-003 运行图渲染工具,1518,0b0d2694,2026-09-04
tools/make_capsule.py,目录或文件,否,,1,53,0,1042,f99e80d8,2026-08-28,(BASE-001) 起点冻结与V3/V4风险登记 — BASELINE.json(HEAD=main=origin/main=3895142三SHA一致)+R,1042,f99e80d8,2026-08-28
tools/make_rev2_capsule.py,目录或文件,否,,1,161,0,1196,962d18c9,2026-08-29,(REV-002) 完整ARCH/API/headers/core-source/oracles/checkers/Linux-reports审阅胶囊生成器; ,1196,962d18c9,2026-08-29
tools/migrate_stage2_config.py,目录或文件,否,,1,71,0,661,03d5d961,2026-08-14,"chore(phase2-v17): legacy removal - healpix_stack moved to archive/legacy, orche",661,03d5d961,2026-08-14
tools/no_legacy_production_reference.py,目录或文件,否,,1,65,0,661,03d5d961,2026-08-14,"chore(phase2-v17): legacy removal - healpix_stack moved to archive/legacy, orche",661,03d5d961,2026-08-14
tools/realdata,目录,是,3,1,859,0,1815,9f6b72b5,2026-09-11,feat(REAL-000): 真实数据审计索引v1.2与确定性匹配计划(04_OWNER_DECISIONS rev3 指令落地)——①盘点对账: testd,1815,9f6b72b5,2026-09-11
tools/testkit,目录,是,1,1,340,0,1505,b09e4b2c,2026-09-03,test(testkit): TST-001 冻结模块验证结构,1505,b09e4b2c,2026-09-03
