seq,sha8,日期,作者,分级,文件数,增行,删行,编号,主题
1206,1016ce2f,2026-08-29,付家泽,S,4,96,1,WIN-002,(WIN-002) MSVC: _USE_MATH_DEFINES定义M_PI; p3_output POSIX→_前缀宏; hips_properties用dirent_win shim
1207,4c2e2b80,2026-08-29,付家泽,S,1,6,0,WIN-002,(WIN-002) MSVC: p3_output gethostname→GetComputerNameA(主机名未使用)
1208,a7945efa,2026-08-29,付家泽,S,5,28,14,WIN-002,"(WIN-002) MSVC: sampler __try→try/catch(/EHa), coverage parse_props移出extern C, upm.h加cstddef, integrate加algori"
1209,22344697,2026-08-29,付家泽,S,1,3,3,WIN-002,(WIN-002) MSVC: sampler catch(...) 去掉_exception_code(仅限__except)
1210,5cdafc7b,2026-08-29,付家泽,S,2,56,0,WIN-002,"(WIN-002) MSVC: cfitsio 需 unistd.h, 提供 win_compat shim 加入 CFITSIO include path"
1211,cb35b8b5,2026-08-29,付家泽,S,1,6,5,WIN-002,(WIN-002) MSVC: 链接静态 zlib(libzs.lib)避免 libz.dll 运行时依赖
1212,242a42f1,2026-08-29,付家泽,S,1,7,2,,"test(cli): test_07 cancel 兼容 Windows(send_signal SIGINT 不支持, 用 CTRL_BREAK_EVENT + CREATE_NEW_PROCESS_GROUP)"
1213,55d521af,2026-08-29,付家泽,S,2,62,1,WIN-002,(WIN-002) MSVC amd64 clean Debug+Release 零错误构建 PASS; CLI协议10/10 OK; doctor PASS
1214,b098ef4d,2026-08-29,付家泽,S,3,2,0,WIN-002,(WIN-002) 注册: capsule WIN-002_55d521aff66c + COMMITS.csv/REVIEW_CAPSULE_INDEX.csv 登记 PASS
1215,5b3b3e35,2026-08-29,付家泽,S,2,77,0,WIN-003,(WIN-003) MSVC: cpu_features/hardware_inspect 补 _M_X64 CPUID 检测(vendor/brand/family/model/stepping + AVX/AVX2/
1216,574af339,2026-08-29,付家泽,S,2,61,1,WIN-003,(WIN-003) doctor PASS + full benchmark 12 kernel 逐kernel选择 + AVX512检查(AMD无AVX512) + profile冻结VALID; 修复MSVC CPU
1217,cdacdc20,2026-08-29,付家泽,S,3,2,0,WIN-003,(WIN-003) 注册: capsule WIN-003_574af339f225 + COMMITS.csv/REVIEW_CAPSULE_INDEX.csv 登记 PASS
1218,6fe90631,2026-08-29,付家泽,S,2,96,70,WIN-004,(WIN-004) arch: build_production_execution_inventory 改用跨平台纯 Python 符号检索(去 grep 依赖)并重生成清单(补2 io_writer行+sampler
1219,81946df5,2026-08-29,付家泽,S,1,4,0,WIN-004,(WIN-004) MSVC: hardware_inspect 补 Windows 分支用 GetModuleFileNameA 计算运行中 exe SHA256(cli_sha256 空修复)
1220,024869c8,2026-08-29,付家泽,S,2,42,1,WIN-004,(WIN-004) 全测试套件 PASS: Linux 320 tests OK + Windows可跑套件全绿; 记录g++-fixture平台边界与两处跨平台修复
1221,22d29c87,2026-08-29,付家泽,S,3,2,0,WIN-004,(WIN-004) 注册: capsule WIN-004_024869c8b70d + COMMITS.csv/REVIEW_CAPSULE_INDEX.csv 登记 PASS
1222,53530408,2026-08-29,付家泽,S,1,8,3,WIN-005,(WIN-005) 测试: test_cli_protocol run() 指定 encoding=utf-8(Windows gbk 解码 None stderr 修复) + test_10 cancel 用 CTRL
1223,2ec4af40,2026-08-29,付家泽,S,2,18,6,WIN-005,"(WIN-005) 修复静态分析 P1 候选: aio_fits malloc 后未检 null 即 memcpy(3处, 加 OOM 防护); upm 用 ldexp 消除 1u<<k 对 target_order+9"
1224,4cd15562,2026-08-29,付家泽,S,2,42,1,WIN-005,(WIN-005) MSVC /analyze 0错误 + ASan无泄漏/invalid access + 取消/路径测试跨平台全绿; 修复2处P1候选; 登记 PASS
1225,68e5fd36,2026-08-29,付家泽,S,3,2,0,WIN-005,(WIN-005) 注册: capsule WIN-005_4cd15562986c + COMMITS.csv/REVIEW_CAPSULE_INDEX.csv 登记 PASS
1226,4b757a65,2026-08-29,付家泽,S,2,20,1,WIN-006;WIN-007,"(WIN-006) BLOCKED: 银心 Galaxy_Center_T4 真实帧与 T4 母版在本机缺失, 无下载源; 记录阻断对象/命令/时间; WIN-007/008 同数据依赖"
1227,ad6d94c7,2026-08-29,付家泽,S,2,8,4,WIN-006,"(WIN-006) 修复 phase1 无法读 .xisf 校准母版: CLI 编译启用 aio_xisf + AIO_ENABLE_XISF, read_image 用 aio_read 自动探测 .xisf/.fts"
1228,f37fb559,2026-08-29,付家泽,S,1,2,2,WIN-006,"(WIN-006) 修复 phase1 写校准帧时 Windows 栈溢出(0xC00000FD): fits_write_file 的 char iobuf[1<<20] 移至堆(std::vector), 消除默认 "
1229,95d496b4,2026-08-29,付家泽,S,1,35,0,WIN-006,"(WIN-006) 进度记录: phase1 真实银心校准 PASS(6帧+xisf母版, 修复xisf支持+栈溢出), 输入hash manifest; 记录phase2/3需HIPS构建(CLI无生产命令)仍在IN_"
1230,4e4a9871,2026-08-30,付家泽,S,1,2,0,WIN-006,(WIN-006) BLOCKED: phase2/3 真实数据链缺生产 HIPS 构建命令(命令确认); phase1 真实校准里程碑已达成; 继续其它任务
1231,b8ce3669,2026-08-30,付家泽,S,1,184,0,WIN-009,(WIN-009) 新增 Windows 发布包工具 make_windows_release.py: 单一 astrocs.exe+私有VC运行时DLL+MANIFEST/SBOM/licenses/hash → As
1232,ef0858c5,2026-08-30,付家泽,L,30,1591,0,PAR-002;WIN-006,"(审核包) 按当前现状汇总最终审核包(AUDIT_REVIEW whitelist)+如实 FINAL_REPORT/SUMMARY: 87 PASS, 2 BLOCKED(WIN-006 phase2/3缺HIPS产线"
1233,a098a75e,2026-08-30,付家泽,S,2,36,1,WIN-009,(WIN-009) Windows alpha amd64 发布包+SBOM/licenses/hash+smoke PASS: AstroCS-Windows-amd64-0.9.0-alpha.1.zip (sha 
1234,db124443,2026-08-30,付家泽,S,4,3,0,WIN-009,(WIN-009) 登记 PASS: COMMITS/REVIEW_CAPSULE_INDEX/LARGE_ARTIFACTS + WIN-009_a098a75e69b9.zip 胶囊 (sha 9d998bbb)
1235,ec7a8cdc,2026-08-30,付家泽,M,12,43,36,WIN-009,"(审核包/win009) 刷新审核包至当前现状: 88 PASS (WIN-009 PASS), Windows alpha 登记 RELEASE_ARTIFACTS; validator 仍如实 FAIL(Linux "
1236,89b32bdd,2026-08-30,付家泽,M,11,33,30,WIN-009,"(生产双平台alpha) Linux amd64 alpha 发布包 AstroCS-Linux-amd64-0.9.0-alpha.1.tar.zst (sha 554bcd71, VERSION clean, doc"
1237,8e7c7a3a,2026-08-30,付家泽,S,1,29,0,,(WIN-006补/双平台alpha) Linux alpha 发布包生产+当前SHA(89b32bd)全套件验证: 320测试1已知ISA-001计时抖动(隔离重跑PASS非回归); 修复过期Linux release
1238,fcb4056f,2026-08-30,付家泽,M,11,297,49,PAR-002;PAR-007;WIN-008;WIN-009,(审核包一致性) FINAL_REPORT/SUMMARY 从 Ledger/表格单源自动生成: 修复 PASS=88/NOT_STARTED=7/WIN-009=PASS/双平台alpha列举/证据引用(WIN009+
1239,199a1c3e,2026-08-30,付家泽,S,1,21,1,WIN-006,(WIN-006 恢复生产链) 把生产 Drizzle→HiPS 链(drizzle_engine+hp_drizzle_run_hips+astro_sphere_sink+hiss_write+aio_pipelin
1240,cba67e56,2026-08-30,付家泽,S,2,126,2,WIN-006,(WIN-006 生产链) CLI 新增 `drizzle` 子命令: 校准FITS→aio_read建PipelineFrame(WCS/SIP/PHOTSCAL KV+data块)→hp_drizzle_run_hi
1241,b1bfee5a,2026-08-30,付家泽,S,1,64,0,WIN-006,(WIN-006 证据) 生产 Drizzle→HiPS 直链当前SHA(cba67e5)复验: drizzle 子命令 256×256 合成帧 → 65536→27 HEALPix→HiPS(无HISS中转); dri
1242,52e9541d,2026-08-30,付家泽,M,12,178,35,PAR-001;PAR-002;PAR-007;REV-002;REV-003;VER-001;WIN-006;WIN-008,(审核包 item#9) 机器一致性校对: 纠正依赖边(PASS依赖非PASS=0) - WIN-009 依赖 WIN-008|VER-001 -> VER-001(发布打包(SBOM/hash/smoke)不依赖 se
1243,552f0cc3,2026-08-30,付家泽,S,1,7,5,WIN-006,(WIN-006 跨平台) 修复 MSVC: aio/cfitsio 头移到 windows.h 之后(避免 cfitsio fitsio.h 宏与 winnt.h 冲突导致 C2059 syntax error at 
1244,b842899e,2026-08-30,付家泽,S,1,24,1,WIN-006,"(WIN-006 MSVC) aio_healpix_io.cpp 补 zstd 可选守卫(与 aio_compressor/hiss_codec 一致, -DHAS_ZSTD 启用, 否则 header 块不压缩); "
1245,addf33a2,2026-08-30,付家泽,S,1,31,0,WIN-006,"(WIN-006 证据) 真实银心代表链路当前SHA(b842899): phase1(6帧4500x3600校准, run df75ccc1d650, exit0) + drizzle(6帧→366781 HEALPi"
1246,dfa121e3,2026-08-30,付家泽,S,1,4,3,WIN-006,(WIN-006) phase2 obs=0 根因定位: sampler p2_frame_id 从每个HiPS的properties/provenance构建observation; drizzle合并输出单HiPS未
1247,ca340661,2026-08-30,付家泽,S,1,13,3,WIN-006,"(WIN-006 证据细化) phase2 obs=0 根因确认: drizzle 把 obs_* 写到 support/properties, 但 p2_frame_id 读 signal/properties(缺 c"
1248,cb2f680a,2026-08-30,付家泽,S,1,9,12,WIN-006,"(WIN-006 证据修正) phase2 obs=0 根因修正: frame_id有效(非0), obs=0来自sampler cell接受门限(单帧coadd HiPS未产生被接受的observation cell;"
1249,8b1d4e36,2026-08-30,付家泽,S,1,8,0,WIN-006,"(WIN-006 逐帧实验) 逐帧独立HiPS(6 hips_paths)使 phase2 过 config 校验不再obs=0, 但下一档 blocker: coverage_build rc=1(6逐帧 nside="
1250,b86dbdc7,2026-08-30,付家泽,S,1,7,0,WIN-006,"(WIN-006 突破) 真实银心WIN-006代表链路全链打通: phase1(6帧,exit0)→逐帧drizzle(nside=2048,每帧独立HiPS,6 hips_paths)→phase2 PASS(exi"
1251,3ca7f974,2026-08-30,付家泽,S,1,1,1,WIN-006,(控制包) WIN-006 BLOCKED -> IN_PROGRESS: 真实银心代表链路(phase1 6帧 exit0 → 逐帧drizzle nside2048 → phase2 exit0 obs=96/con
1252,3caa519c,2026-08-30,付家泽,S,1,6,0,WIN-008,"(WIN-008 代表链路续通) 真实银心WIN-006/008代表链路全通: phase1(6帧,exit0)→逐帧drizzle(nside2048)→phase2(UPM obs=96/controls=42, e"
1253,472e8874,2026-08-30,付家泽,S,1,22,0,SYN-008,(SYN-008 接缝门限 PASS) 合成Oracle(3重叠场→p2_upm_build→交叉帧seam): SEAM n=576 p50=0.0130 p95=0.0400 max=0.0591 controls=
1254,876296eb,2026-08-30,付家泽,S,1,25,0,WIN-007;WIN-008,"(WIN-007 银心32R 全链 PASS, 32/32 contribution) 32张Red帧(11/11/10 per panel, 4500x3600 180S): phase1(32帧,run 529854"
1255,59649edc,2026-08-30,付家泽,S,1,59,0,WIN-007,"(WIN-007 32R 冻结manifest) 候选SHA=b842899eb8fb(被评估Windows二进制), repo_head=876296e, 32帧(11/11/10 per panel), phase1"
1256,fd4e11ed,2026-08-30,付家泽,M,8,39,37,WIN-006;WIN-008,"(审核包重打+补全) assemble_audit.py: windows_32r_run_id=4f885b8b8fd4(32R phase2), blockers 更新为实际剩余(WIN-006真实链/32R已PAS"
1257,5d9061f4,2026-08-30,付家泽,S,1,17,0,WIN-006,"(WIN-006/007 资源内存门控 PASS-运行型) phase2 --resource-detail: budget workers=16(cpus=16), obs=96/controls=42, run 8d"
1258,774a7616,2026-08-30,付家泽,S,1,21,0,,"(统一SHA状态) Linux二进制重建(cmake, exit0)doctor PASS无回归, 版本字符串 g5d9061f481a4(HEAD漂移; Windows=gb842899eb8fb). 源码最后代码提交"
1259,587fe0e3,2026-08-30,付家泽,S,1,7,21,,"(统一SHA续) Windows重建(MSBuild18.3.0, cmake msys64)exit0; 强制main.cpp重编译后版本串仍gb842899eb8fb→版本串在CMake configure时git "
1260,ac2d230d,2026-08-30,付家泽,S,1,116,0,,(审核包打包工具) tools/pack_audit_package.py: 打包基线代码(不含数据/第三方/二进制/运行时)+证据为 zip. 产物 artifacts/prerelease_v5/AUDIT_PACK
1261,4b1b948e,2026-08-30,付家泽,L,50,4267,0,BAS-001,BAS-001: 冻结仓库身份与控制包基线
1262,debeb0a3,2026-08-30,付家泽,M,5,317,2,BAS-002,BAS-002: 冻结当前构建目标与生产入口
1263,e4fa8a36,2026-08-30,付家泽,S,5,97,2,BAS-003,BAS-003: 冻结静态调用图与线程入口清单
1264,8d89088e,2026-08-30,付家泽,S,4,105,2,BAS-004;P0-003,BAS-004: 登记 P0 所有权与科学语义风险 + G0 门禁达成
1265,ecc805d4,2026-08-30,付家泽,M,11,109,17,VER-001,VER-001: 建立唯一版本来源 0.10.0-alpha.1
1266,0f78c111,2026-08-30,付家泽,M,6,540,2,DOC-001,DOC-001: 建立合同 ID 注册表
1267,7b43ed1c,2026-08-30,付家泽,S,3,140,2,DRZ-001;SCI-001,SCI-001: 冻结 Phase1 科学定义(确认冻结+owner摘要)
1268,e765161d,2026-08-30,付家泽,S,2,77,2,INT-001;SCI-002,SCI-002: 冻结 Phase2 科学定义(确认冻结)
1269,4a7fe628,2026-08-30,付家泽,S,2,77,2,P3-001;SCI-003,SCI-003: 设计 Phase3 科学定义(确认冻结)
1270,e351f3fb,2026-08-30,付家泽,M,5,265,2,DATA-001,DATA-001: 冻结跨模块数据语义与 artifact schema
1271,a858df3f,2026-08-30,付家泽,S,3,154,2,ARCH-001,ARCH-001: 冻结 Runtime 与职责边界
1272,02839ac0,2026-08-30,付家泽,S,3,133,2,API-001,API-001: 冻结公共 API 与错误模型
1273,c7ec1003,2026-08-30,付家泽,S,4,165,2,TEST-001,TEST-001: 建立科学测试矩阵
1274,aa4298a7,2026-08-30,付家泽,S,1,15,0,,G1: 合同真相层门禁达成 checklist(8/8)
1275,338eecc2,2026-08-30,付家泽,M,7,426,2,ARCH-001;BLD-001;CPU-01,BLD-001: 建立显式根 CMake 目标图
1276,c572aa1f,2026-08-31,付家泽,M,5,314,3,API-001;CORE-001,CORE-001: 实现公共 Result/Error/Cancel 语义
1277,3e98a22d,2026-08-31,付家泽,M,7,462,3,CORE-002;DATA-001,CORE-002: 实现 DataArtifact 与 Provenance
1278,e29aae75,2026-08-31,付家泽,M,7,286,3,ARCH-001;CORE-003,CORE-003: 实现 ModuleDescriptor 注册表
1279,c497a284,2026-08-31,付家泽,M,7,575,3,ARCH-001;CORE-004,CORE-004: 实现 Pipeline IR 解析与静态验证
1280,6389105a,2026-08-31,付家泽,M,7,297,3,ARCH-001;CORE-005,CORE-005: 实现 RunContext 服务接口
1281,dedbfad7,2026-08-31,付家泽,M,7,431,4,ARCH-001;CORE-006,CORE-006: 实现统一 DAG 调度与线程租约
1282,06b10d1a,2026-08-31,付家泽,M,7,258,3,CORE-007,CORE-007: 实现 checkpoint 与幂等恢复
1283,e498e7bf,2026-08-31,付家泽,M,7,378,3,CORE-008,CORE-008: 实现统一日志与指标服务
1284,82185a05,2026-08-31,付家泽,S,2,74,0,,G2-RUNTIME: Runtime gate 9/9 PASS
1285,2f39880c,2026-08-31,付家泽,M,7,453,3,ARCH-001;IO-001,IO-001: 实现 I/O adapter 接口与 Artifact 事务
1286,1878fa52,2026-08-31,付家泽,M,8,180,13,IO-002,IO-002: aio_image* canonical deleter 全覆盖
1287,63167789,2026-08-31,付家泽,S,5,179,2,IO-003,IO-003: CFITSIO 显式 reentrant + per-worker 独立 reader
1288,09228a1c,2026-08-31,付家泽,S,3,75,4,IO-004,IO-004: 2/4/8 worker 随机 tile 读取压力
1289,af6cb259,2026-08-31,付家泽,M,12,316,42,CPU-001,CPU-001: C ABI 结构全带 size/version + 边界头纯净
1290,5b628296,2026-08-31,付家泽,S,4,198,2,CPU-002,CPU-002: baseline AMD64 + Runtime lease 多线程验证
1291,79dbcfa6,2026-08-31,付家泽,S,4,150,2,AVX-512;CPU-003,CPU-003: CPUID/OSXSAVE/XGETBV 核验 + feature 匹配降级
1292,4560aaf9,2026-08-31,付家泽,S,4,156,2,AVX-512;CPU-004,CPU-004: AVX2/AVX-512 provider 同 kernel 语义 + 降级链
1293,fef908c4,2026-08-31,付家泽,S,4,226,2,CPU-005,CPU-005: 损坏 provider/ABI mismatch/缺 kernel 优雅 fallback
1294,3019381b,2026-08-31,付家泽,S,4,183,2,CPU-006,CPU-006: benchmark 顺序链 + Oracle 门验证
1295,d9c89637,2026-08-31,付家泽,S,4,139,2,CPU-007,CPU-007: profile 字段完整性 + 失效判定 + 回退语义
1296,351e1855,2026-08-31,付家泽,S,4,177,2,CPU-008,CPU-008: 资源监测器采样 + 开销 + gate 阈值
1297,f65fcc98,2026-08-31,付家泽,S,1,33,0,,G3-GATE: I/O 与 CPU gate 8/8 PASS
1298,fe92b6e5,2026-08-31,付家泽,S,4,138,2,P1-001,P1-001: Phase1 old-symbol 映射表 + 无 blocker
1299,6f80c913,2026-08-31,付家泽,S,4,202,2,CAL-001;P1-002,P1-002: synthetic fixtures 解析公式逐像素比较
1300,d3af6ffa,2026-08-31,付家泽,M,7,446,2,P1-003;PHOT-001;PSF-001,P1-003: StarDetector 5 场景 + catalog 质量字段
1301,366b9f8c,2026-08-31,付家泽,M,9,425,2,P1-004;PHOT-001;WCS-001,P1-004: WCS roundtrip + Photometry 回归 + 失败显式
1302,a63a66ae,2026-08-31,付家泽,M,7,345,2,NOISE-001;P1-005,P1-005: Noise/SNR SCI 公式 + Monte Carlo 验证
1303,ed9f3b0d,2026-08-31,付家泽,S,4,156,2,DRZ-001;P1-006,P1-006: NSIDE 派生(无 2048 硬编码) + RA wrap
1304,466c6fa4,2026-08-31,付家泽,S,4,176,2,P1-007,P1-007: HiPS writer 合法产品 + verify 重开 hash
1305,c22819a2,2026-08-31,付家泽,S,4,158,2,ARCH-001;P1-008,P1-008: canonical IR 节点 + preset 开关 + facade 验证
1306,e1c6126e,2026-08-31,付家泽,S,4,156,2,CPU-008;P1-009,P1-009: 2 核 heavy synthetic 资源记录 + 多 frame
1307,fb4d023e,2026-08-31,付家泽,S,1,31,0,,G4-GATE: Phase1 gate 10/10 PASS
1308,f056f917,2026-08-31,付家泽,S,4,143,2,P2-001,P2-001: Phase2 Stage2 步骤映射 + ACR 禁迁移
1309,6ef62a41,2026-08-31,付家泽,S,4,164,2,CON-002;CON-004;P2-002,P2-002: heavy 禁 workers=1 门禁 + cpu_workers 校验
1310,fab26511,2026-08-31,付家泽,S,4,213,2,P2-003;UPM-001,P2-003: 三块重叠 UPM 合成验证(接缝/源/加性)
1311,957accff,2026-08-31,付家泽,S,5,187,2,BLK-001;P2-004,P2-004: block plan 预算/峰值重算修复 + 无全局 cache
1312,ab52854f,2026-08-31,付家泽,S,4,167,2,P2-005;REJ-001,P2-005: rejection 10 方法独立 fixture + AUTO 路由
1313,3c66e64e,2026-08-31,付家泽,S,4,175,2,INT-001;P2-006,P2-006: writer 输出语义(ivar 非模糊 weight) + integrate
1314,ab45a63a,2026-08-31,付家泽,S,4,145,2,ARCH-001;P2-007,P2-007: canonical Phase2 IR 全链 + facade 验证
1315,b31a3780,2026-08-31,付家泽,S,4,174,2,P2-008;UPM-001,P2-008: seam 数值门+资源门同时通过
1316,f5e1177a,2026-08-31,付家泽,S,1,28,0,,G5-GATE: Phase2 gate 10/10 PASS
1317,be2d6c0d,2026-08-31,付家泽,S,4,136,2,P3-001,P3-001: 移除 prototype registry/preset + 文档状态统一
1318,a994fe1d,2026-08-31,付家泽,S,5,167,3,P3-002,P3-002: WCS 溢出检查 + 配置合同上限(无硬编码 20000)
1319,e4275ecc,2026-08-31,付家泽,S,4,187,2,P3-003,P3-003: tile 分工 + 插值/几何 fixtures
1320,0b8117e2,2026-08-31,付家泽,S,4,183,2,P3-003;P3-004,P3-004: coverage 与边界语义
1321,c9a22b5d,2026-08-31,付家泽,S,5,179,3,P3-004;P3-005,P3-005: FITS 重开验证修复 + checksum
1322,bfb07282,2026-08-31,付家泽,S,4,185,1,P3-003;P3-006,P3-006: Phase3 全链组装验证 (mini HiPS→sampler→FITS)
1323,d3f0b37a,2026-08-31,付家泽,S,1,25,0,,G6-GATE: Phase3 gate 8/8 PASS
1324,bb2d9fcd,2026-08-31,付家泽,S,4,136,2,CLI-001;CLI-005,CLI-001: 稳定 command 层 (kRules 表驱动)
1325,e5b84f30,2026-08-31,付家泽,S,4,128,2,CLI-002;CLI-005,CLI-002: run preset/IR 驱动 + Artifact 哈希链
1326,d93054c0,2026-08-31,付家泽,S,3,128,2,CLI-003;CLI-005,CLI-003: test synthetic 接通真实合成门
1327,317566c0,2026-08-31,付家泽,S,3,81,3,CLI-005;LEG-001,LEG-001: CLI drizzle 降级测试 wrapper + 去 2048 硬编码
1328,fb0d081d,2026-08-31,付家泽,S,4,117,3,LEG-002,LEG-002: 旧 Orchestrator 退出生产
1329,94512274,2026-08-31,付家泽,S,3,77,2,LEG-003,LEG-003: AIO PipelineEngine 调度职责退出
1330,6a66acab,2026-08-31,付家泽,S,3,83,3,LEG-004,LEG-004: 旧 Stage2 退出 + ACR dormant 隔离
1331,b891eda3,2026-08-31,付家泽,S,1,24,0,,G7-GATE: 唯一生产路径 gate 8/8 PASS
1332,8e7b2c95,2026-08-31,付家泽,M,8,237,2,DOC-002,DOC-002: L0 负责人审查文档 (REVIEW + 5 顶层)
1333,b63958b2,2026-08-31,付家泽,M,8,175,2,DOC-003,DOC-003: 每模块 L2 README + 合同链接
1334,cda2898b,2026-08-31,付家泽,S,3,128,2,DOC-004;TRACE-001,DOC-004: Clang AST public 符号校验
1335,6608b166,2026-08-31,付家泽,S,3,122,2,DOC-005,DOC-005: 静态 Pipeline 图与运行 trace 一致性
1336,8989c7f8,2026-08-31,付家泽,S,1,26,0,DOC-002,G8-GATE: 文档与质量 gate 9/9 PASS
1337,1c7da8de,2026-08-31,付家泽,S,3,112,2,REL-001,REL-001: 发布布局校验工具 + 干净 smoke
1338,97f6ee8e,2026-08-31,付家泽,S,4,119,3,LEG-004;REL-002,REL-002: 最终追溯校验 + 旧入口扫描
1339,b840ed64,2026-08-31,付家泽,S,4,164,2,REL-003,REL-003: 白名单审核包打包+验证
1340,a7faa502,2026-08-31,付家泽,S,4,131,1,REL-004,REL-004: 负责人视觉验收视图就绪 (REVIEW_PENDING)
1341,16643bc1,2026-08-31,付家泽,S,1,4,1,CLI-003,G9-TIMEOUT: 外部命令 timeout/log 纪律 (test synthetic)
1342,43de4ac2,2026-08-31,付家泽,S,6,34,5,,G9-CLANG: omp.h 宏保护 + OpenMP 可选 (clang Debug 构建)
1343,0940febb,2026-08-31,付家泽,S,1,26,0,,G9-GATE: Linux 平台 gate 6/6 PASS
1344,42d5dd78,2026-08-31,付家泽,S,1,17,0,,G10-GATE: Windows 离线登记 (WAITING_WINDOWS)
1345,457dcf6b,2026-08-31,付家泽,S,2,118,0,,G11-CONSISTENCY: 发布一致性校验 (VERSION/SBOM/checksums)
1346,04a00e11,2026-08-31,付家泽,S,1,20,0,,G11-GATE: 发布 gate Linux 侧 7/7 PASS
1347,38f62f2a,2026-08-31,付家泽,S,6,176,6,LNX-00;LNX-001;P2-002,LNX-001..005: Linux 平台任务全 PASS
1348,41943d42,2026-08-31,付家泽,S,4,119,5,BLD-001;QA-001,QA-001: 生产警告抑制清零 (P2/P3 去 -w)
1349,f8001e29,2026-08-31,付家泽,S,4,208,10,BLD-001;LEG-004;QA-002,QA-002: 串行/硬编码静态禁令 + GLOB 清零 + ACR 剔出
1350,6a7bdb49,2026-08-31,付家泽,S,2,69,2,QA-003,QA-003: Sanitizer 验证 (ASan 全组合成 PASS)
1351,1ee07955,2026-08-31,付家泽,S,4,141,2,QA-004,QA-004: 重复实现与所有权审查
1352,60493ea3,2026-08-31,付家泽,S,4,132,1,QA-005,QA-005: 可复现构建依赖与 SBOM
1353,04a5d7cc,2026-08-31,付家泽,S,1,18,0,QA-001,G8-QA: QA-001..005 质量门 5/5 PASS
1354,196b2e8e,2026-08-31,付家泽,S,2,5,10,WIN-001,G10-WIN: WIN-001..006 登记 WAITING_WINDOWS
1355,8be6eb4e,2026-08-31,付家泽,S,1,10,0,WIN-001,G10-WIN: WIN-001..006 WAITING_WINDOWS (修复 LEDGER 完整性)
1356,32be7024,2026-08-31,付家泽,S,1,19,14,REL-002,"REL-STATUS: 最终发布状态 (Linux 完成, Windows/视觉待负责人)"
1357,ae140e5d,2026-08-31,付家泽,S,1,1,1,REL-002,"REL-STATUS: 措辞修正 (无模糊完成措辞, checker PASS)"
1358,00032018,2026-08-31,付家泽,S,1,5,0,,"MEM: V6 重构终态记录 (Linux 完成, 待外部发布审核)"
1359,b16d422a,2026-08-31,付家泽,S,1,1,1,REL-002,REL-STATUS: owner review 措辞 (14/14 检查器全 PASS)
1360,30a3516a,2026-08-31,付家泽,S,1,6,0,REL-003,"G10-STATUS: 最终审核包记录 (b16d422, 568 files)"
1361,a3d16d85,2026-08-31,付家泽,M,6,303,0,,"R0-001: 冻结当前 main 身份 (三 SHA 相同, b16d422 为祖先, 工作树 205 项全分类, CONTROL_PASS)"
1362,31b10cab,2026-08-31,付家泽,L,10,2250,1,,"R0-002: 完整自有源码清单 (58 targets 1120 文件, 生产源全部证明存在, 负例缺源 FAIL)"
1363,d7b202ec,2026-08-31,付家泽,M,7,678,1,,"R0-003: V6.1 证据台账与状态机验证器 (10 负例 PASS, 冻结台账 hash 未变, TASK_RESULT schema 一致)"
1364,50673825,2026-08-31,付家泽,M,9,1216,1,,R0-004: 复现并冻结 40 项已知问题 (40/40 REPRODUCED) + G0 门清单 8/8 PASS
1365,a52dcce1,2026-08-31,付家泽,M,9,557,8,GOV-001,"GOV-001: 任务证据与 commit 绑定 (COMMITS.csv 连续链, 篡改/交换/缺push 负例全抓, 旧结果 schema 修复)"
1366,c1585123,2026-08-31,付家泽,S,5,193,19,GOV-002,"GOV-002: gate 与依赖状态机 (12 负例全抓, 全部错误聚合, 任务数校验, F-034/035 闭环)"
1367,99a79200,2026-08-31,付家泽,L,28,278,39,VER-001,"VER-001: 版本推进 0.10.0-alpha.2 (VERSION 单源, 生产源码 0.1.0/alpha.1 清零, P3 provenance 派生, checker PASS)"
1368,abb75893,2026-08-31,付家泽,M,8,1680,1,CHK-001,"CHK-001: 生产可达调用图检查器 (compile_commands+nm, 负例抓 session/drizzle 直连, JSON/DOT 图, ACR 零可达)"
1369,1490bae5,2026-08-31,付家泽,M,5,419,1,CHK-002,"CHK-002: 非空静态图/运行图检查器 (--ir/--module-index/--trace 必填, 7 负例全抓, 空 trace FAIL)"
1370,80a00b1e,2026-08-31,付家泽,M,6,295,1,CHK-003,"CHK-003: serial-heavy 与资源接线检查器 (P2 宏关/P3 双循环/无 gate caller 负例全抓, allowlist 登记)"
1371,545bd4d4,2026-08-31,付家泽,S,1,19,0,,G1-STATUS: G1 门清单 7/7 PASS (治理/版本/检查器)
1372,ef9e34db,2026-08-31,付家泽,M,13,654,3,RT-001,"RT-001: 冻结 Runtime 与模块公共合同 (Runtime/ModulePlan/IModule/ThreadBudget/RAII lease, ABI layout 测试 9/9 PASS)"
1373,30c83b45,2026-08-31,付家泽,M,9,427,19,RT-002,"RT-002: 全局原子 ThreadBudget 租约 (三策略 RAII 归还, 双节点不超卖/异常/取消恢复, 8x PASS)"
1374,a03077ec,2026-08-31,付家泽,M,12,425,21,RT-003,"RT-003: 并发安全 RunContext (快照访问/唯一 producer/TSan 修复 scheduler budget 竞争, 4 测试 TSan PASS)"
1375,90cf35a8,2026-08-31,付家泽,M,9,741,208,RT-004,"RT-004: nlohmann 驱动 PipelineIR 解析+ModuleRegistry 静态验证 (9 错误种类全 fixture, CLI 重链接通过)"
