符号或键,类别,位置集合（全部侧，规范化全路径:行）,现行值,单位,坐标系或归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,是否已复核,冲突标记,来源成稿与条目,多侧默认值预筛（预筛已回：raw/D4-多侧默认值全表.csv）
final_gauge / m_full_frame,算法,lib/algorithms/coverage/src/upm.cpp:976,生产 1 ／ 结构体默认 0,布尔旗标,UPM gauge 与全帧标记,不适用,生产 uc.final_gauge=1 ⇒ m->gauge 非空；m_full_frame=1 ⇒ 公共残差场 G≈0（实验量得 0.0037 e⁻）,有文献（PHASE2_UPM.md:96 每分量参考帧=最小 frame_id 冻结）,module_adapters.cpp:9578/:9579；upm.h:283/:304 默认；upm.cpp:976-977/:1104/:1907-1942,文献值,Phase2 加性面 gauge 不变量,是（第②层独立复核）,,AUD-203-天光无缝核验 AUD203-10；复核-AUD203 V3；复核注记：是,
hc（λ 因子闭合用）,常数,,1.986445857e−16,J·nm,物理定义常数（6.62607015e−34 × 2.99792458e8）,定义值，无容差,全链通用,文献值（SI 定义）,AUD-201-测光核验 AUD201-002 推导过程,文献值,量纲闭合论证,是（第②层独立复核）,,AUD-201-测光核验 AUD201-002；复核注记：是,
huber_delta,常数,lib/phase2_session/p2_session.cpp:204,1.345,稳健尺度倍数,UPM 稳健损失,不适用,IRLS Huber 权重,文献值（A 一手：Huber 1964；Hampel & Weninger 1977）,docs/science/PHASE2_UPM.md §5/§7；docs/algorithms/PLATESOLVE.md:193 同值同锚（正例：常数额外登记了「有文献依据——Huber (1964)」）,文献值,Phase2 UPM／PlateSolver 稳健拟合,是（第②层独立复核）,,AUD-203-天光无缝核验 AUD203-09；AUD-201-测光核验 AUD201-012（对照正例）；复核注记：是,
kMinFitStars,常数,lib/algorithms/photometry/cpp/src/frame_photometry_fit.h:89,3,星数,空间增益/测光拟合的最小匹配星,整数,n_matched ≥ 3 即拟合合格；n_matched 就是 Tukey inlier 数,有文献（代码具名常量，无文档条款）,AUD201-011（frame_photometry_fit.h:89）,文献值,测光帧级拟合合格判定,是（第②层独立复核）,,AUD-201-测光核验 AUD201-011；复核注记：是（复核-AUD201 V5 同链）,
m_5 / 极限星等的增益未知侧,算法,,缺失 gain/ZP ⇒ m_5 = null（天空受限最优提取）,mag,SNR 口径降级声明,不适用,snr_caliber = upper_bound_no_gain 已实现（module_adapters.cpp:7130-7136）,有文献（phase_config_normalize.schema.json:229 明文）,AUD202-005（此点证真）,文献值,Phase1 报告面降级声明,是（第②层独立复核）,,AUD-202-SNR核验 AUD202-005；复核注记：是,
noise.max_clip_rounds,算法,eng/packaging/config/defaults.json:163；docs/science/NOISE_MODEL.md:63；lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1254,2,rounds,patch 裁剪迭代轮数上限,无精度陈述,"注册 >=0；schema :316-320 [0,100]；解析层 [0,100]",文献值（本仓 SCI 冻结 <=2 轮）,docs/science/NOISE_MODEL.md:63（<=2 轮；注册件所引 :56 为 gain 行，:126 亦非该陈述）,文献值,Phase1 patch 裁剪,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 max_clip_rounds｜有值侧 3（S1 defaults、S4 合同schema、S5 代码兜底）
photometry.irls_max_iterations,算法,eng/packaging/config/defaults.json:569；docs/science/PHOTOMETRY.md:192；lib/algorithms/photometry/cpp/src/star_matcher.cpp:25；lib/algorithms/photometry/cpp/src/spatial_gain.cpp:42；lib/algorithms/coverage/include/astro/phase2/stage2_common.h:65,50,iterations,S>0 时 IRLS 迭代上限,未标注（无收敛余量/最坏迭代论证）,注册 >=1；无 schema 承载,文献值（本仓 SCI 冻结）,"docs/science/PHOTOMETRY.md:192（S>0 时 max_iter=50, tol=1e-6；实现锚 star_matcher.cpp:25）与 :53 附近迭代框；锚点正确（本队列少数 source 与 source_ref 一致且命中值的行）",文献值,测光 IRLS,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,
rejection.averaged_sigma.lower_sigma,算法,eng/packaging/config/defaults.json:373；docs/science/REJECTION.md:116；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1249；eng/packaging/config/defaults.json:299；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1053-1062,4.0,sigma,averaged_sigma 低侧阈值,未标注,注册 >0；无 schema 承载,文献值（三元组共用）,docs/science/REJECTION.md:116,文献值,Phase2 排异,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 lower_sigma｜有值侧 2（S1 defaults、S5 代码兜底）｜候选档 ⑤仅跨侧异值（含同名异义嫌疑）
rejection.averaged_sigma.max_iterations,算法,eng/packaging/config/defaults.json:401；docs/science/REJECTION.md:116；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1250,8,iterations,averaged_sigma 迭代上限,未标注,注册 >=1；无 schema 承载,文献值（三元组共用）,docs/science/REJECTION.md:116,文献值,Phase2 排异,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 max_iterations｜有值侧 3（S1 defaults、S4 合同schema、S5 代码兜底）｜候选档 ①生产兜底在对面
rejection.averaged_sigma.upper_sigma,算法,eng/packaging/config/defaults.json:387；docs/science/REJECTION.md:116；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1249,3.0,sigma,averaged_sigma 高侧阈值,未标注,注册 >0；无 schema 承载,文献值（三元组共用）,docs/science/REJECTION.md:116,文献值,Phase2 排异,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 upper_sigma｜有值侧 2（S1 defaults、S5 代码兜底）｜候选档 ⑤仅跨侧异值（含同名异义嫌疑）
rejection.linear_fit.lower_sigma,算法,eng/packaging/config/defaults.json:415；docs/science/REJECTION.md:117；docs/science/REJECTION.md:286；eng/packaging/config/defaults.json；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1251,5.0,sigma,linear_fit 低侧阈值,未标注,注册 >0；无 schema 承载,文献值（本仓 SCI 冻结表；实现侧另记外部软件来源）,docs/science/REJECTION.md:117（linear_fit: 5.0/3.5/8）；注册件所引 :59 是空行,文献值,Phase2 排异,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 lower_sigma｜有值侧 2（S1 defaults、S5 代码兜底）｜候选档 ⑤仅跨侧异值（含同名异义嫌疑）
rejection.linear_fit.max_iterations,算法,eng/packaging/config/defaults.json:443；docs/science/REJECTION.md:117；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1252；eng/packaging/config/defaults.json,8,iterations,linear_fit 迭代上限,未标注,注册 >=1；无 schema 承载,文献值（同族）,docs/science/REJECTION.md:117,文献值,Phase2 排异,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 max_iterations｜有值侧 3（S1 defaults、S4 合同schema、S5 代码兜底）｜候选档 ①生产兜底在对面
rejection.minmax.min_kept,算法,eng/packaging/config/defaults.json:513；docs/science/REJECTION.md:120；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1257-1258；eng/packaging/config/defaults.json；docs/science/REJECTION.md:113,4,count,极值拒保留下限,未标注（与 0.6·n 小 N 判据的关系未写）,注册 >=1；无 schema 承载,文献值（本仓冻结表）,docs/science/REJECTION.md:120（minmax: reject_low 1 / reject_high 1 / min_kept 4）；注册件 source :60（方法名列表行）与 source_ref :166 都不含 min_kept,文献值,Phase2 极值拒,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 min_kept｜有值侧 2（S1 defaults、S5 代码兜底）
rejection.percentile.high,算法,eng/packaging/config/defaults.json:499；docs/science/REJECTION.md:119；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1254,0.1,1（分位比）,小 N 分位拒高侧分位,未标注,注册 0<high<1；无 schema 承载,文献值（同 :119）,docs/science/REJECTION.md:119,文献值,Phase2 小 N 排异,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 percentile.high｜有值侧 1（S1 defaults）
rejection.percentile.low,算法,eng/packaging/config/defaults.json:485；docs/science/REJECTION.md:119；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1254；docs/science/REJECTION.md:51,0.2,1（分位比）,小 N 分位拒低侧分位；判据 v < median - 0.2·|median|,未标注,注册 0<low<1；无 schema 承载；代码无值域校验,文献值（本仓冻结表；实现侧注释记外部软件默认）,docs/science/REJECTION.md:119（percentile: low 0.2 / high 0.1）与 :64（4<=n<=5 档路由）；注册件 source 引 :59（空行）而 source_ref 又引 :166（讲 percentile 工作域与单位，不含 0.2）⇒ 两条锚都不含值,文献值,Phase2 小 N 排异（仅 4<=n<=5 档可达）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 percentile.low｜有值侧 1（S1 defaults）
rejection.sigma.lower_sigma,算法,eng/packaging/config/defaults.json:289；docs/science/REJECTION.md:116；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1246,4.0,sigma,sigma-clip 低侧阈值（正数）；方向异常：lower(4.0)>upper(3.0),未标注,注册 >0；**schema 侧无承载**（mosaic $defs/reject 与 $defs/upm 均为裸 type=object，无 properties/default/min/max）⇒ 合同面不校验任何排异阈值,文献值（本仓 SCI 阈值冻结表）,docs/science/REJECTION.md:116（sigma/winsorized/averaged: 4.0/3.0/8）；注册件所引 :97 是 WBPP 档界叙述行、source_ref 又写 :68（该处无此值）⇒ source 与 source_ref 互相打架且两者都不含值,文献值,Phase2 多值堆排异,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 lower_sigma｜有值侧 2（S1 defaults、S5 代码兜底）｜候选档 ⑤仅跨侧异值（含同名异义嫌疑）
rejection.sigma.max_iterations,算法,eng/packaging/config/defaults.json:317；docs/science/REJECTION.md:116；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1246；lib/algorithms/coverage/src/upm.cpp:270；lib/infrastructure/pipeline/orchestrator/cpp/include/json_config.h:50；lib/algorithms/coverage/include/astro/phase2/stage2_common.h:65；lib/algorithms/platesolve/cpp/ipv/include/ipv_robust_refine.h:48；lib/algorithms/coverage/src/sky_plane.cpp:457；eng/ci/ledgers/config_default_divergences.json,8,iterations,sigma-clip 迭代上限,未标注（未给收敛余量）,注册 >=1；无 schema 承载,文献值（同三元组）,docs/science/REJECTION.md:116（第三位 8）,文献值,Phase2 多值堆排异,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 max_iterations｜有值侧 3（S1 defaults、S4 合同schema、S5 代码兜底）｜候选档 ①生产兜底在对面
rejection.sigma.upper_sigma,算法,eng/packaging/config/defaults.json:303；docs/science/REJECTION.md:116；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1246,3.0,sigma,sigma-clip 高侧阈值（正数）,未标注,注册 >0；无 schema 承载,文献值（同三元组）,docs/science/REJECTION.md:116（同表；注册件 :97/:68 双锚均不含值）,文献值,Phase2 多值堆排异,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 upper_sigma｜有值侧 2（S1 defaults、S5 代码兜底）｜候选档 ⑤仅跨侧异值（含同名异义嫌疑）
rejection.winsorized.lower_sigma,算法,eng/packaging/config/defaults.json:331；docs/science/REJECTION.md:116；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1247；eng/packaging/config/defaults.json,4.0,sigma,winsorized 低侧阈值,未标注,注册 >0；无 schema 承载,文献值（三元组共用一行事实）,docs/science/REJECTION.md:116,文献值,Phase2 排异,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 lower_sigma｜有值侧 2（S1 defaults、S5 代码兜底）｜候选档 ⑤仅跨侧异值（含同名异义嫌疑）
rejection.winsorized.max_iterations,算法,eng/packaging/config/defaults.json:359；docs/science/REJECTION.md:116；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1248,8,iterations,winsorized 迭代上限,未标注,注册 >=1；无 schema 承载,文献值（三元组共用）,docs/science/REJECTION.md:116（第三位）,文献值,Phase2 排异,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 max_iterations｜有值侧 3（S1 defaults、S4 合同schema、S5 代码兜底）｜候选档 ①生产兜底在对面
rejection.winsorized.upper_sigma,算法,eng/packaging/config/defaults.json:345；docs/science/REJECTION.md:116；lib/algorithms/noise_snr/cpp/src/rejection.cpp:1247,3.0,sigma,winsorized 高侧阈值,未标注,注册 >0；无 schema 承载,文献值（三元组共用）,docs/science/REJECTION.md:116,文献值,Phase2 排异,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 upper_sigma｜有值侧 2（S1 defaults、S5 代码兜底）｜候选档 ⑤仅跨侧异值（含同名异义嫌疑）
util,常数,lib/infrastructure/cli/resource_recorder.h:369,0.0;100.0,%（并行平衡度，非容量利用率）,active+runnable 归一,不适用,denom>0,不适用（结构性常数）,定义性换算（100=百分），但**定义本身与权威口径同名不同义**,文献值,worker_balance.csv 的 utilization_pct 列,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3；L12,
worker_balance,常数,lib/infrastructure/cli/v6_runtime_contract.h:318,.1;0.0,分数 0..1,active/(active+runnable),未规定,0..1,不适用（结构性常数）,—（注释里的值域 0..1 被误切为 .1）,文献值,heavy run 字段,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3；L12,
(无名)·lib/infrastructure/cli/monitor.h:233,常数,lib/infrastructure/cli/monitor.h:233,10000000.0,FILETIME→秒 的换算基数（1 s = 10⁷ 个 100 ns）,Windows GetProcessTimes 的 FILETIME 单位,不适用（定义换算）,仅 _WIN32 分支,①有外部标准定义（Win32 FILETIME = 自 1601-01-01 起的 100 纳秒间隔；1e7 = 1 s / 100 ns）,本仓无文档登记该定义（属外部平台事实，不需仓内出处，但应一句注记以便复核）,公式导出,Windows 正式平台的 user/sys CPU 口径,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2,
(无名)·lib/infrastructure/cli/process.cpp:106,常数,lib/infrastructure/cli/process.cpp:106；eng/packaging/config/runtime_resources.json,1000.0,秒→毫秒换算基数,Windows WaitForSingleObject 的 dwMilliseconds,不适用（定义换算）,timeout_s>0 时；否则 INFINITE,①有外部标准定义（Win32 超时参数单位 = 毫秒）＋②定义换算（1 s = 1000 ms）,仓内无文档登记（外部平台事实）；本仓的时间单位约定见于 resource_events/monitor 用「秒」、runtime_resources.json 用「毫秒」（跨面单位不统一另记 L-14）,公式导出,进程超时（三命令共用的子进程执行面）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；L-14,
(无名)·lib/infrastructure/cli/resource_gate.h:492,常数,lib/infrastructure/cli/resource_gate.h:492；eng/contracts/resource_gate_v1.json,0.85,—,—,不适用,字符串常量,C 二手（字符串复写契约值）,eng/contracts/resource_gate_v1.json compute.mean_utilization_min_percent=85（应写成 kCpuMeanMinPercent/100）,公式导出,诊断文本呈现,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3；L4,
(无名)·lib/infrastructure/cli/session_commands.h:272,常数,lib/infrastructure/cli/session_commands.h:272；docs/plugins/algorithms_phase3/14_projection.md:35,512.5,px（1-based）,输出像素帧,0.5 px 语义（像中心）,"[1,W]",② 可由输入几何导出（且已按式算）,导出式 crpix=(1+W)/2（FITS 1-based）配本模板 W=H=1024 ⇒ 512.5；缺省语义 = 中心，出处 14_projection.md:35 + schema:247-258,公式导出,export 模板；键生产零读取（死键台账已登记）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
A_cell（HEALPix 叶面积）,公式,lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1212,4π/(12·nside²),sr,等面积划分,严格,writer 归约 sup = area/A_cell,公式导出（Górski 等面积式）,aio_hips_writer.cpp:1212；AUD204-02,公式导出,创新点④ 覆盖/支撑通道,是（第②层独立复核）,,AUD-204-面积交叠核验 §1；复核-AUD204 W3；复核注记：是,
F_syn 合成通量积分式,公式,lib/algorithms/photometry/cpp/src/spectrum_integrator.cpp:350；lib/algorithms/photometry/cpp/src/spectrum_integrator.cpp:447,F_syn = ∫ F_λ(λ)·T(λ)·Q(λ)·λ dλ,W·m⁻²·nm,仪器/合成通量域；不含 10^(−0.4·G),由 location 吸收与星无关常数，无独立精度陈述,Gaia XPSD 解码 F_λ 为能量谱辐照度时成立,文献值（A 一手：Gaia DR3 官方 §5.4.1 式(5.41)＋xp_sampled_mean_spectrum 单位声明）＋独立推导,docs/science/PHOTOMETRY.md:44（§2a.1）、:55；AUD-201 §1 与 AUD201-002；hc=1.986445857e−16 J·nm 数值闭合,公式导出,创新点① 测光定标全链,是（第②层独立复核）,,AUD-201-测光核验 §1／AUD201-002；复核注记：是（复核-AUD201 V1/V2 独立复算）,
_MAD_SCALE（1/Φ⁻¹(3/4)）,常数,lib/algorithms/photometry/cpp/src/star_matcher.cpp:21,0.6744897501960817,无量纲,MAD→σ 换算因子,1 ulp（独立解 0.67448975019608182，相对差 −1.646e−16）,高斯模型下 σ=MAD/Φ⁻¹(3/4) 一致估计,公式导出（本审查独立推导复现）,docs/science/PHOTOMETRY.md:34/:296（1.482602218505602 与之差 0）；star_matcher.cpp:21；四位截断 0.6745 偏差 +1.5196382e−05 与正本吻合,公式导出,测光 sigma_residual／Phase1 稳健尺度,是（第②层独立复核）,,AUD-201-测光核验 AUD201-016；复核注记：是（独立推导复现）,
cosmetic.bad_column_variance_kappa,常数,eng/packaging/config/defaults.json:811；docs/contracts/DATA_SEMANTICS.md:330-331；eng/packaging/config/defaults.json:815；lib/infrastructure/scheduler/src/module_adapters.cpp:2812；eng/packaging/config/defaults.json,2.0,1（无量纲）,修复像素方差 = (Σw^2·var)·κ,未标注（但 κ 有导出式）,注册 >= 1/Σw^2，单列两邻算术平均 Σw^2=0.5 ⇒ κ>=2；无 schema 承载,可公式导出（确定性插值不得声称携带多于一次独立测量 ⇒ var>=sigma^2 ⇒ κ>=1/Σw^2=2）,真锚 docs/contracts/DATA_SEMANTICS.md:330-331（§10.5 传播式 var=(Σw^2·var)·κ，单列两邻 Σw^2=1/2，κ>1 补偿插值相关，不做补偿会使修复像素 SNR 系统性偏高量级约 sqrt2）；注册件所引 :328 是 §10.5 小节标题；defaults.json:815 已把推导写全 ⇒ 本队列中出处质量最好的一条,公式导出,Phase1 修复像素方差,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 bad_column_variance_kappa｜有值侧 2（S1 defaults、S5 代码兜底）
definition 换算常量（正例集）,常数,lib/infrastructure/cli/monitor.h:233；lib/infrastructure/cli/memory_report.h:481；lib/infrastructure/cli/process.cpp:106,10000000.0（FILETIME→s）／1024.0×1024.0（MiB）／1000.0（s→ms）／100.0（百分数）,定义换算,各自的定义式,严格,四者都是被测量单位定义给出的换算核，代码按式算,公式导出（定义式）,monitor.h:233；memory_report.h:481；process.cpp:106；monitor.h:447 与 memory_growth.h:87,公式导出,观测面换算,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2 §3.2 对照行,
expect_zp,公式,eng/tests/unit/p1snr/p1snr_fref_baseline_test.cpp:269；docs/science/PHOTOMETRY.md:355；docs/science/PHOTOMETRY.md,表达式 kZPsyn − 2.5·log10(k_photo)（机械层只记 2.5）,星等（mag）,逐帧零点 ZP_k,与产品值比 1e-9 绝对容差（:270）,有限实数,①定义式（星等↔通量对数关系）,docs/science/PHOTOMETRY.md:355（m = ZP_k − 2.5·log10 F，星等只按表达层现场派生）；同式镜像 :27/:33/:214/:404,公式导出,N2 恒等式断言的期望侧,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
gain_variance,容差,eng/tests/unit/p1_noise/adapter_test.cpp:710；docs/science/NOISE_MODEL.md:32；lib/algorithms/noise_snr/cpp/src/noise_model.cpp,506.25,ADU²（方差）,诊断式输出（逐帧标量）,bitwise/==（精确相等）,≥0,A（标准 CCD 噪声方程）＋ ②可导出,公式锚：docs/science/NOISE_MODEL.md:32（§5c 加权方差面输入）与实现 lib/algorithms/noise_snr/cpp/src/noise_model.cpp（snr_noise_gain_variance = s/g + rn²/g²），同文件 :700 注释亦标 SNR-005,公式导出,D10 gain_variance 数值语义抽查,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
hips.tile_width,常数,eng/packaging/config/defaults.json:653；docs/science/PHASE3_HIPS_TO_FITS.md:17；lib/algorithms/coverage/hips_properties.h:25；lib/include/astrocs/core/plan_estimator.h:42；lib/infrastructure/aio/v6/include/astro/aio/v6_hips_manifest.h:35；lib/algorithms/coverage/hips_properties.h:120；docs/science/PHASE3_HIPS_TO_FITS.md:18,512,px,HiPS tile 边长 W；leaf_order = tile_order + log2(W),整数且必须 2 的幂,注册：2 的幂、默认 512；实现侧**只接受 512**（hips_properties.h:14 恒 512、:25 kHipsTileWidth=512、:120-121 非 512 直接 fail）；产品 schema hips_storage_form.schema.json:103 把 hips_tile_width 列为必需键,有文献（本仓 SCI）但档位错：它不是默认值而是格式约束,docs/science/PHASE3_HIPS_TO_FITS.md:17（符号表 hips_tile_width tile 宽 W 默认 512=2^9）与 :130（properties 必需键）；**注册件所引 :41 是 §4 输入有效域的小节标题，不含 512**,公式导出,HiPS 读写与规划,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 tile_width｜有值侧 3（S1 defaults、S4 合同schema、S5 代码兜底）｜候选档 ①生产兜底在对面
kGaussFwhmFactor,常数,eng/tests/unit/p1snr/p1snr_linux_test.cpp:64；lib/algorithms/noise_snr/cpp/src/snr_science.cpp:48-50；docs/algorithms/STAR_DETECTION_ALGORITHMS.md:97；docs/science/STAR_DETECTION.md:104,2.3548200450309493,无量纲（FWHM/σ 比值）,检测块椭圆高斯母函数,与双精度机器值一致（无截断）,恒等常数，无适用域限制,A（一手关系：高斯半高全宽定义）＋ 仓内登记一致,2√(2·ln2) 的双精度值（本机复算见 md 命令）；仓内锚 lib/algorithms/noise_snr/cpp/src/snr_science.cpp:48-50 与 :15/:22（同名常数与用途）、docs/algorithms/STAR_DETECTION_ALGORITHMS.md:97（TWO_SQRT_2_LOG2）、docs/science/STAR_DETECTION.md:104,公式导出,检测块 FWHM↔sigma 换算,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
kPxScaleDeg,常数,eng/tests/unit/p1001_real_nodes_test.cpp:1810,0.0002777777777777778,度/像素,WCS CD 矩阵元素（|det CD|^0.5）,缺（oracle 一致性判据为 worst<1e-9，未登记到该常数本身）,>0,B（本仓可复现：值由算式导出且在测试内被用作 oracle 输入）,"数值可核验为 1″/px：1/3600=0.0002777777777777778；行内注释标为 sqrt|det CD| deg/px。同值在 :1829/:1830 以 CD 对角（-s,+s）出现，另 GATES 文档的 0.9″/px 适用域下限为**不同量**（角秒/像素）",公式导出,SIP oracle 桥接回归的像素尺度,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
noise.mask_budget_min_sky,容差,eng/packaging/config/defaults.json:275；docs/science/NOISE_MODEL.md:98-99；lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1262,9216,px,未被掩膜合法像素数下限 N_sky,SE(sigma_hat)/sigma <= 1.5%,"注册 >=1；schema :302-306 [1,1e9]；解析层 [1,1e9]；使用层把 <=0 当 unset",可公式导出（且式已在权威内）,docs/science/NOISE_MODEL.md:98-99（(1.44/0.015)^2=9216；SE≈1.44/sqrt(N) 由 c≈1.152/sqrt(N) 与中位数效率 1.25 导出）；:100-101 另警告该量是相对标准误、不可当 dex 用,公式导出,Phase1 天空预算与 §8 全帧兜底,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 mask_budget_min_sky｜有值侧 3（S1 defaults、S4 合同schema、S5 代码兜底）
noise.mask_fwhm_floor_scale,常数,eng/packaging/config/defaults.json:247；docs/science/NOISE_MODEL.md:96；lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1260,0.75,1（无量纲）,r_min 的 FWHM 项系数 0.75·FWHM_i,无精度陈述,"注册 >0；schema :288-292 minimum=**0** maximum=1e3；解析层 [0,1e3]；使用层把 <=0 当 unset",文献值但只给结果不给式,docs/science/NOISE_MODEL.md:96（同式一项）；**0.75 与 PSF 核心覆盖的关系全仓无推导**（既未写 0.75·FWHM 覆盖多少能量，也未给 Moffat/Gaussian 的等效半径式）,公式导出,Phase1 逐星掩膜半径下界,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 mask_fwhm_floor_scale｜有值侧 3（S1 defaults、S4 合同schema、S5 代码兜底）
noise.mask_radius_scale,常数,eng/packaging/config/defaults.json:121；docs/science/NOISE_MODEL.md:97；docs/algorithms/NOISE_ESTIMATION.md:134；lib/algorithms/noise_snr/cpp/src/noise_model.cpp:1251,6,1（无量纲）,rmax 式的倍率项,无精度陈述,"注册 >=1；schema :330-334 minimum=1 maximum=1e4；解析层 [1,1e4] 同",可公式导出（同 rmax 式；权威只给乘积 60）,docs/science/NOISE_MODEL.md:97（=60 的合式），拆分 10·6 的 6 无任何权威陈述（docs/algorithms/NOISE_ESTIMATION.md:134 只是实现锚）,公式导出,Phase1 逐星掩膜半径上界,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,预筛已回：全表命中键 mask_radius_scale｜有值侧 3（S1 defaults、S4 合同schema、S5 代码兜底）
pred_doublecount_bias（解析值）,常数,实验/absolute-snr/code/b2_noise_terms.py:105,+14.500914%（基准点）／+38.252%（RN=50）,相对偏差,σ_F_from(v_emp)/σ_F_from(v_corr) − 1,纯解析量，与网格 half=12..60 无关（第②层复算恒 14.501%）,seed 无关、可独立复核,公式导出,实验/absolute-snr/code/b2_noise_terms.py:105；AUD202-012 表,公式导出,文档头条数的应取值,是（第②层独立复核）,,AUD-202-SNR核验 AUD202-012；复核-AUD202-补 V6；复核注记：是,
scale_deg,公式,eng/tests/unit/p1_hips_writer_test.cpp:153；lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1827,表达式 (180/π)·√(π/3)/512（机械层记作 180.0;3.0;512.0）,度,HiPS 叶像素角尺度（nside=512）,%.6f 双侧字符串一致（同 oracle O4）,nside>0,A（一手标准）＋ 可导出,IVOA REC-HIPS-1.0 §4.4.1（hips_pixel_scale 单位=度，见 :151-152 注释与 lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1827）；解析式=HEALPix 等面积像素立体角 ⇒ scale=(180/π)√(π/3)/nside,公式导出,产品键 hips_pixel_scale 的期望值复算,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
|J| = pi/3（chart→球面面积雅可比）,公式,实验/healpix-polar/code/polar_common.h:136,pi/3,sr/单位方格,HEALPix 基面 chart 两支（赤道支与极冠支）各自 |J|=pi/3 常数,严格解析,唯一失效点：极点 s=0（phi~1/s 发散），是坐标不可逆点而非面积口径失效,公式导出（自行推导＋数值＋独立库三方一致）,实验/healpix-polar/code/polar_common.h:136-196 chart_uv_to_ang；AUD204-02；docs/algorithms/DRIZZLE_GEOMETRY.md,公式导出,创新点④ 平面→球面面积分配,是（第②层独立复核）,,AUD-204-面积交叠核验 AUD204-02；复核注记：是（前提(a) 成立）,
